filename	extension	size_bytes	mtime_iso	dataset_hint	role_hint	sha256
Feature-Feature_Correlation.png	.png	5791	2022-09-15T22:14:15		figure/image output	b2d7204790fc49babf4eb5b739e8611cc10e34625ab89cde738364e5469504df
S_2648_full_feature_dict.pickle	.pickle	91064165	2022-08-16T11:13:42	S_2648	assembled feature dict	[skipped_gt_20MB]
S_2648_pmppn_info_dict.pickle	.pickle	89167705	2022-08-15T00:49:34	S_2648	ProteinMPNN intermediate info dict	[skipped_gt_20MB]
S_2648_pmppn_info_dict_V2.pickle	.pickle	156651038	2022-08-25T20:59:19	S_2648	ProteinMPNN intermediate info dict	[skipped_gt_20MB]
S_2648_pmppn_info_dict_V3.pickle	.pickle	183266414	2022-08-30T20:09:55	S_2648	ProteinMPNN intermediate info dict	[skipped_gt_20MB]
S_669_feature_combo_model_dict.pickle	.pickle	237692804	2022-08-18T16:32:43	S_669	trained feature-combination models	[skipped_gt_20MB]
S_669_feature_combo_result_dict.pickle	.pickle	6491	2022-08-18T16:33:34	S_669	feature-combination result summary	638f6099fb6ca36c3ef0d9fc35210a7619b594f26a85edf8c4d8438a12f50185
S_669_full_feature_dict.pickle	.pickle	22928543	2022-08-16T10:58:06	S_669	assembled feature dict	[skipped_gt_20MB]
S_669_pmppn_info_dict.pickle	.pickle	22466075	2022-08-15T22:42:16	S_669	ProteinMPNN intermediate info dict	[skipped_gt_20MB]
S_669_pmppn_info_dict_V2.pickle	.pickle	38853566	2022-08-25T22:55:43	S_669	ProteinMPNN intermediate info dict	[skipped_gt_20MB]
S_669_pmppn_info_dict_V3.pickle	.pickle	45318104	2022-08-30T21:35:10	S_669	ProteinMPNN intermediate info dict	[skipped_gt_20MB]
S_921_full_feature_dict.pickle	.pickle	32278828	2022-08-16T11:21:29	S_921	assembled feature dict	[skipped_gt_20MB]
S_921_pmppn_info_dict.pickle	.pickle	31611020	2022-08-15T22:19:15	S_921	ProteinMPNN intermediate info dict	[skipped_gt_20MB]
S_921_pmppn_info_dict_V2.pickle	.pickle	55304432	2022-08-25T22:03:49	S_921	ProteinMPNN intermediate info dict	[skipped_gt_20MB]
S_921_pmppn_info_dict_V3.pickle	.pickle	64760657	2022-08-30T20:42:04	S_921	ProteinMPNN intermediate info dict	[skipped_gt_20MB]
Ssym_full_feature_dict.pickle	.pickle	12435907	2022-08-16T10:09:27	Ssym	assembled feature dict	400cf1ada7b382ec473c44b7e2bded24cab93e37c0c50fa65035fb72bc41d6a8
Ssym_pmppn_info_dict.pickle	.pickle	12187799	2022-08-16T04:23:14	Ssym	ProteinMPNN intermediate info dict	0f53efdaf5a0ead29484c8bff5d0cbaf813f17dbd81b3e988dc34a94d6092da1
Ssym_pmppn_info_dict_V2.pickle	.pickle	20991070	2022-08-25T22:22:41	Ssym	ProteinMPNN intermediate info dict	[skipped_gt_20MB]
Ssym_pmppn_info_dict_V3.pickle	.pickle	24447664	2022-08-30T21:19:29	Ssym	ProteinMPNN intermediate info dict	[skipped_gt_20MB]
dat.xlsx	.xlsx	46428	2022-08-11T02:13:52		spreadsheet data	061482d4566134ea6c2faf7eb3613796de8c008c439a6871a2f9db79d4f89ed6
feature_combo_model_dict.pickle	.pickle	952599676	2022-08-18T09:11:07		trained feature-combination models	[skipped_gt_20MB]
feature_combo_result_dict.pickle	.pickle	6490	2022-08-18T09:10:20		feature-combination result summary	1efed8f9f9e349f6ccff4ce3c5c864fff1d83711a77cc9debb5d5326d43d5b4b
incremental_feature_result_dict.pickle	.pickle	3265	2022-09-01T21:16:33		incremental-feature result summary	958ab9094fe8d2039c0927f87c32a32e3755c66d09846ab60a1e29f4e8a26010
list_incremental_feature_result_dict.pickle	.pickle	50451	2022-09-12T18:17:04		incremental-feature result summary	4490aa9b235c587845980d46438d8fd452326a4548ddf03bccff16396d65c18b
res_dict.pickle	.pickle	19866522	2022-08-05T16:54:24		early result dict	624166c88dcce3f063a77660a13a349109772ef33d6bb7b2f2e31c912a40bbb4
