pickle_file	top_key_repr	top_key_type	top_value_type	model_path	model_class	n_estimators	random_state	max_depth	max_features	n_features_in_	feature_importances_shape	feature_importances_sum	feature_importances_top_indices	feature_importances_top_values	estimators_len	tree_node_count_mean	tree_max_depth_mean
feature_combo_model_dict.pickle	'A'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	1	[1]	1.0	[0]	[1.0]	300	801.0666666666667	24.663333333333334
feature_combo_model_dict.pickle	'B'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	1	[1]	1.0	[0]	[1.0]	300	802.0933333333334	26.93
feature_combo_model_dict.pickle	'C'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	1	[1]	1.0	[0]	[1.0]	300	801.5466666666666	30.54
feature_combo_model_dict.pickle	'D'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	1	[1]	1.0	[0]	[1.0]	300	804.36	28.66
feature_combo_model_dict.pickle	'E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	1	[1]	1.0	[0]	[1.0]	300	802.7933333333333	26.78
feature_combo_model_dict.pickle	'F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	1	[1]	1.0	[0]	[1.0]	300	74.32	9.476666666666667
feature_combo_model_dict.pickle	'A+B'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[0, 1]	[0.5282625048738309, 0.47173749512616914]	300	800.0733333333334	23.19333333333333
feature_combo_model_dict.pickle	'A+C'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0000000000000002	[0, 1]	[0.5754764201023534, 0.4245235798976467]	300	798.04	23.533333333333335
feature_combo_model_dict.pickle	'A+D'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	0.9999999999999999	[0, 1]	[0.659076003162177, 0.34092399683782293]	300	796.62	23.296666666666667
feature_combo_model_dict.pickle	'A+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	0.9999999999999999	[0, 1]	[0.6481291059124908, 0.35187089408750905]	300	794.96	23.526666666666667
feature_combo_model_dict.pickle	'A+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[0, 1]	[0.6544182593244077, 0.34558174067559233]	300	776.0933333333334	19.743333333333332
feature_combo_model_dict.pickle	'B+C'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[0, 1]	[0.5015457029177127, 0.4984542970822874]	300	797.34	24.77
feature_combo_model_dict.pickle	'B+D'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	0.9999999999999999	[0, 1]	[0.6057509359982708, 0.3942490640017291]	300	795.7666666666667	24.393333333333334
feature_combo_model_dict.pickle	'B+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[0, 1]	[0.577121691049612, 0.422878308950388]	300	798.0066666666667	24.753333333333334
feature_combo_model_dict.pickle	'B+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[0, 1]	[0.6720378122620242, 0.32796218773797575]	300	779.8133333333334	20.52
feature_combo_model_dict.pickle	'C+D'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[0, 1]	[0.5906201151850422, 0.4093798848149578]	300	794.78	26.19333333333333
feature_combo_model_dict.pickle	'C+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[0, 1]	[0.5734747032476951, 0.4265252967523049]	300	797.2466666666667	25.256666666666668
feature_combo_model_dict.pickle	'C+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[0, 1]	[0.6385090976255714, 0.3614909023744286]	300	776.8866666666667	21.31
feature_combo_model_dict.pickle	'D+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[1, 0]	[0.5242192770537838, 0.47578072294621615]	300	797.5066666666667	24.47
feature_combo_model_dict.pickle	'D+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[0, 1]	[0.5126026821231465, 0.4873973178768534]	300	777.0466666666666	20.553333333333335
feature_combo_model_dict.pickle	'E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	0.9999999999999999	[0, 1]	[0.5461445420314175, 0.4538554579685824]	300	774.8333333333334	20.023333333333333
feature_combo_model_dict.pickle	'A+B+C'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 1, 2]	[0.4045761948426589, 0.31957418561418016, 0.2758496195431611]	300	798.6533333333333	23.06
feature_combo_model_dict.pickle	'A+B+D'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 1, 2]	[0.43057299728605963, 0.34918737893916435, 0.22023962377477596]	300	799.56	22.836666666666666
feature_combo_model_dict.pickle	'A+B+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 1, 2]	[0.4097898678503851, 0.3497748469763072, 0.24043528517330773]	300	799.16	22.9
feature_combo_model_dict.pickle	'A+B+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 1, 2]	[0.40684155313151016, 0.34028135636770945, 0.2528770905007805]	300	783.9066666666666	21.186666666666667
feature_combo_model_dict.pickle	'A+C+D'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 1, 2]	[0.44536589544555777, 0.33199310547043887, 0.22264099908400345]	300	798.3333333333334	22.983333333333334
feature_combo_model_dict.pickle	'A+C+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 1, 2]	[0.44550482266138736, 0.3102659491927477, 0.2442292281458649]	300	798.7866666666666	23.243333333333332
feature_combo_model_dict.pickle	'A+C+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 1, 2]	[0.4359631503965948, 0.31492121721205585, 0.24911563239134935]	300	782.2466666666667	21.243333333333332
feature_combo_model_dict.pickle	'A+D+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	0.9999999999999999	[0, 2, 1]	[0.48105451330235455, 0.2652859765655088, 0.2536595101321366]	300	798.76	23.17
feature_combo_model_dict.pickle	'A+D+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 2, 1]	[0.4399843609595387, 0.29480702252419555, 0.26520861651626587]	300	783.3	21.09
feature_combo_model_dict.pickle	'A+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	0.9999999999999999	[0, 2, 1]	[0.42886868773286085, 0.3052097240162227, 0.26592158825091633]	300	784.7933333333333	20.903333333333332
feature_combo_model_dict.pickle	'B+C+D'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 1, 2]	[0.3761742932429031, 0.35539257574028293, 0.2684331310168141]	300	798.02	24.386666666666667
feature_combo_model_dict.pickle	'B+C+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 1, 2]	[0.3754638082204316, 0.3445139736110114, 0.28002221816855705]	300	796.0266666666666	24.026666666666667
feature_combo_model_dict.pickle	'B+C+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 1, 2]	[0.40637052792193307, 0.33342709430576334, 0.2602023777723037]	300	781.4133333333333	21.373333333333335
feature_combo_model_dict.pickle	'B+D+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 2, 1]	[0.42660615213131503, 0.3014599942061087, 0.2719338536625763]	300	799.72	23.986666666666668
feature_combo_model_dict.pickle	'B+D+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0000000000000002	[0, 2, 1]	[0.41272023552961373, 0.30510800615705697, 0.2821717583133294]	300	780.62	21.803333333333335
feature_combo_model_dict.pickle	'B+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	0.9999999999999998	[0, 1, 2]	[0.37487114305640495, 0.32125630848185627, 0.3038725484617386]	300	784.3666666666667	21.516666666666666
feature_combo_model_dict.pickle	'C+D+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 2, 1]	[0.41675858576521396, 0.306200881367859, 0.27704053286692704]	300	798.4333333333333	24.403333333333332
feature_combo_model_dict.pickle	'C+D+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[0, 2, 1]	[0.3705843715854315, 0.3242609113873656, 0.3051547170272029]	300	781.7666666666667	21.88
feature_combo_model_dict.pickle	'C+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0000000000000002	[0, 1, 2]	[0.3835200106428751, 0.31222184397842073, 0.30425814537870427]	300	782.0333333333333	21.74
feature_combo_model_dict.pickle	'D+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	3	[3]	1.0	[2, 1, 0]	[0.37682169517350694, 0.32306421211817576, 0.30011409270831735]	300	782.28	21.44
feature_combo_model_dict.pickle	'A+B+C+D'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	1.0	[0, 1, 2, 3]	[0.42208372729699467, 0.2543591655636065, 0.19952927340912416, 0.1240278337302747]	300	799.28	23.31
feature_combo_model_dict.pickle	'A+B+C+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	1.0	[0, 1, 2, 3]	[0.39441639089479097, 0.2691458737565872, 0.2129674143017519, 0.12347032104686997]	300	801.12	23.423333333333332
feature_combo_model_dict.pickle	'A+B+C+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	0.9999999999999999	[0, 1, 2, 3]	[0.41260896585480883, 0.25543283785259857, 0.1950004234621803, 0.13695777283041224]	300	796.2733333333333	22.156666666666666
feature_combo_model_dict.pickle	'A+B+D+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	1.0000000000000002	[0, 1, 3, 2]	[0.4316181062238645, 0.28768896948925404, 0.1544586175534323, 0.12623430673344926]	300	800.66	23.47
feature_combo_model_dict.pickle	'A+B+D+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	1.0	[0, 1, 3, 2]	[0.4290440969880692, 0.2614072892853672, 0.17698281928444873, 0.13256579444211483]	300	795.1533333333333	22.596666666666668
feature_combo_model_dict.pickle	'A+B+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	1.0000000000000002	[0, 1, 3, 2]	[0.4174265622211521, 0.280446302138915, 0.1717128701682074, 0.1304142654717256]	300	797.1333333333333	22.56
feature_combo_model_dict.pickle	'A+C+D+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	1.0	[0, 1, 3, 2]	[0.42994703495490605, 0.27382326528067263, 0.15994182250831834, 0.13628787725610314]	300	801.2533333333333	23.773333333333333
feature_combo_model_dict.pickle	'A+C+D+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	0.9999999999999999	[0, 1, 3, 2]	[0.42127129894576665, 0.24773191010991216, 0.1858838618379909, 0.14511292910633022]	300	795.9066666666666	22.45
feature_combo_model_dict.pickle	'A+C+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	1.0000000000000002	[0, 1, 3, 2]	[0.42287473948417587, 0.25302708770540033, 0.18190186445839998, 0.14219630835202385]	300	794.8933333333333	22.32
feature_combo_model_dict.pickle	'A+D+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	1.0	[0, 3, 2, 1]	[0.44334061379869233, 0.2533298717392755, 0.15932458468950803, 0.14400492977252405]	300	796.4533333333334	23.173333333333332
feature_combo_model_dict.pickle	'B+C+D+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	1.0	[0, 1, 3, 2]	[0.3298894191014874, 0.29605488035422994, 0.20393081771835367, 0.17012488282592897]	300	798.3133333333334	24.46
feature_combo_model_dict.pickle	'B+C+D+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	1.0	[0, 1, 3, 2]	[0.3569556314959485, 0.2619405070737563, 0.19893478971489958, 0.18216907171539565]	300	791.1333333333333	22.683333333333334
feature_combo_model_dict.pickle	'B+C+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	0.9999999999999999	[0, 1, 3, 2]	[0.3370263412703612, 0.27401989029576357, 0.20208989721290002, 0.1868638712209752]	300	794.5533333333333	22.313333333333333
feature_combo_model_dict.pickle	'B+D+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	1.0	[0, 3, 2, 1]	[0.3677372885292778, 0.251207774089619, 0.2053007064615329, 0.17575423091957026]	300	792.6866666666666	22.706666666666667
feature_combo_model_dict.pickle	'C+D+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	4	[4]	0.9999999999999998	[0, 3, 2, 1]	[0.33962293705521945, 0.25862512236933805, 0.21578398072965102, 0.18596795984579137]	300	793.0733333333334	22.903333333333332
feature_combo_model_dict.pickle	'A+B+C+D+E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	5	[5]	1.0	[0, 1, 2, 4, 3]	[0.3633030509799965, 0.21292222191829188, 0.1991300629364493, 0.11688571692032056, 0.1077589472449417]	300	800.04	23.37
feature_combo_model_dict.pickle	'A+B+C+D+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	5	[5]	1.0	[0, 1, 2, 4, 3]	[0.34149889773246944, 0.2157607795888501, 0.182476996095315, 0.15007898723138452, 0.1101843393519809]	300	797.32	22.503333333333334
feature_combo_model_dict.pickle	'A+B+C+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	5	[5]	1.0	[0, 1, 2, 4, 3]	[0.3254181087796113, 0.23684077018393432, 0.18795230425795584, 0.1367910586750189, 0.11299775810347963]	300	799.82	22.44
feature_combo_model_dict.pickle	'A+B+D+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	5	[5]	1.0	[0, 1, 4, 3, 2]	[0.34474268445457207, 0.23706570251955741, 0.18217393329340748, 0.1250569615073339, 0.11096071822512925]	300	798.9	23.023333333333333
feature_combo_model_dict.pickle	'A+C+D+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	5	[5]	1.0	[0, 1, 4, 3, 2]	[0.36621380442400064, 0.21923212738409348, 0.16482405115763385, 0.13179776410339036, 0.11793225293088168]	300	800.2333333333333	22.503333333333334
feature_combo_model_dict.pickle	'B+C+D+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	5	[5]	1.0	[0, 1, 4, 3, 2]	[0.25304834843141666, 0.24757213248708293, 0.18609503881067344, 0.16891601510973986, 0.14436846516108714]	300	795.4933333333333	22.416666666666668
feature_combo_model_dict.pickle	'A+B+C+D+E+F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	6	[6]	1.0	[0, 1, 2, 5, 4, 3]	[0.3212232658772728, 0.19166467355392414, 0.15262048916181412, 0.13790182118339, 0.09958697807489174, 0.09700277214870717]	300	798.8133333333334	22.886666666666667
S_669_feature_combo_model_dict.pickle	'A'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	1	[1]	1.0	[0]	[1.0]	300	196.01333333333332	16.293333333333333
S_669_feature_combo_model_dict.pickle	'B'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	1	[1]	1.0	[0]	[1.0]	300	196.54	17.253333333333334
S_669_feature_combo_model_dict.pickle	'C'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	1	[1]	1.0	[0]	[1.0]	300	193.88666666666666	18.016666666666666
S_669_feature_combo_model_dict.pickle	'D'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	1	[1]	1.0	[0]	[1.0]	300	195.72666666666666	19.39
S_669_feature_combo_model_dict.pickle	'E'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	1	[1]	1.0	[0]	[1.0]	300	195.29333333333332	18.796666666666667
S_669_feature_combo_model_dict.pickle	'F'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	1	[1]	1.0	[0]	[1.0]	300	63.02	8.386666666666667
S_669_feature_combo_model_dict.pickle	'A+B'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[1, 0]	[0.5140982769046242, 0.48590172309537594]	300	195.26666666666668	15.93
S_669_feature_combo_model_dict.pickle	'A+C'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[0, 1]	[0.5161092698594465, 0.48389073014055356]	300	192.96666666666667	15.353333333333333
S_669_feature_combo_model_dict.pickle	'A+D'	builtins.str	sklearn.ensemble._forest.RandomForestRegressor	value	sklearn.ensemble._forest.RandomForestRegressor	300			sqrt	2	[2]	1.0	[0, 1]	[0.5934253912573633, 0.40657460874263673]	300	194.98666666666668	16.666666666666668
