pickle_file	metric_key	dataset	split	metric	metric_kind	feature_combo	n	mean	sample_std	population_std	min	max	round_mean_2
list_incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A	10	0.4716349516326452	0.0010265008387963252	0.0009738242012009166	0.47003150334088273	0.4731885895076412	0.47
list_incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B	10	0.5260122556202218	0.0012552916423933158	0.001190874215320937	0.5240925060908995	0.5285537027246682	0.53
list_incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C	10	0.5772006420549597	0.0007695122882616052	0.0007300234555184173	0.5759247319928592	0.5784716022064003	0.58
list_incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D	10	0.6010573659102072	0.001158136326794083	0.0010987045900951184	0.5995828347668405	0.6030133989167142	0.6
list_incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D+E	10	0.6373709366633076	0.0009060227841189802	0.0008595286829469027	0.6358374035743144	0.63847931343274	0.64
list_incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D+E+F	10	0.6437674388651097	0.0008554167300608168	0.0008115195646816818	0.6425193441569403	0.6449932237405106	0.64
list_incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D+E+F+G	10	0.6435247169825066	0.001191466480315911	0.0011303243500627358	0.6416329264886372	0.6450971292877632	0.64
list_incremental_feature_result_dict.pickle	S_669_total_PCC	S_669	total	PCC	feature_combo_dict	A+B+C+D+E+F+G+H	10	0.6439948414047258	0.0013120901258214881	0.001244757987903843	0.6414951357563871	0.6463458009878648	0.64
list_incremental_feature_result_dict.pickle	Ssym_total_PCC	Ssym	total	PCC	feature_combo_dict	A	10	0.6411381217091818	0.0014418074426942166	0.0013678186398889266	0.6379080446688898	0.643244140075854	0.64
list_incremental_feature_result_dict.pickle	Ssym_total_PCC	Ssym	total	PCC	feature_combo_dict	A+B	10	0.7006985310624467	0.0011125790012672676	0.0010554851162639781	0.6990570788325515	0.7023026630856622	0.7
list_incremental_feature_result_dict.pickle	Ssym_total_PCC	Ssym	total	PCC	feature_combo_dict	A+B+C	10	0.7164446229490329	0.0007811562729062688	0.0007410699092735664	0.7152202347949768	0.7177288337012515	0.72
list_incremental_feature_result_dict.pickle	Ssym_total_PCC	Ssym	total	PCC	feature_combo_dict	A+B+C+D	10	0.7426379714006968	0.0009623493922725839	0.0009129647953380626	0.7409918817034982	0.743780411251969	0.74
list_incremental_feature_result_dict.pickle	Ssym_total_PCC	Ssym	total	PCC	feature_combo_dict	A+B+C+D+E	10	0.7868663352314815	0.0009198728786902402	0.0008726680363430773	0.7856968737710878	0.7887933077697075	0.79
list_incremental_feature_result_dict.pickle	Ssym_total_PCC	Ssym	total	PCC	feature_combo_dict	A+B+C+D+E+F	10	0.802689928058127	0.000918665597363623	0.0008715227087124673	0.8010179908252387	0.8039336769263783	0.8
list_incremental_feature_result_dict.pickle	Ssym_total_PCC	Ssym	total	PCC	feature_combo_dict	A+B+C+D+E+F+G	10	0.808747587496611	0.0009420081819229291	0.0008936674288172128	0.8075239422134297	0.8105749633328775	0.81
list_incremental_feature_result_dict.pickle	Ssym_total_PCC	Ssym	total	PCC	feature_combo_dict	A+B+C+D+E+F+G+H	10	0.8122281604920314	0.0012090817173146375	0.0011470356311946291	0.8095439557494913	0.8141012531072463	0.81
