root	relative_path	size_bytes	mtime_iso	cells	code_cells	markdown_cells	code_cells_with_outputs	source_sha256	datasets_mentioned	artifact_mentions_count	hardcoded_paths_count	imports	defs	classes	error
git_sajid_additions	ProteinMPNNTesting.ipynb	385468	2026-05-06T16:51:33	37	37	0	18	d04fb863e2706e6b4a58b8a1a65b44d1a1c114303b0844bc042019254daa3758	S_2648,Ssym	3	6	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from mpl_toolkits.mplot3d import Axes3D | from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN | from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize, parse_PDB | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	convertChainFromAlphabetToNumber,returnPSSMArray,returnPSSMMapping		
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	174619	2026-05-06T16:51:33	27	27	0	10	42e8fc6389c68d69c829ba29d3544a56b7a1c5c1bc71109153084f0334d2b636	S_2648,Ssym	3	5	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN | from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,convertChainFromAlphabetToNumber,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping		
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	246239	2026-05-06T16:51:33	34	34	0	11	43c4f0f712adc3008ce1ea786c3f68b94c7dc7b32db279191c42c65452699c98	S_2648,Ssym	4	5	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader	
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	275045	2026-05-06T16:51:33	34	34	0	12	31f3f0a79fa461479e50bed7cede9f0573c557e0b90bf839fcc6cb30431d5d29	S_2648,Ssym	4	5	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader	
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	427391	2026-05-06T16:51:33	31	31	0	11	bf75dc04aa58d09735427b7aa98db8fdbe293c0b2260f8eba3c9fdc3555d94d9	S_2648,S_921,Ssym	5	5	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import expit | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader	
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	273303	2026-05-06T16:51:33	25	25	0	9	9b5f5fe33c3b1b885880f27031d8c4564436e8a432bf10f00adf09d61f9c2141	S_2648,Ssym	4	5	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import expit | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import time | import torch | import torch.nn | import torch.nn.functional	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader	
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	440028	2026-05-06T16:51:33	38	38	0	27	513a9d5b995e495ab2ccfe86e9e33745e71e3974a7ddbc761055a9d84aa3ad49	S_2648,S_669,S_921,Ssym	4	4	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.svm import SVR | from tqdm.notebook import tqdm | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys	hillclimbing,objective		
git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	567092	2026-05-06T16:51:33	46	46	0	30	ef5f38f5f418d8982a38e4948f43b838a8048099a124132f7456106cf3f3573c	S_2648,S_669,S_921,Ssym	6	4	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from itertools import combinations | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.svm import SVR | from tqdm.notebook import tqdm | import matplotlib | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys	hillclimbing,objective		
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V2.ipynb	411368	2026-05-06T16:51:33	43	43	0	19	259120f07699a4a21a3ac84bc8acdd3d6a4b9b6047bd941096c1b4ece432843b	S_2648,S_669,S_921,Ssym	8	4	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from itertools import combinations | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.decomposition import KernelPCA | from sklearn.decomposition import PCA | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor, AdaBoostRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.preprocessing import StandardScaler | from sklearn.svm import SVR | from sklearn.tree import DecisionTreeRegressor | from tqdm.notebook import tqdm | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys			
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	812703	2026-05-06T16:51:33	42	42	0	27	9581d84199d851a18f03bf18135bb3943a829b984bb8217c9c9d98380498aabf	S_2648,S_669,S_921,Ssym	8	4	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.decomposition import KernelPCA | from sklearn.decomposition import PCA | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor, AdaBoostRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.preprocessing import StandardScaler | from sklearn.svm import SVR | from sklearn.tree import DecisionTreeRegressor | from tqdm.notebook import tqdm | import math | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys	dict_mean		
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V4.ipynb	305873	2026-05-06T16:51:33	36	36	0	24	075e11a73efd66ea4291f876a997c72b7f209d044713e1b6986bd498a26876b3	S_2648,S_669,S_921,Ssym	7	4	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.decomposition import KernelPCA | from sklearn.decomposition import PCA | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor, AdaBoostRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.preprocessing import StandardScaler | from sklearn.svm import SVR | from sklearn.tree import DecisionTreeRegressor | from tqdm.notebook import tqdm | import math | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys			
