root	notebook	mention_type	mention
git_sajid_additions	ProteinMPNNTesting.ipynb	dataset	S_2648
git_sajid_additions	ProteinMPNNTesting.ipynb	dataset	Ssym
git_sajid_additions	ProteinMPNNTesting.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt
git_sajid_additions	ProteinMPNNTesting.ipynb	artifact	res_dict.pickle
git_sajid_additions	ProteinMPNNTesting.ipynb	artifact	{chain}.pdb
git_sajid_additions	ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files
git_sajid_additions	ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir
git_sajid_additions	ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/S_2648_Output_Files
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	dataset	S_2648
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	dataset	Ssym
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	artifact	1rtpA.pdb
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	artifact	res_dict.pickle
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	dataset	S_2648
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	dataset	Ssym
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	artifact	1rtpA.pdb
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	artifact	dat.xlsx
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	artifact	res_dict.pickle
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	dataset	S_2648
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	dataset	Ssym
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	artifact	1rtpA.pdb
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	artifact	dat.xlsx
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	artifact	res_dict.pickle
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	dataset	S_2648
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	dataset	S_921
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	dataset	Ssym
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	artifact	1rtpA.pdb
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	artifact	S_921_full_feature_dict.pickle
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	artifact	S_921_pmppn_info_dict.pickle
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	artifact	dat.xlsx
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S921/S921.txt
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_921_PDB_Files
