root_a	path_a	root_b	path_b	jaccard	containment_smaller	shared_tokens	tokens_a	tokens_b
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	0.9934	0.9970	1654	1660	1659
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.9845	0.9970	1655	1660	1676
git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.9839	0.9970	1654	1659	1676
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	git_sajid_additions	ProteinMPNNTesting_V5.ipynb	0.9427	0.9966	1482	1487	1567
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	git_sajid_additions	ProteinMPNNTesting_V4.ipynb	0.5258	0.9949	784	788	1487
git_sajid_additions	ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	0.9868	0.9946	1647	1660	1656
git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	0.9811	0.9946	1657	1666	1680
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.9774	0.9946	1647	1656	1676
git_sajid_additions	S669_ProteinMPNNTesting_V6_V2.ipynb	git_sajid_additions	S921_ProteinMPNNTesting_V6_V2.ipynb	0.9862	0.9940	1646	1656	1659
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	0.9631	0.9937	783	788	808
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V6.ipynb	0.9799	0.9928	1654	1676	1666
git_sajid_additions	ProteinMPNNTesting_V6.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	0.9811	0.9916	1662	1676	1680
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	git_sajid_additions	ProteinMPNNTesting_V6.ipynb	0.9189	0.9911	1553	1567	1676
git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V3.ipynb	0.9509	0.9910	775	782	808
git_sajid_additions	Quick_Dirty_MPNN_ML.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2.ipynb	0.8116	0.9907	534	539	653
drive_nested_proteinmpnn	colab_notebooks/ca_only_quickdemo.ipynb	drive_nested_proteinmpnn	colab_notebooks/quickdemo.ipynb	0.9791	0.9906	421	425	426
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	git_sajid_additions	ProteinMPNNTesting_V6.ipynb	0.8705	0.9899	1472	1487	1676
git_sajid_additions	ProteinMPNNTesting_V2.ipynb	git_sajid_additions	ProteinMPNNTesting_V5.ipynb	0.4952	0.9898	780	788	1567
git_sajid_additions	ProteinMPNNTesting_V4.ipynb	git_sajid_additions	S669_ProteinMPNNTesting_V3.ipynb	0.5167	0.9885	773	1487	782
git_sajid_additions	Quick_Dirty_MPNN_ML_V2_V3.ipynb	git_sajid_additions	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	0.9665	0.9873	780	797	790
git_sajid_additions	ProteinMPNNTesting_V5.ipynb	git_sajid_additions	Ssym_ProteinMPNNTesting_V6.ipynb	0.9089	0.9866	1546	1567	1680
