artifact_class	recommended_storage_route	file_count	tracked_file_count	referenced_file_count	size_bytes
base_pmpnn_info_pickle	git_lfs_candidate_if_needed_for_lineage	4	0	4	155432599
binary_analysis_artifact	git_lfs_or_regular_git_case_by_case	2	0	2	52219
full_feature_pickle	git_lfs_candidate_if_needed_for_scalar_feature_lineage	4	0	4	158707443
ml_result_summary_pickle	git_lfs_candidate_if_needed_for_number_provenance	5	0	5	19933219
nested_proteinmpnn_git_history	preserve_as_evidence_archive_not_regular_git	24	0	0	69509405
nested_proteinmpnn_source_or_example	regular_git_or_source_snapshot_decision	121	0	6	7200327
notebook_artifact	regular_git_if_provenance_relevant	3	0	3	822723
proteinmpnn_checkpoint_weight	git_lfs_candidate_required_if_used	7	0	2	46597237
runtime_cache	do_not_track	2	0	0	114563
trained_feature_combo_model_pickle	git_lfs_candidate_after_deep_inspection	2	0	2	1190292480
uncategorized_small_artifact	decide_after_dependency_review	2	0	0	2871
v2_pmpnn_info_pickle	git_lfs_candidate_if_needed_for_lineage	4	0	4	271800106
v3_pmpnn_info_pickle	git_lfs_candidate_required_for_recovery	4	0	4	317792839
