relative_path	basename	extension	size_bytes	mtime_epoch	mtime_utc	sha256	artifact_class	dataset_hint	role_hint	git_tracked_now	recommended_storage_route	storage_reason	dependency_reference_count	active_or_text_reference_count	commented_reference_count	note_or_generated_reference_count	current_recovery_code_reference_count	historical_notebook_reference_count
Feature-Feature_Correlation.png	Feature-Feature_Correlation.png	.png	5791	1663258455.873000	2022-09-15T16:14:15.873000+00:00	b2d7204790fc49babf4eb5b739e8611cc10e34625ab89cde738364e5469504df	binary_analysis_artifact		Binary analysis artifact, figure, spreadsheet, or array file.	no	git_lfs_or_regular_git_case_by_case	Small binary evidence can be tracked normally only when stable and useful; otherwise use LFS or regenerate.	12	12	0	0	0	12
ProteinMPNN/.git/HEAD	HEAD		21	1659027930.532000	2022-07-28T17:05:30.532000+00:00	28d25bf82af4c0e2b72f50959b2beb859e3e60b9630a5e8c603dad4ddb2b6e80	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/config	config		264	1659027945.120000	2022-07-28T17:05:45.120000+00:00	88e3ea2c5679b73175dfe6b82679051bc1a62a42e49a6bec99ce311e9672adb8	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/description	description		73	1659027923.435000	2022-07-28T17:05:23.435000+00:00	85ab6c163d43a17ea9cf7788308bca1466f1b0a8d1cc92e26e9bf63da4062aee	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/hooks/applypatch-msg.sample	applypatch-msg.sample	.sample	478	1659027923.338000	2022-07-28T17:05:23.338000+00:00	0223497a0b8b033aa58a3a521b8629869386cf7ab0e2f101963d328aa62193f7	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/hooks/commit-msg.sample	commit-msg.sample	.sample	896	1659027923.357000	2022-07-28T17:05:23.357000+00:00	1f74d5e9292979b573ebd59741d46cb93ff391acdd083d340b94370753d92437	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/hooks/fsmonitor-watchman.sample	fsmonitor-watchman.sample	.sample	3327	1659027923.333000	2022-07-28T17:05:23.333000+00:00	7f9cacf1f7c8f791abfaa76171b951a55a9a2a11f1390b43cbc83995b4a91b33	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/hooks/post-update.sample	post-update.sample	.sample	189	1659027923.328000	2022-07-28T17:05:23.328000+00:00	81765af2daef323061dcbc5e61fc16481cb74b3bac9ad8a174b186523586f6c5	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/hooks/pre-applypatch.sample	pre-applypatch.sample	.sample	424	1659027923.318000	2022-07-28T17:05:23.318000+00:00	e15c5b469ea3e0a695bea6f2c82bcf8e62821074939ddd85b77e0007ff165475	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/hooks/pre-commit.sample	pre-commit.sample	.sample	1642	1659027923.347000	2022-07-28T17:05:23.347000+00:00	12c723235131f1c5576c652ac2a0a007f261a93c0ddc445b1dcee6cd98e30788	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/hooks/pre-push.sample	pre-push.sample	.sample	1348	1659027923.342000	2022-07-28T17:05:23.342000+00:00	4b1119e1e13a212571976f4aee77847cdbd40978546d6273a557e238981a40d1	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/hooks/pre-rebase.sample	pre-rebase.sample	.sample	4898	1659027923.362000	2022-07-28T17:05:23.362000+00:00	4febce867790052338076f4e66cc47efb14879d18097d1d61c8261859eaaa7b3	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/hooks/pre-receive.sample	pre-receive.sample	.sample	544	1659027923.322000	2022-07-28T17:05:23.322000+00:00	a4c3d2b9c7bb3fd8d1441c31bd4ee71a595d66b44fcf49ddb310252320169989	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
