artifact_relative_path	artifact_basename	source_file	source_group	line_number	reference_state	line_text
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting.ipynb.py.txt	historical_notebook_source_export	317	commented	"# with open(""res_dict.pickle"",""wb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting.ipynb.py.txt	historical_notebook_source_export	322	commented	"# with open(""res_dict.pickle"",""rb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	historical_notebook_source_export	404	commented	"# with open(""res_dict.pickle"",""wb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	historical_notebook_source_export	409	commented	"# with open(""res_dict.pickle"",""rb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	565	commented	"# with open(""res_dict.pickle"",""wb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	570	commented	"# with open(""res_dict.pickle"",""rb"") as f:"
dat.xlsx	dat.xlsx	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	historical_notebook_source_export	1818	commented	"# write_frame_loc.to_excel(""dat.xlsx"",float_format=""%.3f"")"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	historical_notebook_source_export	1823	commented	"# with open(""res_dict.pickle"",""wb"") as f:"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	historical_notebook_source_export	1828	commented	"# with open(""res_dict.pickle"",""rb"") as f:"
dat.xlsx	dat.xlsx	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V5.ipynb.py.txt	historical_notebook_source_export	1901	commented	"# write_frame_loc.to_excel(""dat.xlsx"",float_format=""%.3f"")"
res_dict.pickle	res_dict.pickle	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V5.ipynb.py.txt	historical_notebook_source_export	1906	commented	"# with open(""res_dict.pickle"",""wb"") as f:"
