repo_label	repo_path	field	value	stderr	returncode
drive_nested_proteinmpnn	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/ProteinMPNN	head_commit	c602ced6ad4b6997d89afa9432607ac9d0572539		0
drive_nested_proteinmpnn	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/ProteinMPNN	current_branch	main		0
drive_nested_proteinmpnn	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/ProteinMPNN	remote_verbose	"origin	https://github.com/dauparas/ProteinMPNN.git (fetch) | origin	https://github.com/dauparas/ProteinMPNN.git (push)"		0
drive_nested_proteinmpnn	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/ProteinMPNN	status_short	M vanilla_proteinmpnn/protein_mpnn_utils.py		0
drive_nested_proteinmpnn	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/ProteinMPNN	diff_stat	vanilla_proteinmpnn/protein_mpnn_utils.py | 166 ++++++++++++++++++++++++++++-- |  1 file changed, 159 insertions(+), 7 deletions(-)		0
sajidahmeduiu_source_repo	source_repos/SajidAhmeduiu_ProteinMPNN	head_commit	121bef560acbf47ea98a47ba6fc08d35401cc17a		0
sajidahmeduiu_source_repo	source_repos/SajidAhmeduiu_ProteinMPNN	current_branch	main		0
sajidahmeduiu_source_repo	source_repos/SajidAhmeduiu_ProteinMPNN	remote_verbose	"origin	https://github.com/SajidAhmeduiu/ProteinMPNN.git (fetch) | origin	https://github.com/SajidAhmeduiu/ProteinMPNN.git (push)"		0
sajidahmeduiu_source_repo	source_repos/SajidAhmeduiu_ProteinMPNN	status_short			0
sajidahmeduiu_source_repo	source_repos/SajidAhmeduiu_ProteinMPNN	diff_stat			0
drive_nested_proteinmpnn	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/ProteinMPNN	key_file:vanilla_proteinmpnn/protein_mpnn_utils.py	size=68530;sha256=b197fe8ada3058e5543a289ec101eb99d4cf9e043cc9ab8e64e22fd5436ebbe1	NA	NA
sajidahmeduiu_source_repo	source_repos/SajidAhmeduiu_ProteinMPNN	key_file:vanilla_proteinmpnn/protein_mpnn_utils.py	size=69923;sha256=38d2c5e7f657b8c60ddc0650fab0f0cec417bddf7ae582ff0fb80a292904b09f	NA	NA
drive_nested_proteinmpnn	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/ProteinMPNN	key_file:vanilla_proteinmpnn/protein_mpnn_run.py	size=23711;sha256=33b60238649f299936137c8a870657463dd4ae315584d777e6820527e3060ff7	NA	NA
sajidahmeduiu_source_repo	source_repos/SajidAhmeduiu_ProteinMPNN	key_file:vanilla_proteinmpnn/protein_mpnn_run.py	size=23711;sha256=33b60238649f299936137c8a870657463dd4ae315584d777e6820527e3060ff7	NA	NA
drive_nested_proteinmpnn	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/ProteinMPNN	key_file:vanilla_proteinmpnn/vanilla_model_weights/v_48_020.pt	size=6681301;sha256=c9cb4a671d79604111231f8dbfc7c590e06f1197453b7a6854ac6661a642f5bd	NA	NA
sajidahmeduiu_source_repo	source_repos/SajidAhmeduiu_ProteinMPNN	key_file:vanilla_proteinmpnn/vanilla_model_weights/v_48_020.pt	size=6681301;sha256=c9cb4a671d79604111231f8dbfc7c590e06f1197453b7a6854ac6661a642f5bd	NA	NA
drive_nested_proteinmpnn	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/ProteinMPNN	key_file:ca_proteinmpnn/protein_mpnn_utils.py	size=56893;sha256=716a5d196f6c5fc6fc9f5ab074b29f0bd3a778b7696e152b360038b9b57ff027	NA	NA
sajidahmeduiu_source_repo	source_repos/SajidAhmeduiu_ProteinMPNN	key_file:ca_proteinmpnn/protein_mpnn_utils.py	size=56893;sha256=716a5d196f6c5fc6fc9f5ab074b29f0bd3a778b7696e152b360038b9b57ff027	NA	NA
drive_nested_proteinmpnn	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/ProteinMPNN	key_file:ca_proteinmpnn/ca_model_weights/v_48_020.pt	size=6624011;sha256=f28f40170e21858c5ff31ef50b6e63414ff76dc331b19f85aa8586a12031744a	NA	NA
sajidahmeduiu_source_repo	source_repos/SajidAhmeduiu_ProteinMPNN	key_file:ca_proteinmpnn/ca_model_weights/v_48_020.pt	size=6624011;sha256=f28f40170e21858c5ff31ef50b6e63414ff76dc331b19f85aa8586a12031744a	NA	NA
