source_file	source_group	line_number	terms	reference_state	line_text
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting.ipynb.py.txt	historical_notebook_source_export	33	protein_mpnn_utils	active_or_text	from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize, parse_PDB
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting.ipynb.py.txt	historical_notebook_source_export	34	protein_mpnn_utils	active_or_text	from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting.ipynb.py.txt	historical_notebook_source_export	45	weights_path,vanilla_model_weights	active_or_text	"weights_path = os.path.join(protein_mpnn_path,""vanilla_model_weights"")"
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting.ipynb.py.txt	historical_notebook_source_export	46	v_48_020,model_name	active_or_text	"model_name = ""v_48_020"""
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting.ipynb.py.txt	historical_notebook_source_export	47	model_name,checkpoint_path,weights_path	active_or_text	"checkpoint_path = os.path.join(weights_path,model_name+"".pt"")"
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting.ipynb.py.txt	historical_notebook_source_export	51	checkpoint_path	active_or_text	checkpoint = torch.load(checkpoint_path, map_location=device)
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting.ipynb.py.txt	historical_notebook_source_export	58	ProteinMPNN(	active_or_text	mpnn_model = ProteinMPNN(num_letters=21, node_features=hidden_dim, edge_features=hidden_dim, hidden_dim=hidden_dim, num_encoder_layers=num_layers, num_decoder_layers=num_layers, augment_eps=backbone_noise, k_neighbors=checkpoint['num_edges'])
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting.ipynb.py.txt	historical_notebook_source_export	889	protein_mpnn_utils	commented	# Now, have to trace the function protein_mpnn_utils.tied_featurize
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	historical_notebook_source_export	33	protein_mpnn_utils	active_or_text	from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	historical_notebook_source_export	34	protein_mpnn_utils	active_or_text	from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	historical_notebook_source_export	46	weights_path,vanilla_model_weights	active_or_text	"weights_path = os.path.join(protein_mpnn_path,""vanilla_model_weights"")"
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	historical_notebook_source_export	47	v_48_020,model_name	active_or_text	"model_name = ""v_48_020"""
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	historical_notebook_source_export	48	model_name,checkpoint_path,weights_path	active_or_text	"checkpoint_path = os.path.join(weights_path,model_name+"".pt"")"
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	historical_notebook_source_export	52	checkpoint_path	active_or_text	checkpoint = torch.load(checkpoint_path, map_location=device)
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	historical_notebook_source_export	59	ProteinMPNN(	active_or_text	mpnn_model = ProteinMPNN(num_letters=21, node_features=hidden_dim, edge_features=hidden_dim, hidden_dim=hidden_dim, num_encoder_layers=num_layers, num_decoder_layers=num_layers, augment_eps=backbone_noise, k_neighbors=checkpoint['num_edges'])
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	33	protein_mpnn_utils	active_or_text	from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	34	protein_mpnn_utils	active_or_text	from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	46	weights_path,vanilla_model_weights	active_or_text	"weights_path = os.path.join(protein_mpnn_path,""vanilla_model_weights"")"
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	47	v_48_020,model_name	active_or_text	"model_name = ""v_48_020"""
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	48	model_name,checkpoint_path,weights_path	active_or_text	"checkpoint_path = os.path.join(weights_path,model_name+"".pt"")"
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	52	checkpoint_path	active_or_text	checkpoint = torch.load(checkpoint_path, map_location=device)
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V3.ipynb.py.txt	historical_notebook_source_export	62	ProteinMPNN(	active_or_text	mpnn_model = ProteinMPNN(num_letters=21, node_features=hidden_dim, edge_features=hidden_dim, hidden_dim=hidden_dim, num_encoder_layers=num_layers, num_decoder_layers=num_layers, augment_eps=backbone_noise, k_neighbors=checkpoint['num_edges'])
colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	historical_notebook_source_export	44	weights_path,vanilla_model_weights	active_or_text	"weights_path = os.path.join(protein_mpnn_path,""vanilla_model_weights"")"
