relative_path	status	in_source_repo	in_drive_nested_repo	source_size	drive_size	source_sha256	drive_sha256
.gitignore	same_hash	True	True	1799	1799	79b6f8054f8ef5e9e78c18174bf57caf29b11410166b9268d6923e87520eb88f	79b6f8054f8ef5e9e78c18174bf57caf29b11410166b9268d6923e87520eb88f
LICENSE	same_hash	True	True	1072	1072	82009d25ce585631f452b2b24589bdb29c559ccfefa2f200ef312ed5b501a586	82009d25ce585631f452b2b24589bdb29c559ccfefa2f200ef312ed5b501a586
README.md	same_hash	True	True	9013	9013	2af737564085e56a1b2fc9450aa02e1d13998af8ba21f2e22f67317608345533	2af737564085e56a1b2fc9450aa02e1d13998af8ba21f2e22f67317608345533
Sajid_Additions/ProteinMPNNTesting.ipynb	source_only	True	False	385468		779c7ffef787ce7460b3669420b65708ac8335b0614ce90d44b2d84f45d229c5	
Sajid_Additions/ProteinMPNNTesting_V2.ipynb	source_only	True	False	174619		b1ef8c58dfe347fe07b2a130f14a47314545a1082ab1a5e11cee7dd58edc30fc	
Sajid_Additions/ProteinMPNNTesting_V4.ipynb	source_only	True	False	246239		fdaac8b6771bf5dbec3a5979a6222b0c2d693589fc52bdbb2c4f84fa58c341f1	
Sajid_Additions/ProteinMPNNTesting_V5.ipynb	source_only	True	False	275045		3a94b4aa1ae612162660d726096756a709ac6bea5daccdb3aabc85ec6a1dd3de	
Sajid_Additions/ProteinMPNNTesting_V6.ipynb	source_only	True	False	427391		9693fc86c8c3d090f1dde2d937fd43feadc3678b5a4fe50799cb34391f9bbef6	
Sajid_Additions/ProteinMPNNTesting_V6_V2.ipynb	source_only	True	False	273303		fed608459213ed9a82e6c7853dc86653da9697f7f2b8d5150edc38cb2d69b6a7	
Sajid_Additions/Quick_Dirty_MPNN_ML.ipynb	source_only	True	False	440028		994a49d9b7e21d77c37fb7e9adfd31d2de572a1c3a55bd01a708247ffbf4ba65	
Sajid_Additions/Quick_Dirty_MPNN_ML_V2.ipynb	source_only	True	False	567092		efd9a6646b138b30312be0734fafa69f9b89e88a7cc4deae268d8a1a4cca148f	
Sajid_Additions/Quick_Dirty_MPNN_ML_V2_V2.ipynb	source_only	True	False	411368		895bdcf25438245222551ed47c9a671a1651365773057fb9fae6c3dd203673ba	
Sajid_Additions/Quick_Dirty_MPNN_ML_V2_V3.ipynb	source_only	True	False	812703		25ba99d2e6d4f3d3b1729942d4dc306e46ba26b49346cbdbc66c893f0dca6438	
Sajid_Additions/Quick_Dirty_MPNN_ML_V2_V4.ipynb	source_only	True	False	305873		0b09c41807edf70b1176aafeaa3eb75101588a4557744bc3c3c3c239f163eed6	
Sajid_Additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	source_only	True	False	797628		61637996028f316a39783df051509d199fdfcf912f6cdc87c7c860737a68724c	
Sajid_Additions/S669_ProteinMPNNTesting_V3.ipynb	source_only	True	False	165235		35458dc5ca6da1a56724b199a2db9e400c4a1d11e6a7a22eab64a685cf4381f6	
Sajid_Additions/S669_ProteinMPNNTesting_V6.ipynb	source_only	True	False	414006		f858379d5f4eed60a86452bcb0dcee1c499f58fd17442ee87352eecf10837a66	
Sajid_Additions/S669_ProteinMPNNTesting_V6_V2.ipynb	source_only	True	False	281931		906078b55569df6cee97d20d80aa9e5d24406713687994691ff42186ad3ef62a	
Sajid_Additions/S921_ProteinMPNNTesting_V6_V2.ipynb	source_only	True	False	272953		da2a929ade741046f0799bb887c8d8a2079c9d9ca1a2b2e7c4e8b6fe976ce941	
Sajid_Additions/Ssym_ProteinMPNNTesting_V3.ipynb	source_only	True	False	166995		7f86ae3e3ea9f62ec762805865ea98da59b848c30f180e497ccd52d5d0fa4680	
Sajid_Additions/Ssym_ProteinMPNNTesting_V6.ipynb	source_only	True	False	409789		248ceda0ed7524e9dcdfc32a8b4634d7171cc0dfa07bf388d5c70977d1097559	
Sajid_Additions/Ssym_ProteinMPNNTesting_V6_V2.ipynb	source_only	True	False	282591		39c0ab8ed22b25767ff6dc7b93f495510a0aa808ba6e51086dc0a3cae20761c4	
Sajid_Additions/proteinmpnn_quickdemo.ipynb	source_only	True	False	403203		14636d947ee43f770246cdf97b5ea334fcb31d177f95b7c5722a301bf4fee30e	
ca_proteinmpnn/PDB_complexes/example_2_outputs/assigned_pdbs.jsonl	same_hash	True	True	74	74	b652a15b5e48cc3c8184905f543ebe8efa5665fd5803ad22d4f187f479da5f43	b652a15b5e48cc3c8184905f543ebe8efa5665fd5803ad22d4f187f479da5f43
ca_proteinmpnn/PDB_complexes/example_2_outputs/parsed_pdbs.jsonl	same_hash	True	True	33482	33482	4cbad00843ac296a1489974234dfc94463b88b88ab0e6e5ae8f1e13b54c84581	4cbad00843ac296a1489974234dfc94463b88b88ab0e6e5ae8f1e13b54c84581
ca_proteinmpnn/PDB_complexes/example_2_outputs/seqs/3HTN.fa	same_hash	True	True	1057	1057	a9ec4e0daf2178351d1e8a3bf9ee33a453020c727edf694d74dd0ef3e81a786e	a9ec4e0daf2178351d1e8a3bf9ee33a453020c727edf694d74dd0ef3e81a786e
ca_proteinmpnn/PDB_complexes/example_2_outputs/seqs/4YOW.fa	same_hash	True	True	907	907	a35d5d8bdad244dfb7db6d30fe95a7f1f84a4a62dc1926b6292cfc97b8ceb126	a35d5d8bdad244dfb7db6d30fe95a7f1f84a4a62dc1926b6292cfc97b8ceb126
ca_proteinmpnn/PDB_complexes/example_3_outputs/seqs/3HTN.fa	same_hash	True	True	1057	1057	2ee418e85c5bf4dce7b11d181d271a3ded99c585d2b36613c83a680cd50a8fab	2ee418e85c5bf4dce7b11d181d271a3ded99c585d2b36613c83a680cd50a8fab
ca_proteinmpnn/PDB_complexes/example_4_outputs/assigned_pdbs.jsonl	same_hash	True	True	74	74	197714ea3e9318ec0cb4d0c70ac3141a3916a14966336d3f171119cb9e251efa	197714ea3e9318ec0cb4d0c70ac3141a3916a14966336d3f171119cb9e251efa
ca_proteinmpnn/PDB_complexes/example_4_outputs/fixed_pdbs.jsonl	same_hash	True	True	254	254	427f1d62ff8eda89708b121d7cdbd92da0b925e134e4a883b0368bf61455b931	427f1d62ff8eda89708b121d7cdbd92da0b925e134e4a883b0368bf61455b931
ca_proteinmpnn/PDB_complexes/example_4_outputs/parsed_pdbs.jsonl	same_hash	True	True	33482	33482	4cbad00843ac296a1489974234dfc94463b88b88ab0e6e5ae8f1e13b54c84581	4cbad00843ac296a1489974234dfc94463b88b88ab0e6e5ae8f1e13b54c84581
ca_proteinmpnn/PDB_complexes/example_4_outputs/seqs/3HTN.fa	same_hash	True	True	1057	1057	03e494a99e925f2008f27f01d144fc5a0c417a69fd20005f8db164f8fc92fbf7	03e494a99e925f2008f27f01d144fc5a0c417a69fd20005f8db164f8fc92fbf7
ca_proteinmpnn/PDB_complexes/example_4_outputs/seqs/4YOW.fa	same_hash	True	True	1576	1576	2d8330d6247277c26ada12e2048033cf7c8ce4ad78086b488cdb44c887cc5771	2d8330d6247277c26ada12e2048033cf7c8ce4ad78086b488cdb44c887cc5771
ca_proteinmpnn/PDB_complexes/example_5_outputs/assigned_pdbs.jsonl	same_hash	True	True	74	74	197714ea3e9318ec0cb4d0c70ac3141a3916a14966336d3f171119cb9e251efa	197714ea3e9318ec0cb4d0c70ac3141a3916a14966336d3f171119cb9e251efa
ca_proteinmpnn/PDB_complexes/example_5_outputs/fixed_pdbs.jsonl	same_hash	True	True	260	260	735353ec26d63b787db64d4aab74afcc1a427ee2f30dff59c01417c1b2c114f2	735353ec26d63b787db64d4aab74afcc1a427ee2f30dff59c01417c1b2c114f2
ca_proteinmpnn/PDB_complexes/example_5_outputs/parsed_pdbs.jsonl	same_hash	True	True	33482	33482	4cbad00843ac296a1489974234dfc94463b88b88ab0e6e5ae8f1e13b54c84581	4cbad00843ac296a1489974234dfc94463b88b88ab0e6e5ae8f1e13b54c84581
ca_proteinmpnn/PDB_complexes/example_5_outputs/seqs/3HTN.fa	same_hash	True	True	1057	1057	7568d06d0ecf670513a8dc791b6c833c75f9555be3b2946ee70023c88617a40a	7568d06d0ecf670513a8dc791b6c833c75f9555be3b2946ee70023c88617a40a
ca_proteinmpnn/PDB_complexes/example_5_outputs/seqs/4YOW.fa	same_hash	True	True	1576	1576	9113293dc1520e56ad63052b544f1259a1e5e481542b9e58d3b6c1f01e50f612	9113293dc1520e56ad63052b544f1259a1e5e481542b9e58d3b6c1f01e50f612
ca_proteinmpnn/PDB_complexes/example_5_outputs/tied_pdbs.jsonl	same_hash	True	True	373	373	7ddc7078feaab55326399636464beec317652c97b94fa01bceb22d3174731b73	7ddc7078feaab55326399636464beec317652c97b94fa01bceb22d3174731b73
ca_proteinmpnn/PDB_complexes/pdbs/3HTN.pdb	same_hash	True	True	424440	424440	1c206fecb1646ead026d44f06715890cb9c844dc088164afc723c4f3314af3e9	1c206fecb1646ead026d44f06715890cb9c844dc088164afc723c4f3314af3e9
ca_proteinmpnn/PDB_complexes/pdbs/4YOW.pdb	same_hash	True	True	965844	965844	af10a75ea2a2c223ddfc605d29cba18dd588dd93e6a2a66c7e27e20d0ec2807e	af10a75ea2a2c223ddfc605d29cba18dd588dd93e6a2a66c7e27e20d0ec2807e
ca_proteinmpnn/PDB_homooligomers/example_6_outputs/parsed_pdbs.jsonl	same_hash	True	True	39311	39311	b9c0c9d6cceffb1031bc676b328055132acf8a7becee6d7436cc000724d5aac9	b9c0c9d6cceffb1031bc676b328055132acf8a7becee6d7436cc000724d5aac9
ca_proteinmpnn/PDB_homooligomers/example_6_outputs/seqs/4GYT.fa	same_hash	True	True	1258	1258	5817de2fee372653a7711eed3002a74f0cf1ee67efa27da992075239f199e811	5817de2fee372653a7711eed3002a74f0cf1ee67efa27da992075239f199e811
ca_proteinmpnn/PDB_homooligomers/example_6_outputs/seqs/6EHB.fa	same_hash	True	True	3084	3084	d82f11bc3d23e108c810cf0207040cb6d017e9e065107b14e7b6caa3e04ea353	d82f11bc3d23e108c810cf0207040cb6d017e9e065107b14e7b6caa3e04ea353
ca_proteinmpnn/PDB_homooligomers/example_6_outputs/tied_pdbs.jsonl	same_hash	True	True	16243	16243	40fcf2a15253d14a669afc022db494fe4669b69899ed06b038299f0bec79f4db	40fcf2a15253d14a669afc022db494fe4669b69899ed06b038299f0bec79f4db
ca_proteinmpnn/PDB_homooligomers/pdbs/4GYT.pdb	same_hash	True	True	524637	524637	4a5e02d9235d13af82854d7f0e4ca72e00c58351a30645575a104064dc1ff1a2	4a5e02d9235d13af82854d7f0e4ca72e00c58351a30645575a104064dc1ff1a2
ca_proteinmpnn/PDB_homooligomers/pdbs/6EHB.pdb	same_hash	True	True	742527	742527	b429806793f2cae863eb608f2c1de2f85289f6bc6d3c50bfc103b2042e4a8df1	b429806793f2cae863eb608f2c1de2f85289f6bc6d3c50bfc103b2042e4a8df1
ca_proteinmpnn/PDB_monomers/example_1_outputs/parsed_pdbs.jsonl	same_hash	True	True	5372	5372	a6f9fa05c18ac3060b4f9c4da15c4fb21c7645bb7042000bc81d985a3387b07e	a6f9fa05c18ac3060b4f9c4da15c4fb21c7645bb7042000bc81d985a3387b07e
ca_proteinmpnn/PDB_monomers/example_1_outputs/seqs/5L33.fa	same_hash	True	True	506	506	8ad3b666d171db392c7399f42c4296faf00456f20ba64b1ae256552f6bf11b97	8ad3b666d171db392c7399f42c4296faf00456f20ba64b1ae256552f6bf11b97
ca_proteinmpnn/PDB_monomers/example_1_outputs/seqs/6MRR.fa	same_hash	True	True	392	392	528bd867e2a5b94124234701e1bc7860bcb43ed01099c75935832f3a68bcb1ae	528bd867e2a5b94124234701e1bc7860bcb43ed01099c75935832f3a68bcb1ae
ca_proteinmpnn/PDB_monomers/example_7_outputs/parsed_pdbs.jsonl	same_hash	True	True	5372	5372	a6f9fa05c18ac3060b4f9c4da15c4fb21c7645bb7042000bc81d985a3387b07e	a6f9fa05c18ac3060b4f9c4da15c4fb21c7645bb7042000bc81d985a3387b07e
ca_proteinmpnn/PDB_monomers/example_7_outputs/unconditional_probs_only/5L33.npz	same_hash	True	True	11592	11592	5569b50187c45a18742add3c0a04c550ed7bafbc1a1acef2c930d43be3575028	5569b50187c45a18742add3c0a04c550ed7bafbc1a1acef2c930d43be3575028
ca_proteinmpnn/PDB_monomers/example_7_outputs/unconditional_probs_only/6MRR.npz	same_hash	True	True	7792	7792	12baca693e46044a0b31b763e1e038aee0dddfa494b3ccf934232f018e160786	12baca693e46044a0b31b763e1e038aee0dddfa494b3ccf934232f018e160786
ca_proteinmpnn/PDB_monomers/example_8_outputs/bias_pdbs.jsonl	same_hash	True	True	122	122	9e03a9897dd3e464eb334cc72423d90d9834264ff99c1627f10cc906d1d4a750	9e03a9897dd3e464eb334cc72423d90d9834264ff99c1627f10cc906d1d4a750
ca_proteinmpnn/PDB_monomers/example_8_outputs/parsed_pdbs.jsonl	same_hash	True	True	5372	5372	a6f9fa05c18ac3060b4f9c4da15c4fb21c7645bb7042000bc81d985a3387b07e	a6f9fa05c18ac3060b4f9c4da15c4fb21c7645bb7042000bc81d985a3387b07e
ca_proteinmpnn/PDB_monomers/example_8_outputs/seqs/5L33.fa	same_hash	True	True	506	506	a74d25e0014cb0a67f74d26c2d910fde15827e8fd0fe7809c941db87c3b57ad4	a74d25e0014cb0a67f74d26c2d910fde15827e8fd0fe7809c941db87c3b57ad4
ca_proteinmpnn/PDB_monomers/example_8_outputs/seqs/6MRR.fa	same_hash	True	True	392	392	09dacb78267bc59c36a7bdde15698ca5a6501861e0b6b86ecc1af6d74d6caae0	09dacb78267bc59c36a7bdde15698ca5a6501861e0b6b86ecc1af6d74d6caae0
ca_proteinmpnn/PDB_monomers/pdbs/5L33.pdb	same_hash	True	True	181116	181116	21eb06c843410732e0b60528b1a99934435ac66822b2a1a3f1d402f363b9e218	21eb06c843410732e0b60528b1a99934435ac66822b2a1a3f1d402f363b9e218
ca_proteinmpnn/PDB_monomers/pdbs/6MRR.pdb	same_hash	True	True	173502	173502	310906dfdf1c0e5ada9ea8dad600a992bd83a8d53233fd5b034a556702aff9a2	310906dfdf1c0e5ada9ea8dad600a992bd83a8d53233fd5b034a556702aff9a2
ca_proteinmpnn/ca_model_weights/v_48_002.pt	same_hash	True	True	6624011	6624011	ec038b44a987d7c8351b6ed887c82a2370d54e45e55a6bdaf508a729cef0340e	ec038b44a987d7c8351b6ed887c82a2370d54e45e55a6bdaf508a729cef0340e
ca_proteinmpnn/ca_model_weights/v_48_010.pt	same_hash	True	True	6624011	6624011	cdb50498d45578d20b271fa7817b8cd8bfde3875ad69dbd3f5e4b5dd3e588301	cdb50498d45578d20b271fa7817b8cd8bfde3875ad69dbd3f5e4b5dd3e588301
ca_proteinmpnn/ca_model_weights/v_48_020.pt	same_hash	True	True	6624011	6624011	f28f40170e21858c5ff31ef50b6e63414ff76dc331b19f85aa8586a12031744a	f28f40170e21858c5ff31ef50b6e63414ff76dc331b19f85aa8586a12031744a
ca_proteinmpnn/examples/submit_example_1.sh	same_hash	True	True	668	668	75d5209d318365fdbc3a572ef8a1129d0c813b9f1be2e270463fec7cd422b0d1	75d5209d318365fdbc3a572ef8a1129d0c813b9f1be2e270463fec7cd422b0d1
ca_proteinmpnn/examples/submit_example_2.sh	same_hash	True	True	965	965	bcab55cd40c6db61b44a041870c51966230f862d35e06423e9a3257b26f89502	bcab55cd40c6db61b44a041870c51966230f862d35e06423e9a3257b26f89502
ca_proteinmpnn/examples/submit_example_3.sh	same_hash	True	True	556	556	3083efb8b757f8612d556be736386546a7bf2cc223c544f21551b5e4a2a271f0	3083efb8b757f8612d556be736386546a7bf2cc223c544f21551b5e4a2a271f0
ca_proteinmpnn/examples/submit_example_4.sh	same_hash	True	True	1537	1537	85bbac99a5ec5878e1f32f8b7fbd5be96e164edce530fc686d7a81dadfaff8ad	85bbac99a5ec5878e1f32f8b7fbd5be96e164edce530fc686d7a81dadfaff8ad
ca_proteinmpnn/examples/submit_example_5.sh	same_hash	True	True	1805	1805	9a8d969233dba1519b41ce37ccaf8f5d3a50a75789af2e5c51cfa132e3aa3e0a	9a8d969233dba1519b41ce37ccaf8f5d3a50a75789af2e5c51cfa132e3aa3e0a
ca_proteinmpnn/examples/submit_example_6.sh	same_hash	True	True	989	989	f7947cef8ae71e513567d00125562ec32b2c1c5bba62e77d27f33cb33d686b38	f7947cef8ae71e513567d00125562ec32b2c1c5bba62e77d27f33cb33d686b38
ca_proteinmpnn/examples/submit_example_7.sh	same_hash	True	True	707	707	39e86e0e33dd31bd8e690f5c1a0fd9e35f431545905264a91946fdefe0e5d813	39e86e0e33dd31bd8e690f5c1a0fd9e35f431545905264a91946fdefe0e5d813
ca_proteinmpnn/examples/submit_example_8.sh	same_hash	True	True	1020	1020	51d4a733a6e121eecb6f73c7a25422c6e1b22e91eaf7b0a45de3be6cf8e108f6	51d4a733a6e121eecb6f73c7a25422c6e1b22e91eaf7b0a45de3be6cf8e108f6
ca_proteinmpnn/helper_scripts/assign_fixed_chains.py	same_hash	True	True	1539	1539	3402950dae8e65fa1800f1211ead9db9ede56aa0d599c186994262a30fc1ba81	3402950dae8e65fa1800f1211ead9db9ede56aa0d599c186994262a30fc1ba81
ca_proteinmpnn/helper_scripts/make_bias_AA.py	same_hash	True	True	823	823	c74b570c104b9e58722361cdd681e96408d9af0d1ea05a78b73672a71cb25754	c74b570c104b9e58722361cdd681e96408d9af0d1ea05a78b73672a71cb25754
ca_proteinmpnn/helper_scripts/make_bias_per_res_dict.py	same_hash	True	True	1929	1929	7af21ab1a59c0a2f1dc044a1f9b609a57bdddb06714a00640b1dd0c527e748a5	7af21ab1a59c0a2f1dc044a1f9b609a57bdddb06714a00640b1dd0c527e748a5
ca_proteinmpnn/helper_scripts/make_fixed_positions_dict.py	same_hash	True	True	1755	1755	0bb962f416fe4cce6ebfefc23e0a18ed8ce348213bc2356ccd9b81e9c84ad821	0bb962f416fe4cce6ebfefc23e0a18ed8ce348213bc2356ccd9b81e9c84ad821
ca_proteinmpnn/helper_scripts/make_pos_neg_tied_positions_dict.py	same_hash	True	True	6077	6077	97736a00601ae54433fc074950b79ee661901c2fd8dc3d542ce2f5023811370c	97736a00601ae54433fc074950b79ee661901c2fd8dc3d542ce2f5023811370c
ca_proteinmpnn/helper_scripts/make_tied_positions_dict.py	same_hash	True	True	4876	4876	3d9b3cece5d61faf7cdacac49d33fc8a16cc5e54f103b76218c8ce5b1b6b4e0f	3d9b3cece5d61faf7cdacac49d33fc8a16cc5e54f103b76218c8ce5b1b6b4e0f
ca_proteinmpnn/helper_scripts/other_tools/make_omit_AA.py	same_hash	True	True	2241	2241	a84eb412c6d916befb0aa7190915408ea43185ad0c822aff3123ad48c35a2616	a84eb412c6d916befb0aa7190915408ea43185ad0c822aff3123ad48c35a2616
ca_proteinmpnn/helper_scripts/other_tools/make_pssm_dict.py	same_hash	True	True	2260	2260	3e1cd315602c0221f303ea95a12b44527a2b5de181ce085ec66397c92ebc2ae5	3e1cd315602c0221f303ea95a12b44527a2b5de181ce085ec66397c92ebc2ae5
ca_proteinmpnn/helper_scripts/parse_multiple_chains.out	same_hash	True	True	30	30	32b54bef22072554fbdedd1ab0cecf558278adba7c63d9b6d093cb7c6e90c1dc	32b54bef22072554fbdedd1ab0cecf558278adba7c63d9b6d093cb7c6e90c1dc
ca_proteinmpnn/helper_scripts/parse_multiple_chains.py	same_hash	True	True	5414	5414	0bb43e5e27e5b5b98f5ba7dcdc619e5e295d0c2e79a4d8b6a16fc99d75e85f83	0bb43e5e27e5b5b98f5ba7dcdc619e5e295d0c2e79a4d8b6a16fc99d75e85f83
ca_proteinmpnn/helper_scripts/parse_multiple_chains.sh	same_hash	True	True	231	231	dea7c51f307a9547e78fcca147ff3c6a71efa7c1b312aa2317dcb6c69b6f3a10	dea7c51f307a9547e78fcca147ff3c6a71efa7c1b312aa2317dcb6c69b6f3a10
ca_proteinmpnn/protein_mpnn_run.py	same_hash	True	True	23696	23696	52561529eda261a33342a91003c996d62bf23e5fada1542d05a1ab406d633e4e	52561529eda261a33342a91003c996d62bf23e5fada1542d05a1ab406d633e4e
ca_proteinmpnn/protein_mpnn_utils.py	same_hash	True	True	56893	56893	716a5d196f6c5fc6fc9f5ab074b29f0bd3a778b7696e152b360038b9b57ff027	716a5d196f6c5fc6fc9f5ab074b29f0bd3a778b7696e152b360038b9b57ff027
colab_notebooks/README.md	same_hash	True	True	225	225	91559410a8b11314b4bcecaa4895fbbb96ec7aa976202d0ae0752f1c7e8bf13b	91559410a8b11314b4bcecaa4895fbbb96ec7aa976202d0ae0752f1c7e8bf13b
colab_notebooks/ca_only_quickdemo.ipynb	same_hash	True	True	395574	395574	260f88cf0fc1cdbee1c4265d8a44e526798b6428c3519920c3ca33c46a9c545d	260f88cf0fc1cdbee1c4265d8a44e526798b6428c3519920c3ca33c46a9c545d
colab_notebooks/quickdemo.ipynb	same_hash	True	True	395584	395584	10e00c57bc2a90fde7c26df38310f67f4de0b0cbb719821a84c35b1b65c4affd	10e00c57bc2a90fde7c26df38310f67f4de0b0cbb719821a84c35b1b65c4affd
colab_notebooks/quickdemo_wAF2.ipynb	same_hash	True	True	31565	31565	a272bc9646522d73e9e5cb4632eba77593a3d37f639dde571f8b9334f2ae7e1b	a272bc9646522d73e9e5cb4632eba77593a3d37f639dde571f8b9334f2ae7e1b
vanilla_proteinmpnn/PDB_complexes/example_2_outputs/assigned_pdbs.jsonl	same_hash	True	True	74	74	178d910da412f02407c7778a82b573e200f660e4892dc60d3c2920b0eaf59cb5	178d910da412f02407c7778a82b573e200f660e4892dc60d3c2920b0eaf59cb5
vanilla_proteinmpnn/PDB_complexes/example_2_outputs/fixed_pdbs.jsonl	same_hash	True	True	254	254	dddf50301ee424d7ded7ec146c7651e4122f55b831c3778c300053731299cca8	dddf50301ee424d7ded7ec146c7651e4122f55b831c3778c300053731299cca8
