artifact	artifact_size_bytes	artifact_mtime_iso	notebook	cell_index	classification	cell_has_outputs	execution_count	snippet
Feature-Feature_Correlation.png	5791	2022-09-15T22:14:15	Quick_Dirty_MPNN_ML_V2_V3.ipynb	23	producer	True	23	"import pandas as pd import seaborn as sns import matplotlib.pyplot as plt used_features = [0,5,6,7,8,9,10,31,32,33,34,35] df_S_2648 = pd.DataFrame( {'DDG' : S_2648_y_aug[0::2], 'A': S_2648_X_aug[0::2,0], # 'P_DEC': Ssym_X[0::2,5], 'B' : S_2648_X_aug[0::2,6], 'C' : S_2648_X_aug[0::2,7], 'D' : S_2648_X_aug[0::2,8], # 'pssm_wild' : Ssym_X[0::2,9], # 'pssm_alternate' : Ssym_X[0::2,10], 'E-1' : S_2648_X_aug[0::2,31], 'E-2' : S_2648_X_aug[0::2,32], 'E-3' : S_2648_X_aug[0::2,33], 'E-4' : S_2648_X_aug[0::2,34], 'E-5' : S_2648_X_aug[0::2,35], 'F' : S_2648_X_aug[0::2,5], 'G' : S_2648_X_aug[0::2,9], 'H' : S_2648_X_aug[0::2,10] }) corr = df_S_2648.corr() sns.set(font_scale=1.7) dpi_loc = 200 plt.figure(figsize=(7, 5), dpi=dpi_loc) g = sns.heatmap(corr, xticklabels=corr.columns, yticklabels=corr.columns, linewidths=1.5, linecolor='black', cmap=""BrBG"", vmax=1.0, vmin=-1.0) g.set_yticklabels(g.get_yticklabels(),rotation=0,fontsize=18,fontweight=""bold"",fontfamily=""serif"") g.set_xticklabels(g.get_xticklabels(),rotation=90,fontsize=18,fontweight=""bold"",fontfamily=""serif"") plt.show() plt.savefig(""Feature-Feature_Correlation.png"",dpi=dpi_loc)"
Feature-Feature_Correlation.png	5791	2022-09-15T22:14:15	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	23	producer	True		"import pandas as pd import seaborn as sns import matplotlib.pyplot as plt used_features = [0,5,6,7,8,9,10,31,32,33,34,35] df_S_2648 = pd.DataFrame( {'DDG' : S_2648_y_aug[0::2], 'A': S_2648_X_aug[0::2,0], # 'P_DEC': Ssym_X[0::2,5], 'B' : S_2648_X_aug[0::2,6], 'C' : S_2648_X_aug[0::2,7], 'D' : S_2648_X_aug[0::2,8], # 'pssm_wild' : Ssym_X[0::2,9], # 'pssm_alternate' : Ssym_X[0::2,10], 'E-1' : S_2648_X_aug[0::2,31], 'E-2' : S_2648_X_aug[0::2,32], 'E-3' : S_2648_X_aug[0::2,33], 'E-4' : S_2648_X_aug[0::2,34], 'E-5' : S_2648_X_aug[0::2,35], 'F' : S_2648_X_aug[0::2,5], 'G' : S_2648_X_aug[0::2,9], 'H' : S_2648_X_aug[0::2,10] }) corr = df_S_2648.corr() sns.set(font_scale=1.7) dpi_loc = 200 plt.figure(figsize=(7, 5), dpi=dpi_loc) g = sns.heatmap(corr, xticklabels=corr.columns, yticklabels=corr.columns, linewidths=1.5, linecolor='black', cmap=""BrBG"", vmax=1.0, vmin=-1.0) g.set_yticklabels(g.get_yticklabels(),rotation=0,fontsize=18,fontweight=""bold"",fontfamily=""serif"") g.set_xticklabels(g.get_xticklabels(),rotation=90,fontsize=18,fontweight=""bold"",fontfamily=""serif"") plt.show() plt.savefig(""Feature-Feature_Correlation.png"",dpi=dpi_loc)"
S_2648_full_feature_dict.pickle	91064165	2022-08-16T11:13:42	Quick_Dirty_MPNN_ML.ipynb	4	consumer	False		"with open(""S_2648_full_feature_dict.pickle"",""rb"") as f: S_2648_two_level_dict = pickle.load(f) with open(""S_921_full_feature_dict.pickle"",""rb"") as f: S_921_two_level_dict = pickle.load(f) with open(""S_669_full_feature_dict.pickle"",""rb"") as f: S_669_two_level_dict = pickle.load(f) with open(""Ssym_full_feature_dict.pickle"",""rb"") as f: Ssym_two_level_dict = pickle.load(f)"
S_2648_full_feature_dict.pickle	91064165	2022-08-16T11:13:42	Quick_Dirty_MPNN_ML_V2.ipynb	5	consumer	False		"with open(""S_2648_full_feature_dict.pickle"",""rb"") as f: S_2648_two_level_dict = pickle.load(f) with open(""S_921_full_feature_dict.pickle"",""rb"") as f: S_921_two_level_dict = pickle.load(f) with open(""S_669_full_feature_dict.pickle"",""rb"") as f: S_669_two_level_dict = pickle.load(f) with open(""Ssym_full_feature_dict.pickle"",""rb"") as f: Ssym_two_level_dict = pickle.load(f)"
S_2648_pmppn_info_dict.pickle	89167705	2022-08-15T00:49:34	ProteinMPNNTesting_V6.ipynb	18	commented_consumer	False	35	"# import pickle # with open(""S_2648_pmppn_info_dict.pickle"",""rb"") as f: # two_level_dict = pickle.load(f)"
S_2648_pmppn_info_dict.pickle	89167705	2022-08-15T00:49:34	ProteinMPNNTesting_V6_V2_debug.ipynb	18	commented_consumer	False		"# import pickle # with open(""S_2648_pmppn_info_dict.pickle"",""rb"") as f: # two_level_dict = pickle.load(f)"
S_2648_pmppn_info_dict.pickle	89167705	2022-08-15T00:49:34	ProteinMPNNTesting_V6_V2_debug.ipynb	19	commented_consumer	False		"# # # some debugging, debugging # with open(""S_2648_pmppn_info_dict.pickle"",""rb"") as f: # t_d_one = pickle.load(f) # with open(""S_2648_pmppn_info_dict_V2.pickle"",""rb"") as f: # t_d_two = pickle.load(f)"
S_2648_pmppn_info_dict.pickle	89167705	2022-08-15T00:49:34	ProteinMPNNTesting_V7.ipynb	6	commented_producer_or_consumer	False		"# Save the incomplete ""two_level_dict"" as pickle file for a quick dirty comparison # import pickle # with open(""S_2648_pmppn_info_dict.pickle"",""wb"") as f: # pickle.dump(two_level_dict,f)"
S_2648_pmppn_info_dict.pickle	89167705	2022-08-15T00:49:34	ProteinMPNNTesting_V7.ipynb	7	commented_consumer	False		"# import pickle # with open(""S_2648_pmppn_info_dict.pickle"",""rb"") as f: # two_level_dict = pickle.load(f)"
S_2648_pmppn_info_dict_V2.pickle	156651038	2022-08-25T20:59:19	ProteinMPNNTesting_V6_V2.ipynb	16	commented_producer_or_consumer	False	40	"# # Save the incomplete ""two_level_dict"" as pickle file for a quick dirty comparison # import pickle # with open(""S_2648_pmppn_info_dict_V2.pickle"",""wb"") as f: # pickle.dump(two_level_dict,f)"
