notebook_a	notebook_b	jaccard	containment_smaller	shared_tokens	tokens_a	tokens_b
PyRun_Notebook_V16 (1).ipynb	PyRun_Notebook_V16.ipynb	1.0000	1.0000	1328	1328	1328
Quick_Dirty_MPNN_ML_V2_V3.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	1.0000	1.0000	797	797	797
PyRun_Notebook_V16 (1).ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.9992	1.0000	1328	1328	1329
PyRun_Notebook_V16.ipynb	PyRun_Notebook_V16_new_colab.ipynb	0.9992	1.0000	1328	1328	1329
ProteinMPNNTesting_V4.ipynb	ProteinMPNNTesting_V5.ipynb	0.9427	0.9966	1482	1487	1567
S669_ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.9808	0.9953	1685	1693	1710
S669_ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.9739	0.9952	1644	1652	1680
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting_V3.ipynb	0.9412	0.9949	784	788	829
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting_V4.ipynb	0.5258	0.9949	784	788	1487
ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V6.ipynb	0.9815	0.9946	1643	1665	1652
ProteinMPNNTesting_V2.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.9631	0.9937	783	788	808
ProteinMPNNTesting_V5.ipynb	ProteinMPNNTesting_V6.ipynb	0.9284	0.9930	1556	1567	1665
ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V6_V2_debug.ipynb	0.9616	0.9922	1654	1707	1667
ProteinMPNNTesting_V4.ipynb	ProteinMPNNTesting_V6.ipynb	0.8795	0.9919	1475	1487	1665
ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.9746	0.9916	1651	1665	1680
S669_ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	0.9509	0.9910	775	782	808
ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.9270	0.9910	775	829	782
Quick_Dirty_MPNN_ML.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	0.8054	0.9907	534	539	658
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting_V5.ipynb	0.4952	0.9898	780	788	1567
ProteinMPNNTesting_V6_V2.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	0.9710	0.9894	1675	1707	1693
ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V7.ipynb	0.3238	0.9890	541	1665	547
ProteinMPNNTesting_V4.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.5167	0.9885	773	1487	782
ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V4.ipynb	0.5471	0.9879	819	829	1487
ProteinMPNNTesting_V5.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.9089	0.9866	1546	1567	1680
ProteinMPNNTesting_V2.ipynb	S669_ProteinMPNNTesting_V3.ipynb	0.9650	0.9859	771	788	782
ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	0.9695	0.9854	1682	1707	1710
ProteinMPNNTesting_V4.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	0.8586	0.9839	1463	1487	1680
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting_V6.ipynb	0.4619	0.9835	775	788	1665
