filename	valid_notebook_json	error	size_bytes	mtime_iso	cells	code_cells	markdown_cells	executed_code_cells	code_cells_with_outputs	output_records	text_output_records	image_output_records	image_output_data_chars	error_output_records	file_sha256	source_sha256	code_sha256	datasets_mentioned	artifact_mentions_count	hardcoded_paths_count	pickle_load_count	pickle_dump_count	savefig_count	read_csv_count	read_excel_count	imports	defs	classes
ORTOOLS_test_MIKE_Stuff.ipynb	True		324	2022-11-04T22:59:38	1	1	0	0	0	0	0	0	0	0	148c275e721e02aedaf1a1e88626e91c27607c9889afc73a63986e573babf7af	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		0	0	0	0	0	0	0			
PRODY_test.ipynb	True		324	2022-10-28T22:16:04	1	1	0	0	0	0	0	0	0	0	9a8368ec5b692468372c49dfb47aa55b0bbec761af06256901c215b794da71d4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855		0	0	0	0	0	0	0			
PROVEAN_VAR_creation.ipynb	True		31335	2022-07-15T06:21:15	7	7	0	7	4	4	4	0	0	0	0d5516b90d4dd372e6d779a2118ef5a7d628331deec39ec5ae2df0e495b452fa	6a75486661ca65c34bbe2ad0f1edb4c77161ec7a519c719ef3b443364e95480d	6a75486661ca65c34bbe2ad0f1edb4c77161ec7a519c719ef3b443364e95480d	PremPS,S2648,S_2648	1	3	0	0	0	2	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from Bio.Seq import Seq | from Bio.SeqIO import write | from Bio.SeqRecord import SeqRecord | from google.colab import drive | import os | import pandas | import re | import sys	S_669Processing,clearDirectory,createStructureResPosMap,premPSProcessing	
Preparing_Fasta_Files_For_PROVEAN.ipynb	True		3377	2022-07-14T06:40:26	6	6	0	5	2	2	2	0	0	0	bd34106c5c450c409ebaad5aa0ecf970cee3f2a104854da607319b888a395a73	2987b32249b1543b772bc18b50d62a882e6f27491c66a22b7b758da0d3b7974e	2987b32249b1543b772bc18b50d62a882e6f27491c66a22b7b758da0d3b7974e	S_669	1	3	0	0	0	0	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from Bio.Seq import Seq | from Bio.SeqIO import write | from Bio.SeqRecord import SeqRecord | from google.colab import drive | import os | import sys	write_sequences_fasta	
ProteinMPNNTesting.ipynb	True		334551	2022-08-08T21:27:41	37	37	0	5	18	20	20	3	226259	0	28d185bab61d17201b034bcd13a1d925db226d1299d7c520634f552692529223	d04fb863e2706e6b4a58b8a1a65b44d1a1c114303b0844bc042019254daa3758	d04fb863e2706e6b4a58b8a1a65b44d1a1c114303b0844bc042019254daa3758	PremPS,S2648,S_2648,Ssym	3	7	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from mpl_toolkits.mplot3d import Axes3D | from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN | from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize, parse_PDB | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	convertChainFromAlphabetToNumber,returnPSSMArray,returnPSSMMapping	
ProteinMPNNTesting_V2.ipynb	True		150990	2022-08-09T01:20:17	27	27	0	23	10	13	13	2	64510	0	1354d85ce099b8e3654f68a4e62a6abc778ebd477ae707f7a58db19b4a9e7060	42e8fc6389c68d69c829ba29d3544a56b7a1c5c1bc71109153084f0334d2b636	42e8fc6389c68d69c829ba29d3544a56b7a1c5c1bc71109153084f0334d2b636	PremPS,S2648,S_2648,Ssym	3	6	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN | from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,convertChainFromAlphabetToNumber,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping	
ProteinMPNNTesting_V3.ipynb	True		151450	2022-08-09T22:47:17	31	31	0	25	12	15	15	2	57754	0	f80c78a12aea9b157c07c0f6b5b8dbba7d7ef4aef6cf9348dc55f19f7fd523e2	7b76a5bafc5d7c306627bfac8869a70ece237837fe5c3762078c60eab8e91e91	7b76a5bafc5d7c306627bfac8869a70ece237837fe5c3762078c60eab8e91e91	PremPS,S2648,S_2648,S_921,Ssym	3	6	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN | from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,convertChainFromAlphabetToNumber,distance_func_local,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info	
ProteinMPNNTesting_V4.ipynb	True		212884	2022-08-12T04:33:08	34	34	0	25	11	13	13	2	55810	0	8d8746e58663c8f171197c603a3e84e16155863ae4e789f40a25cdf0eb1eb416	43c4f0f712adc3008ce1ea786c3f68b94c7dc7b32db279191c42c65452699c98	43c4f0f712adc3008ce1ea786c3f68b94c7dc7b32db279191c42c65452699c98	PremPS,S2648,S_2648,Ssym	4	6	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
ProteinMPNNTesting_V5.ipynb	True		238160	2022-08-12T08:02:55	34	34	0	23	12	14	14	2	66890	0	0f2cc593d83b3d058bf3ff4bb5c422de571ec4aebf79d0a98795ed19cf5715c8	31f3f0a79fa461479e50bed7cede9f0573c557e0b90bf839fcc6cb30431d5d29	31f3f0a79fa461479e50bed7cede9f0573c557e0b90bf839fcc6cb30431d5d29	PremPS,S2648,S_2648,Ssym	4	6	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
ProteinMPNNTesting_V6.ipynb	True		377405	2022-08-16T04:05:08	30	30	0	26	11	13	13	2	197370	0	56a228068619986f5f83d3e99467966ba800f9709e76cc8c8802428113a81db4	0c04c1435c0d11e5842c8e33a6d126d4673cfb41be1e39930e35d6828d3ed831	0c04c1435c0d11e5842c8e33a6d126d4673cfb41be1e39930e35d6828d3ed831	PremPS,S2648,S_2648,S_921,Ssym	5	6	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import expit | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
