notebook	mention_type	mention	cell_index
PROVEAN_VAR_creation.ipynb	dataset	PremPS	
PROVEAN_VAR_creation.ipynb	dataset	S2648	
PROVEAN_VAR_creation.ipynb	dataset	S_2648	
PROVEAN_VAR_creation.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
PROVEAN_VAR_creation.ipynb	hardcoded_path	/content/drive	
PROVEAN_VAR_creation.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup	
PROVEAN_VAR_creation.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Preparing_Fasta_Files_For_PROVEAN.ipynb	dataset	S_669	
Preparing_Fasta_Files_For_PROVEAN.ipynb	artifact	{structure.get_id()}.fa	
Preparing_Fasta_Files_For_PROVEAN.ipynb	hardcoded_path	/content/drive	
Preparing_Fasta_Files_For_PROVEAN.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup	
Preparing_Fasta_Files_For_PROVEAN.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting.ipynb	dataset	PremPS	
ProteinMPNNTesting.ipynb	dataset	S2648	
ProteinMPNNTesting.ipynb	dataset	S_2648	
ProteinMPNNTesting.ipynb	dataset	Ssym	
ProteinMPNNTesting.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
ProteinMPNNTesting.ipynb	artifact	res_dict.pickle	
ProteinMPNNTesting.ipynb	artifact	{chain}.pdb	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/S_2648_Output_Files	
ProteinMPNNTesting_V2.ipynb	dataset	PremPS	
ProteinMPNNTesting_V2.ipynb	dataset	S2648	
ProteinMPNNTesting_V2.ipynb	dataset	S_2648	
ProteinMPNNTesting_V2.ipynb	dataset	Ssym	
ProteinMPNNTesting_V2.ipynb	artifact	1rtpA.pdb	
ProteinMPNNTesting_V2.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
