colab_notebook	git_notebook	same_filename	jaccard	containment_smaller	shared_tokens	colab_tokens	git_tokens
ProteinMPNNTesting.ipynb	ProteinMPNNTesting.ipynb	True	1.0000	1.0000	897	897	897
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting_V2.ipynb	True	1.0000	1.0000	788	788	788
ProteinMPNNTesting_V4.ipynb	ProteinMPNNTesting_V4.ipynb	True	1.0000	1.0000	1487	1487	1487
ProteinMPNNTesting_V5.ipynb	ProteinMPNNTesting_V5.ipynb	True	1.0000	1.0000	1567	1567	1567
Quick_Dirty_MPNN_ML.ipynb	Quick_Dirty_MPNN_ML.ipynb	True	1.0000	1.0000	539	539	539
Quick_Dirty_MPNN_ML_V2_V2.ipynb	Quick_Dirty_MPNN_ML_V2_V2.ipynb	True	1.0000	1.0000	656	656	656
Quick_Dirty_MPNN_ML_V2_V3.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	True	1.0000	1.0000	797	797	797
S669_ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V3.ipynb	True	1.0000	1.0000	782	782	782
Ssym_ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	True	1.0000	1.0000	808	808	808
Ssym_ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	True	1.0000	1.0000	1680	1680	1680
proteinmpnn_quickdemo.ipynb	proteinmpnn_quickdemo.ipynb	True	1.0000	1.0000	624	624	624
Quick_Dirty_MPNN_ML_V2.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	True	0.9924	1.0000	653	658	653
S669_ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V6.ipynb	True	0.9916	1.0000	1652	1652	1666
ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V6.ipynb	True	0.9887	0.9976	1661	1665	1676
Ssym_ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	True	0.9732	0.9964	1670	1710	1676
S669_ProteinMPNNTesting_V6_V2.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	True	0.9712	0.9964	1650	1693	1656
ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V6_V2.ipynb	True	0.9587	0.9928	1648	1707	1660
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	True	0.9665	0.9873	780	797	790
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	Quick_Dirty_MPNN_ML_V2_V3.ipynb	False	1.0000	1.0000	797	797	797
ProteinMPNNTesting_V4.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.9427	0.9966	1482	1487	1567
ProteinMPNNTesting_V5.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.9427	0.9966	1482	1567	1487
S669_ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.9739	0.9952	1644	1652	1680
ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.9412	0.9949	784	829	788
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.5258	0.9949	784	788	1487
ProteinMPNNTesting_V4.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.5258	0.9949	784	1487	788
Ssym_ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.9811	0.9946	1657	1680	1666
S669_ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.9751	0.9946	1643	1652	1676
Ssym_ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.9593	0.9940	1650	1710	1660
Ssym_ProteinMPNNTesting_V6_V2.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.9587	0.9940	1649	1710	1659
ProteinMPNNTesting_V2.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.9631	0.9937	783	788	808
Ssym_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.9631	0.9937	783	808	788
ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.9284	0.9930	1556	1665	1567
ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.8795	0.9919	1475	1665	1487
Ssym_ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.9811	0.9916	1662	1680	1676
ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.9746	0.9916	1651	1665	1680
Ssym_ProteinMPNNTesting_V6_V2.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.9524	0.9915	1642	1710	1656
ProteinMPNNTesting_V5.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.9189	0.9911	1553	1567	1676
ProteinMPNNTesting_V6_V2.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.9547	0.9910	1644	1707	1659
S669_ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.9509	0.9910	775	782	808
Ssym_ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.9509	0.9910	775	808	782
ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.9270	0.9910	775	829	782
Quick_Dirty_MPNN_ML.ipynb	Quick_Dirty_MPNN_ML_V2.ipynb	False	0.8116	0.9907	534	539	653
Quick_Dirty_MPNN_ML_V2.ipynb	Quick_Dirty_MPNN_ML.ipynb	False	0.8054	0.9907	534	658	539
ProteinMPNNTesting_V4.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.8705	0.9899	1472	1487	1676
S669_ProteinMPNNTesting_V6_V2.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.9608	0.9898	1643	1693	1660
S669_ProteinMPNNTesting_V6_V2.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.9602	0.9898	1642	1693	1659
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.4952	0.9898	780	788	1567
ProteinMPNNTesting_V5.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.4952	0.9898	780	1567	788
ProteinMPNNTesting_V4.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.5167	0.9885	773	1487	782
S669_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.5167	0.9885	773	782	1487
ProteinMPNNTesting_V6_V2.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.9473	0.9879	1636	1707	1656
ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.5471	0.9879	819	829	1487
Quick_Dirty_MPNN_ML_V2_V3.ipynb	Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	False	0.9665	0.9873	780	797	790
ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.9733	0.9868	1643	1665	1666
ProteinMPNNTesting_V5.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.9089	0.9866	1546	1567	1680
Ssym_ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.9089	0.9866	1546	1680	1567
ProteinMPNNTesting_V2.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.9650	0.9859	771	788	782
S669_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.9650	0.9859	771	782	788
ProteinMPNNTesting_V6_V2_debug.ipynb	ProteinMPNNTesting_V6_V2.ipynb	False	0.9663	0.9849	1635	1667	1660
ProteinMPNNTesting_V4.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.8586	0.9839	1463	1487	1680
Ssym_ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.8586	0.9839	1463	1680	1487
ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.4619	0.9835	775	1665	788
ProteinMPNNTesting_V7.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.3193	0.9835	538	547	1676
ProteinMPNNTesting_V5.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.4867	0.9834	769	1567	782
S669_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.4867	0.9834	769	782	1567
S669_ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.4619	0.9834	769	1652	782
S669_ProteinMPNNTesting_V3.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.4580	0.9834	769	782	1666
ProteinMPNNTesting_V6_V2_debug.ipynb	S921_ProteinMPNNTesting_V6_V2.ipynb	False	0.9622	0.9831	1631	1667	1659
ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.5155	0.9831	815	829	1567
ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.9476	0.9821	1646	1707	1676
S669_ProteinMPNNTesting_V6_V2.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.9542	0.9815	1645	1693	1676
Ssym_ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.4678	0.9814	793	808	1680
Ssym_ProteinMPNNTesting_V6.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.4678	0.9814	793	1680	808
ProteinMPNNTesting_V2.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.4560	0.9810	773	788	1680
Ssym_ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V2.ipynb	False	0.4560	0.9810	773	1680	788
S669_ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.9127	0.9802	1536	1652	1567
ProteinMPNNTesting_V5.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.9051	0.9802	1536	1567	1666
ProteinMPNNTesting_V6_V2_debug.ipynb	S669_ProteinMPNNTesting_V6_V2.ipynb	False	0.9547	0.9801	1623	1667	1656
ProteinMPNNTesting_V2.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.4563	0.9797	772	788	1676
ProteinMPNNTesting_V6_V2_debug.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.9538	0.9790	1632	1667	1676
S669_ProteinMPNNTesting_V6.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.8640	0.9785	1455	1652	1487
ProteinMPNNTesting_V4.ipynb	S669_ProteinMPNNTesting_V6.ipynb	False	0.8569	0.9785	1455	1487	1666
ProteinMPNNTesting_V6_V2_debug.ipynb	Ssym_ProteinMPNNTesting_V6_V2.ipynb	False	0.9527	0.9784	1631	1667	1676
ProteinMPNNTesting_V4.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.5239	0.9765	789	1487	808
Ssym_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V4.ipynb	False	0.5239	0.9765	789	808	1487
ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.4522	0.9744	762	1665	782
S669_ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.4482	0.9744	762	782	1680
Ssym_ProteinMPNNTesting_V6.ipynb	S669_ProteinMPNNTesting_V3.ipynb	False	0.4482	0.9744	762	1680	782
ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.9259	0.9740	787	829	808
ProteinMPNNTesting_V5.ipynb	Ssym_ProteinMPNNTesting_V3.ipynb	False	0.4956	0.9740	787	1567	808
Ssym_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V5.ipynb	False	0.4956	0.9740	787	808	1567
ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.4753	0.9735	807	829	1676
ProteinMPNNTesting_V3.ipynb	Ssym_ProteinMPNNTesting_V6.ipynb	False	0.4741	0.9735	807	829	1680
S669_ProteinMPNNTesting_V3.ipynb	ProteinMPNNTesting_V6.ipynb	False	0.4484	0.9731	761	782	1676
