filename	git_same_filename_exists	file_sha256_equal	source_sha256_equal	code_sha256_equal	colab_size_bytes	git_size_bytes	colab_mtime_iso	colab_code_cells	git_code_cells	colab_code_cells_with_outputs	git_code_cells_with_outputs	colab_source_sha256	git_source_sha256
ORTOOLS_test_MIKE_Stuff.ipynb	False	False	False	False	324		2022-11-04T22:59:38	1		0		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
PRODY_test.ipynb	False	False	False	False	324		2022-10-28T22:16:04	1		0		e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	
PROVEAN_VAR_creation.ipynb	False	False	False	False	31335		2022-07-15T06:21:15	7		4		6a75486661ca65c34bbe2ad0f1edb4c77161ec7a519c719ef3b443364e95480d	
Preparing_Fasta_Files_For_PROVEAN.ipynb	False	False	False	False	3377		2022-07-14T06:40:26	6		2		2987b32249b1543b772bc18b50d62a882e6f27491c66a22b7b758da0d3b7974e	
ProteinMPNNTesting.ipynb	True	False	True	True	334551	385468	2022-08-08T21:27:41	37	37	18	18	d04fb863e2706e6b4a58b8a1a65b44d1a1c114303b0844bc042019254daa3758	d04fb863e2706e6b4a58b8a1a65b44d1a1c114303b0844bc042019254daa3758
ProteinMPNNTesting_V2.ipynb	True	False	True	True	150990	174619	2022-08-09T01:20:17	27	27	10	10	42e8fc6389c68d69c829ba29d3544a56b7a1c5c1bc71109153084f0334d2b636	42e8fc6389c68d69c829ba29d3544a56b7a1c5c1bc71109153084f0334d2b636
ProteinMPNNTesting_V3.ipynb	False	False	False	False	151450		2022-08-09T22:47:17	31		12		7b76a5bafc5d7c306627bfac8869a70ece237837fe5c3762078c60eab8e91e91	
ProteinMPNNTesting_V4.ipynb	True	False	True	True	212884	246239	2022-08-12T04:33:08	34	34	11	11	43c4f0f712adc3008ce1ea786c3f68b94c7dc7b32db279191c42c65452699c98	43c4f0f712adc3008ce1ea786c3f68b94c7dc7b32db279191c42c65452699c98
ProteinMPNNTesting_V5.ipynb	True	False	True	True	238160	275045	2022-08-12T08:02:55	34	34	12	12	31f3f0a79fa461479e50bed7cede9f0573c557e0b90bf839fcc6cb30431d5d29	31f3f0a79fa461479e50bed7cede9f0573c557e0b90bf839fcc6cb30431d5d29
ProteinMPNNTesting_V6.ipynb	True	False	False	False	377405	427391	2022-08-16T04:05:08	30	31	11	11	0c04c1435c0d11e5842c8e33a6d126d4673cfb41be1e39930e35d6828d3ed831	bf75dc04aa58d09735427b7aa98db8fdbe293c0b2260f8eba3c9fdc3555d94d9
ProteinMPNNTesting_V6_V2.ipynb	True	False	False	False	468772	273303	2022-08-24T07:16:12	28	25	13	9	ada7960970013d8aa19caff80ff13f2df1ef8f631a9927d669bec04341b2da54	9b5f5fe33c3b1b885880f27031d8c4564436e8a432bf10f00adf09d61f9c2141
