filename	valid_notebook_json	error	size_bytes	mtime_iso	cells	code_cells	markdown_cells	executed_code_cells	code_cells_with_outputs	output_records	text_output_records	image_output_records	image_output_data_chars	error_output_records	file_sha256	source_sha256	code_sha256	datasets_mentioned	artifact_mentions_count	hardcoded_paths_count	pickle_load_count	pickle_dump_count	savefig_count	read_csv_count	read_excel_count	imports	defs	classes
ProteinMPNNTesting.ipynb	True		385468	2026-05-06T16:51:33	37	37	0	5	18	20	20	3	226259	0	779c7ffef787ce7460b3669420b65708ac8335b0614ce90d44b2d84f45d229c5	d04fb863e2706e6b4a58b8a1a65b44d1a1c114303b0844bc042019254daa3758	d04fb863e2706e6b4a58b8a1a65b44d1a1c114303b0844bc042019254daa3758	PremPS,S2648,S_2648,Ssym	3	7	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from mpl_toolkits.mplot3d import Axes3D | from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN | from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize, parse_PDB | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	convertChainFromAlphabetToNumber,returnPSSMArray,returnPSSMMapping	
ProteinMPNNTesting_V2.ipynb	True		174619	2026-05-06T16:51:33	27	27	0	23	10	13	13	2	64510	0	b1ef8c58dfe347fe07b2a130f14a47314545a1082ab1a5e11cee7dd58edc30fc	42e8fc6389c68d69c829ba29d3544a56b7a1c5c1bc71109153084f0334d2b636	42e8fc6389c68d69c829ba29d3544a56b7a1c5c1bc71109153084f0334d2b636	PremPS,S2648,S_2648,Ssym	3	6	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from protein_mpnn_utils import StructureDataset, StructureDatasetPDB, ProteinMPNN | from protein_mpnn_utils import loss_nll, loss_smoothed, gather_edges, gather_nodes, gather_nodes_t, cat_neighbors_nodes, _scores, _S_to_seq, tied_featurize | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,convertChainFromAlphabetToNumber,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping	
ProteinMPNNTesting_V4.ipynb	True		246239	2026-05-06T16:51:33	34	34	0	25	11	13	13	2	55810	0	fdaac8b6771bf5dbec3a5979a6222b0c2d693589fc52bdbb2c4f84fa58c341f1	43c4f0f712adc3008ce1ea786c3f68b94c7dc7b32db279191c42c65452699c98	43c4f0f712adc3008ce1ea786c3f68b94c7dc7b32db279191c42c65452699c98	PremPS,S2648,S_2648,Ssym	4	6	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
ProteinMPNNTesting_V5.ipynb	True		275045	2026-05-06T16:51:33	34	34	0	23	12	14	14	2	66890	0	3a94b4aa1ae612162660d726096756a709ac6bea5daccdb3aabc85ec6a1dd3de	31f3f0a79fa461479e50bed7cede9f0573c557e0b90bf839fcc6cb30431d5d29	31f3f0a79fa461479e50bed7cede9f0573c557e0b90bf839fcc6cb30431d5d29	PremPS,S2648,S_2648,Ssym	4	6	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
ProteinMPNNTesting_V6.ipynb	True		427391	2026-05-06T16:51:33	31	31	0	19	11	13	13	2	197370	1	9693fc86c8c3d090f1dde2d937fd43feadc3678b5a4fe50799cb34391f9bbef6	bf75dc04aa58d09735427b7aa98db8fdbe293c0b2260f8eba3c9fdc3555d94d9	bf75dc04aa58d09735427b7aa98db8fdbe293c0b2260f8eba3c9fdc3555d94d9	PremPS,S921,S_2648,S_921,Ssym	5	6	1	2	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import expit | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import random | import re | import seaborn | import shutil | import sys | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
ProteinMPNNTesting_V6_V2.ipynb	True		273303	2026-05-06T16:51:33	25	25	0	22	9	11	11	1	68761	0	fed608459213ed9a82e6c7853dc86653da9697f7f2b8d5150edc38cb2d69b6a7	9b5f5fe33c3b1b885880f27031d8c4564436e8a432bf10f00adf09d61f9c2141	9b5f5fe33c3b1b885880f27031d8c4564436e8a432bf10f00adf09d61f9c2141	PremPS,S2648,S_2648,Ssym	4	6	1	1	0	1	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from __future__ import print_function | from google.colab import drive | from scipy.special import expit | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from string import ascii_uppercase | from torch import optim | from torch.utils.data import DataLoader | from torch.utils.data.dataset import random_split, Subset | from tqdm.notebook import tqdm | import copy | import itertools | import json | import matplotlib.pyplot | import numpy | import os | import pandas | import random | import re | import seaborn | import shutil | import sys | import time | import torch | import torch.nn | import torch.nn.functional | import warnings	AA_to_N,N_to_AA,_S_to_seq,__getitem__,__init__,__iter__,__len__,_dist,_get_rbf,_rbf,_scores,cat_neighbors_nodes,conditional_probs,convertChainFromAlphabetToNumber,distance_func_local,forward,gather_edges,gather_nodes,gather_nodes_t,loss_nll,loss_smoothed,parse_PDB,parse_PDB_biounits,returnPSSMArray,returnPSSMMapping,return_neighbor_info,sample,tied_featurize,tied_sample,unconditional_probs	DecLayer,EncLayer,PositionWiseFeedForward,PositionalEncodings,ProteinFeatures,ProteinMPNN,StructureDataset,StructureDatasetPDB,StructureLoader
Quick_Dirty_MPNN_ML.ipynb	True		440028	2026-05-06T16:51:33	38	38	0	17	27	47	47	8	318340	0	994a49d9b7e21d77c37fb7e9adfd31d2de572a1c3a55bd01a708247ffbf4ba65	513a9d5b995e495ab2ccfe86e9e33745e71e3974a7ddbc761055a9d84aa3ad49	513a9d5b995e495ab2ccfe86e9e33745e71e3974a7ddbc761055a9d84aa3ad49	S_2648,S_669,S_921,Ssym	4	5	4	0	0	0	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.svm import SVR | from tqdm.notebook import tqdm | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys	hillclimbing,objective	
Quick_Dirty_MPNN_ML_V2.ipynb	True		567092	2026-05-06T16:51:33	46	46	0	16	30	50	50	10	406450	0	efd9a6646b138b30312be0734fafa69f9b89e88a7cc4deae268d8a1a4cca148f	ef5f38f5f418d8982a38e4948f43b838a8048099a124132f7456106cf3f3573c	ef5f38f5f418d8982a38e4948f43b838a8048099a124132f7456106cf3f3573c	S_2648,S_669,S_921,Ssym	6	5	5	2	0	0	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from itertools import combinations | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.svm import SVR | from tqdm.notebook import tqdm | import matplotlib | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys	hillclimbing,objective	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	True		411368	2026-05-06T16:51:33	43	43	0	16	19	31	31	5	248093	0	895bdcf25438245222551ed47c9a671a1651365773057fb9fae6c3dd203673ba	259120f07699a4a21a3ac84bc8acdd3d6a4b9b6047bd941096c1b4ece432843b	259120f07699a4a21a3ac84bc8acdd3d6a4b9b6047bd941096c1b4ece432843b	S2648,S669,S921,S_2648,S_669,S_921,Ssym	8	5	5	4	0	0	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from itertools import combinations | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.decomposition import KernelPCA | from sklearn.decomposition import PCA | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor, AdaBoostRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.preprocessing import StandardScaler | from sklearn.svm import SVR | from sklearn.tree import DecisionTreeRegressor | from tqdm.notebook import tqdm | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys		
Quick_Dirty_MPNN_ML_V2_V3.ipynb	True		812703	2026-05-06T16:51:33	42	42	0	16	27	43	43	9	629741	0	25ba99d2e6d4f3d3b1729942d4dc306e46ba26b49346cbdbc66c893f0dca6438	9581d84199d851a18f03bf18135bb3943a829b984bb8217c9c9d98380498aabf	9581d84199d851a18f03bf18135bb3943a829b984bb8217c9c9d98380498aabf	S_2648,S_669,S_921,Ssym	8	5	6	2	1	0	0	from Bio.PDB import * | from Bio.PDB.Polypeptide import * | from google.colab import drive | from scipy.special import kl_div | from scipy.special import softmax | from scipy.stats import entropy | from scipy.stats import pearsonr | from sklearn.decomposition import KernelPCA | from sklearn.decomposition import PCA | from sklearn.ensemble import GradientBoostingRegressor | from sklearn.ensemble import RandomForestRegressor, AdaBoostRegressor | from sklearn.linear_model import Lasso | from sklearn.linear_model import LinearRegression | from sklearn.linear_model import Ridge | from sklearn.preprocessing import Normalizer | from sklearn.preprocessing import StandardScaler | from sklearn.svm import SVR | from sklearn.tree import DecisionTreeRegressor | from tqdm.notebook import tqdm | import math | import matplotlib.pyplot | import numpy | import os | import pandas | import pickle | import random | import seaborn | import sys	dict_mean	
