notebook	mention_type	mention	cell_index
ProteinMPNNTesting.ipynb	dataset	PremPS	
ProteinMPNNTesting.ipynb	dataset	S2648	
ProteinMPNNTesting.ipynb	dataset	S_2648	
ProteinMPNNTesting.ipynb	dataset	Ssym	
ProteinMPNNTesting.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
ProteinMPNNTesting.ipynb	artifact	res_dict.pickle	
ProteinMPNNTesting.ipynb	artifact	{chain}.pdb	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
ProteinMPNNTesting.ipynb	hardcoded_path	/content/drive/MyDrive/S_2648_Output_Files	
ProteinMPNNTesting_V2.ipynb	dataset	PremPS	
ProteinMPNNTesting_V2.ipynb	dataset	S2648	
ProteinMPNNTesting_V2.ipynb	dataset	S_2648	
ProteinMPNNTesting_V2.ipynb	dataset	Ssym	
ProteinMPNNTesting_V2.ipynb	artifact	1rtpA.pdb	
ProteinMPNNTesting_V2.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
ProteinMPNNTesting_V2.ipynb	artifact	res_dict.pickle	
ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
ProteinMPNNTesting_V4.ipynb	dataset	PremPS	
ProteinMPNNTesting_V4.ipynb	dataset	S2648	
ProteinMPNNTesting_V4.ipynb	dataset	S_2648	
ProteinMPNNTesting_V4.ipynb	dataset	Ssym	
ProteinMPNNTesting_V4.ipynb	artifact	1rtpA.pdb	
ProteinMPNNTesting_V4.ipynb	artifact	dat.xlsx	
ProteinMPNNTesting_V4.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
ProteinMPNNTesting_V4.ipynb	artifact	res_dict.pickle	
ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
ProteinMPNNTesting_V5.ipynb	dataset	PremPS	
ProteinMPNNTesting_V5.ipynb	dataset	S2648	
ProteinMPNNTesting_V5.ipynb	dataset	S_2648	
ProteinMPNNTesting_V5.ipynb	dataset	Ssym	
ProteinMPNNTesting_V5.ipynb	artifact	1rtpA.pdb	
ProteinMPNNTesting_V5.ipynb	artifact	dat.xlsx	
ProteinMPNNTesting_V5.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
ProteinMPNNTesting_V5.ipynb	artifact	res_dict.pickle	
ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
