field	row_count	numeric_row_count	exact_zero_count	allclose_1e-6_count	max_abs_diff	median_abs_diff
log_prob	342	342	0	0	5.0782838	3.1891936999999997
top_15_attention_weights	342	342	0	0	0.6232897	0.08436870599999999
top_10_attention_weights	342	342	0	0	0.6232897	0.080917001
top_5_attention_weights	342	342	0	0	0.6232897	0.070879966
top_15_neighbor_indices	342	342	0	0	159.0	59.0
top_10_neighbor_indices	342	342	14	14	158.0	37.5
top_5_neighbor_indices	342	342	108	108	155.0	8.0
top_15_closest_neighbor_indices	342	342	342	342	0.0	0.0
top_10_closest_neighbor_indices	342	342	342	342	0.0	0.0
w_n_log_prob	342	342	0	0	8.3582325	5.49817635
m_n_log_prob	342	342	0	0	8.1458902	5.4775598
neighbor_aa_identities	342	0	NA	NA	NA	NA
neighbor_w_message_vector_coming_from_center	342	342	0	0	1.186219	0.32835766
neighbor_m_message_vector_coming_from_center	342	342	0	0	1.3270684	0.332909845
neighbor_w_neighbor_embedding	342	342	0	0	3.4519145	2.08199265
neighbor_m_neighbor_embedding	342	342	0	0	3.4296453	2.06888595
