v3_pickle_field	produced_from_code_value	storage_expression	primary_evidence_refs	status
log_prob	log_probs returned by modified ProteinMPNN.forward	"mut[""log_prob""] = log_probs.cpu().data.numpy()"	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt:1761; colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1768; colab_notebooks_inventory_analysis/git_notebook_sources/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1761; colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1765	direct storage evidence in primary V6_V2 notebooks
top_15_attention_weights	L2 norms of decoder_messages for the mutated center position	"mut[""top_15_attention_weights""] = top_15_attention_weights.cpu().data.numpy()"	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt:1783; colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1790; colab_notebooks_inventory_analysis/git_notebook_sources/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1783; colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1787	direct storage evidence in primary V6_V2 notebooks
top_10_attention_weights	L2 norms of decoder_messages for the mutated center position	"mut[""top_10_attention_weights""] = top_10_attention_weights.cpu().data.numpy()"	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt:1784; colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1791; colab_notebooks_inventory_analysis/git_notebook_sources/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1784; colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1788	direct storage evidence in primary V6_V2 notebooks
top_5_attention_weights	L2 norms of decoder_messages for the mutated center position	"mut[""top_5_attention_weights""] = top_5_attention_weights.cpu().data.numpy()"	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt:1785; colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1792; colab_notebooks_inventory_analysis/git_notebook_sources/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1785; colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1789	direct storage evidence in primary V6_V2 notebooks
top_15_neighbor_indices	top message-norm local neighbor slots mapped through return_neighbor_info E_idx	"mut[""top_15_neighbor_indices""] = top_15_attended_neighbor_indices.cpu().data.numpy()"	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt:1788; colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1795; colab_notebooks_inventory_analysis/git_notebook_sources/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1788; colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1792	direct storage evidence in primary V6_V2 notebooks
top_10_neighbor_indices	top message-norm local neighbor slots mapped through return_neighbor_info E_idx	"mut[""top_10_neighbor_indices""] = top_10_attended_neighbor_indices.cpu().data.numpy()"	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt:1789; colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1796; colab_notebooks_inventory_analysis/git_notebook_sources/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1789; colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1793	direct storage evidence in primary V6_V2 notebooks
top_5_neighbor_indices	top message-norm local neighbor slots mapped through return_neighbor_info E_idx	"mut[""top_5_neighbor_indices""] = top_5_attended_neighbor_indices.cpu().data.numpy()"	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt:1790; colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1797; colab_notebooks_inventory_analysis/git_notebook_sources/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1790; colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1794	direct storage evidence in primary V6_V2 notebooks
top_15_closest_neighbor_indices	nearest-neighbor residue indices returned by return_neighbor_info for the center residue	"mut[""top_15_closest_neighbor_indices""] = local_neighbors[0,seq_index,1:16].cpu().data.numpy()"	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt:1791; colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1798; colab_notebooks_inventory_analysis/git_notebook_sources/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1791; colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1795	direct storage evidence in primary V6_V2 notebooks
top_10_closest_neighbor_indices	nearest-neighbor residue indices returned by return_neighbor_info for the center residue	"mut[""top_10_closest_neighbor_indices""] = local_neighbors[0,seq_index,1:11].cpu().data.numpy()"	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt:1792; colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1799; colab_notebooks_inventory_analysis/git_notebook_sources/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1792; colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1796	direct storage evidence in primary V6_V2 notebooks
w_n_log_prob	neighbor log-probability vectors from modified forward output index 0 before center mutation	"mut[""w_n_log_prob""] = neighbor_w_log_probs"	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt:1940; colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1947; colab_notebooks_inventory_analysis/git_notebook_sources/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1940; colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt:1944	direct storage evidence in primary V6_V2 notebooks
