a_kind	a	b_kind	b	a_words	b_words	a_in_b_pct	b_in_a_pct	line_sequence_ratio
docx	SA_9_20_2022	docx	SA_9_20_2022_Equation_Update_Attempt	6528	6565	98.60	97.99	0.9565
docx	SA_9_20_2022	docx	SA_9_21_2022	6528	6764	98.49	94.72	0.9508
docx	SA_9_20_2022	docx	SA_9_23_2022_CEM	6528	6771	84.45	81.42	0.8276
docx	SA_9_20_2022	docx	SA_CEM_9_26_2022	6528	6771	84.45	81.42	0.8276
docx	SA_9_20_2022	docx	SA_CEM_9_26_2022_MJ	6528	6776	79.69	76.97	0.8147
docx	SA_9_20_2022	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6528	7182	79.27	75.61	0.8100
docx	SA_9_20_2022	docx	V1	6528	6109	91.49	97.05	0.9386
docx	SA_9_20_2022	pdf	SA_9_20_2022	6528	5932	92.58	93.79	0.0614
docx	SA_9_20_2022	pdf	SA_9_20_2022_CEM	6528	5932	92.58	93.79	0.0614
docx	SA_9_20_2022	pdf	SA_9_21_2022	6528	6160	92.01	89.73	0.0601
docx	SA_9_20_2022	pdf	SA_9_23_2022_CEM	6528	6141	81.84	80.04	0.0407
docx	SA_9_20_2022	pdf	V1_PDF	6528	4264	59.75	84.43	0.0442
docx	SA_9_20_2022_Equation_Update_Attempt	docx	SA_9_21_2022	6565	6764	99.78	96.57	0.9942
docx	SA_9_20_2022_Equation_Update_Attempt	docx	SA_9_23_2022_CEM	6565	6771	85.75	83.19	0.8646
docx	SA_9_20_2022_Equation_Update_Attempt	docx	SA_CEM_9_26_2022	6565	6771	85.75	83.19	0.8646
docx	SA_9_20_2022_Equation_Update_Attempt	docx	SA_CEM_9_26_2022_MJ	6565	6776	80.87	78.60	0.8470
docx	SA_9_20_2022_Equation_Update_Attempt	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6565	7182	80.45	77.21	0.8422
docx	SA_9_20_2022_Equation_Update_Attempt	docx	V1	6565	6109	90.54	96.64	0.9087
docx	SA_9_20_2022_Equation_Update_Attempt	pdf	SA_9_20_2022	6565	5932	91.45	93.23	0.0613
docx	SA_9_20_2022_Equation_Update_Attempt	pdf	SA_9_20_2022_CEM	6565	5932	91.45	93.23	0.0613
docx	SA_9_20_2022_Equation_Update_Attempt	pdf	SA_9_21_2022	6565	6160	92.26	90.53	0.0729
docx	SA_9_20_2022_Equation_Update_Attempt	pdf	SA_9_23_2022_CEM	6565	6141	82.07	80.76	0.0535
docx	SA_9_20_2022_Equation_Update_Attempt	pdf	V1_PDF	6565	4264	59.25	84.24	0.0441
docx	SA_9_21_2022	docx	SA_9_23_2022_CEM	6764	6771	85.61	85.82	0.8639
docx	SA_9_21_2022	docx	SA_CEM_9_26_2022	6764	6771	85.61	85.82	0.8639
docx	SA_9_21_2022	docx	SA_CEM_9_26_2022_MJ	6764	6776	80.89	81.23	0.8463
docx	SA_9_21_2022	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6764	7182	80.48	79.81	0.8416
docx	SA_9_21_2022	docx	V1	6764	6109	87.51	96.52	0.9030
docx	SA_9_21_2022	pdf	SA_9_20_2022	6764	5932	88.40	93.11	0.0611
docx	SA_9_21_2022	pdf	SA_9_20_2022_CEM	6764	5932	88.40	93.11	0.0611
docx	SA_9_21_2022	pdf	SA_9_21_2022	6764	6160	92.38	93.67	0.0726
docx	SA_9_21_2022	pdf	SA_9_23_2022_CEM	6764	6141	82.41	83.79	0.0534
docx	SA_9_21_2022	pdf	SA_CEM_9_26_2022	6764	6139	78.75	80.10	0.0534
docx	SA_9_21_2022	pdf	V1_PDF	6764	4264	57.34	84.24	0.0439
docx	SA_9_23_2022_CEM	docx	SA_CEM_9_26_2022	6771	6771	100.00	100.00	1.0000
docx	SA_9_23_2022_CEM	docx	SA_CEM_9_26_2022_MJ	6771	6776	93.69	93.86	0.9292
docx	SA_9_23_2022_CEM	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6771	7182	93.28	92.28	0.9196
docx	SA_9_23_2022_CEM	docx	V1	6771	6109	74.61	82.10	0.8321
docx	SA_9_23_2022_CEM	pdf	SA_9_21_2022	6771	6160	79.14	80.05	0.0563
docx	SA_9_23_2022_CEM	pdf	SA_9_23_2022_CEM	6771	6141	88.47	89.73	0.0563
docx	SA_9_23_2022_CEM	pdf	SA_CEM_9_26_2022	6771	6139	92.12	93.47	0.0542
docx	SA_CEM_9_26_2022	docx	SA_CEM_9_26_2022_MJ	6771	6776	93.69	93.86	0.9292
docx	SA_CEM_9_26_2022	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6771	7182	93.28	92.28	0.9196
docx	SA_CEM_9_26_2022	docx	V1	6771	6109	74.61	82.10	0.8321
docx	SA_CEM_9_26_2022	pdf	SA_9_21_2022	6771	6160	79.14	80.05	0.0563
docx	SA_CEM_9_26_2022	pdf	SA_9_23_2022_CEM	6771	6141	88.47	89.73	0.0563
docx	SA_CEM_9_26_2022	pdf	SA_CEM_9_26_2022	6771	6139	92.12	93.47	0.0542
docx	SA_CEM_9_26_2022_MJ	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6776	7182	99.41	98.17	0.9880
docx	SA_CEM_9_26_2022_MJ	docx	V1	6776	6109	70.47	77.40	0.8262
