source_kind	source	candidate_kind	candidate	source_words	candidate_words	source_ngrams	candidate_ngrams	source_ngrams_in_candidate_pct	candidate_ngrams_in_source_pct	line_sequence_ratio
docx	SA_9_20_2022	docx	SA_9_20_2022_Equation_Update_Attempt	6528	6565	5943	5980	98.60	97.99	0.9565
docx	SA_9_20_2022	docx	SA_9_21_2022	6528	6764	5943	6179	98.49	94.72	0.9508
docx	SA_9_20_2022	docx	SA_9_23_2022_CEM	6528	6771	5943	6164	84.45	81.42	0.8276
docx	SA_9_20_2022	docx	SA_CEM_9_26_2022	6528	6771	5943	6164	84.45	81.42	0.8276
docx	SA_9_20_2022	docx	SA_CEM_9_26_2022_MJ	6528	6776	5943	6153	79.69	76.97	0.8147
docx	SA_9_20_2022	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6528	7182	5943	6231	79.27	75.61	0.8100
docx	SA_9_20_2022	docx	V1	6528	6109	5943	5602	91.49	97.05	0.9386
docx	SA_9_20_2022	docx	V1_CEM	6528	1855	5943	1835	24.23	78.47	0.0549
docx	SA_9_20_2022	docx	some_soul_wrenching_physics	6528	23834	5943	23028	0.00	0.00	0.0000
docx	SA_9_20_2022	pdf	SA_9_20_2022	6528	5932	5943	5866	92.58	93.79	0.0614
docx	SA_9_20_2022	pdf	SA_9_20_2022_CEM	6528	5932	5943	5866	92.58	93.79	0.0614
docx	SA_9_20_2022	pdf	SA_9_21_2022	6528	6160	5943	6094	92.01	89.73	0.0601
docx	SA_9_20_2022	pdf	SA_9_23_2022_CEM	6528	6141	5943	6077	81.84	80.04	0.0407
docx	SA_9_20_2022	pdf	SA_CEM_9_26_2022	6528	6139	5943	6075	78.53	76.82	0.0408
docx	SA_9_20_2022	pdf	V1_PDF	6528	4264	5943	4206	59.75	84.43	0.0442
docx	SA_9_20_2022_Equation_Update_Attempt	docx	SA_9_20_2022	6565	6528	5980	5943	97.99	98.60	0.9565
docx	SA_9_20_2022_Equation_Update_Attempt	docx	SA_9_21_2022	6565	6764	5980	6179	99.78	96.57	0.9942
docx	SA_9_20_2022_Equation_Update_Attempt	docx	SA_9_23_2022_CEM	6565	6771	5980	6164	85.75	83.19	0.8646
docx	SA_9_20_2022_Equation_Update_Attempt	docx	SA_CEM_9_26_2022	6565	6771	5980	6164	85.75	83.19	0.8646
docx	SA_9_20_2022_Equation_Update_Attempt	docx	SA_CEM_9_26_2022_MJ	6565	6776	5980	6153	80.87	78.60	0.8470
docx	SA_9_20_2022_Equation_Update_Attempt	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6565	7182	5980	6231	80.45	77.21	0.8422
docx	SA_9_20_2022_Equation_Update_Attempt	docx	V1	6565	6109	5980	5602	90.54	96.64	0.9087
docx	SA_9_20_2022_Equation_Update_Attempt	docx	V1_CEM	6565	1855	5980	1835	24.06	78.42	0.0547
docx	SA_9_20_2022_Equation_Update_Attempt	docx	some_soul_wrenching_physics	6565	23834	5980	23028	0.00	0.00	0.0000
docx	SA_9_20_2022_Equation_Update_Attempt	pdf	SA_9_20_2022	6565	5932	5980	5866	91.45	93.23	0.0613
docx	SA_9_20_2022_Equation_Update_Attempt	pdf	SA_9_20_2022_CEM	6565	5932	5980	5866	91.45	93.23	0.0613
docx	SA_9_20_2022_Equation_Update_Attempt	pdf	SA_9_21_2022	6565	6160	5980	6094	92.26	90.53	0.0729
docx	SA_9_20_2022_Equation_Update_Attempt	pdf	SA_9_23_2022_CEM	6565	6141	5980	6077	82.07	80.76	0.0535
docx	SA_9_20_2022_Equation_Update_Attempt	pdf	SA_CEM_9_26_2022	6565	6139	5980	6075	78.78	77.55	0.0536
docx	SA_9_20_2022_Equation_Update_Attempt	pdf	V1_PDF	6565	4264	5980	4206	59.25	84.24	0.0441
docx	SA_9_21_2022	docx	SA_9_20_2022	6764	6528	6179	5943	94.72	98.49	0.9508
docx	SA_9_21_2022	docx	SA_9_20_2022_Equation_Update_Attempt	6764	6565	6179	5980	96.57	99.78	0.9942
docx	SA_9_21_2022	docx	SA_9_23_2022_CEM	6764	6771	6179	6164	85.61	85.82	0.8639
docx	SA_9_21_2022	docx	SA_CEM_9_26_2022	6764	6771	6179	6164	85.61	85.82	0.8639
docx	SA_9_21_2022	docx	SA_CEM_9_26_2022_MJ	6764	6776	6179	6153	80.89	81.23	0.8463
docx	SA_9_21_2022	docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	6764	7182	6179	6231	80.48	79.81	0.8416
docx	SA_9_21_2022	docx	V1	6764	6109	6179	5602	87.51	96.52	0.9030
docx	SA_9_21_2022	docx	V1_CEM	6764	1855	6179	1835	23.29	78.42	0.0544
docx	SA_9_21_2022	docx	some_soul_wrenching_physics	6764	23834	6179	23028	0.00	0.00	0.0000
docx	SA_9_21_2022	pdf	SA_9_20_2022	6764	5932	6179	5866	88.40	93.11	0.0611
docx	SA_9_21_2022	pdf	SA_9_20_2022_CEM	6764	5932	6179	5866	88.40	93.11	0.0611
docx	SA_9_21_2022	pdf	SA_9_21_2022	6764	6160	6179	6094	92.38	93.67	0.0726
docx	SA_9_21_2022	pdf	SA_9_23_2022_CEM	6764	6141	6179	6077	82.41	83.79	0.0534
docx	SA_9_21_2022	pdf	SA_CEM_9_26_2022	6764	6139	6179	6075	78.75	80.10	0.0534
docx	SA_9_21_2022	pdf	V1_PDF	6764	4264	6179	4206	57.34	84.24	0.0439
docx	SA_9_23_2022_CEM	docx	SA_9_20_2022	6771	6528	6164	5943	81.42	84.45	0.8276
