kind	stem	words	unique_words	lines	chars	path
docx	SA_9_20_2022	6528	1365	425	52385	manuscript_inventory_analysis/extracted/docx_text/SA_9_20_2022.txt
docx	SA_9_20_2022_Equation_Update_Attempt	6565	1364	426	52616	manuscript_inventory_analysis/extracted/docx_text/SA_9_20_2022_Equation_Update_Attempt.txt
docx	SA_9_21_2022	6764	1392	429	54065	manuscript_inventory_analysis/extracted/docx_text/SA_9_21_2022.txt
docx	SA_9_23_2022_CEM	6771	1387	416	54050	manuscript_inventory_analysis/extracted/docx_text/SA_9_23_2022_CEM.txt
docx	SA_CEM_9_26_2022	6771	1387	416	54051	manuscript_inventory_analysis/extracted/docx_text/SA_CEM_9_26_2022.txt
docx	SA_CEM_9_26_2022_MJ	6776	1396	417	54095	manuscript_inventory_analysis/extracted/docx_text/SA_CEM_9_26_2022_MJ.txt
docx	SA_CEM_9_26_2022_MJ_Issue_Adressing	7182	1400	417	56682	manuscript_inventory_analysis/extracted/docx_text/SA_CEM_9_26_2022_MJ_Issue_Adressing.txt
docx	V1	6109	1336	406	49672	manuscript_inventory_analysis/extracted/docx_text/V1.txt
docx	V1_CEM	1855	531	49	12064	manuscript_inventory_analysis/extracted/docx_text/V1_CEM.txt
docx	some_soul_wrenching_physics	23834	3109	585	155422	manuscript_inventory_analysis/extracted/docx_text/some_soul_wrenching_physics.txt
pdf	SA_9_20_2022	5932	1357	487	40326	manuscript_inventory_analysis/extracted/pdf_text/SA_9_20_2022.txt
pdf	SA_9_20_2022_CEM	5932	1357	487	40326	manuscript_inventory_analysis/extracted/pdf_text/SA_9_20_2022_CEM.txt
pdf	SA_9_21_2022	6160	1386	507	42022	manuscript_inventory_analysis/extracted/pdf_text/SA_9_21_2022.txt
pdf	SA_9_23_2022_CEM	6141	1388	508	41607	manuscript_inventory_analysis/extracted/pdf_text/SA_9_23_2022_CEM.txt
pdf	SA_CEM_9_26_2022	6139	1384	507	41597	manuscript_inventory_analysis/extracted/pdf_text/SA_CEM_9_26_2022.txt
pdf	V1_PDF	4264	1038	345	28868	manuscript_inventory_analysis/extracted/pdf_text/V1_PDF.txt
