file	comment_count	change_count	insertion_count	deletion_count	move_from_count	move_to_count	change_authors
SA_9_20_2022.docx	0	0	0	0	0	0	
SA_9_20_2022_Equation_Update_Attempt.docx	0	0	0	0	0	0	
SA_9_21_2022.docx	0	0	0	0	0	0	
SA_9_23_2022_CEM.docx	0	0	0	0	0	0	
SA_CEM_9_26_2022.docx	0	0	0	0	0	0	
SA_CEM_9_26_2022_MJ.docx	10	181	78	95	3	5	Jens Meiler
SA_CEM_9_26_2022_MJ_Issue_Adressing.docx	10	238	133	97	3	5	Ahmed, Sajid; Jens Meiler
V1.docx	0	0	0	0	0	0	
V1_CEM.docx	5	0	0	0	0	0	
some_soul_wrenching_physics.docx	0	0	0	0	0	0	
