file	change_type	author	date	text
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:08:00Z	a
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:43:00Z	∆∆ G/
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:11:00Z	s
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:14:00Z	complex relationship between mutations and protein structural stability,
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:13:00Z	and error-affiliated
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:14:00Z	and the difficult-to-predict scale of the structural change
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:14:00Z	, and experimental noise in DDG calculation
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:15:00Z	have attempted
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:15:00Z	ly
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:17:00Z	improved
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:15:00Z	improvement s
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:26:00Z	specifying
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:26:00Z	for successful protein folding and thus appropriate function
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:26:00Z	the function and regulation of these essential bio molecules
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:27:00Z	genetic
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:28:00Z	germline
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:27:00Z	
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:29:00Z	because of misfolding
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:29:00Z	
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:29:00Z	
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:37:00Z	mutation impact
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:37:00Z	required
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:37:00Z	needed
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:41:00Z	s
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:41:00Z	the
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:44:00Z	a
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:54:00Z	l
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:54:00Z	l
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T06:55:00Z	issues
SA_CEM_9_26_2022_MJ.docx	insertion	Jens Meiler	2022-09-28T06:55:00Z	limitations
SA_CEM_9_26_2022_MJ.docx	deletion	Jens Meiler	2022-09-28T07:08:00Z	-
