path	format	width	height	size
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/CN_NR_Encoding_Comparison.png	PNG	917	917	53197B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/ELI_CFTR/RE_Max_Normalized_Entropy.png	PNG	573	437	15311B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Feature-Feature_Correlation.png	PNG	1303	965	44459B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Feature_Combinations_MultiPlot.png	PNG	1517	717	48891B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Full_Feature_Set_PairWise_Correlation.png	PNG	1303	965	48217B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Neighbor_Embedding_Change_Norm_Logic.png	PNG	823	586	25006B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Neighbor_Message_Norm_Ratio_Logic.png	PNG	823	586	25437B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/S_921_Feature_Combinations.png	PNG	806	672	40341B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Soul_Wrenching_Physics/Bohr_atom_model.svg	SVG	310	270	3175B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Soul_Wrenching_Physics/Configuration_Space_3D_Example.PNG	PNG	1566	402	102744B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Soul_Wrenching_Physics/CuttingABarMagnet.svg	SVG	540	530	1068B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Soul_Wrenching_Physics/Electromagnetic_Wave_Frequency_Wavelength_Energy.PNG	PNG	1640	800	191042B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Soul_Wrenching_Physics/Line_Integral.PNG	PNG	1143	449	90807B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Soul_Wrenching_Physics/Lorentz_force_particle.svg	SVG	325	345	12320B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Soul_Wrenching_Physics/Many_Particles_MOMENTUM.PNG	PNG	1566	599	75379B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Soul_Wrenching_Physics/Planck_Constant.PNG	PNG	1585	700	183178B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Soul_Wrenching_Physics/Reciprocal_Lattice.PNG	PNG	1220	570	126103B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Soul_Wrenching_Physics/Rigid_Body_Space_3D_Example.PNG	PNG	1563	469	137023B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Soul_Wrenching_Physics/Single_Particle_MOMENTUM.PNG	PNG	1594	525	90510B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Soul_Wrenching_Physics/VFPt_charges_plus_minus_thumb.svg	SVG	220	165	19770B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/System_Diagram_One.png	PNG	921	371	82272B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/System_Diagram_Two.png	PNG	881	445	88575B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/System_Schematic.png	PNG	921	371	75945B
drive_evidence_copy/sajidahmedprotres_drive/MPNN_DDG_Manuscript/Vector_Extraction_Schematic.png	PNG	881	445	88675B
