file	normalized_path	array_count	shape_dtype_counts
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['log_prob']	921	"{""shape=[1, 164, 21] dtype=float32"": 188, ""shape=[1, 162, 21] dtype=float32"": 109, ""shape=[1, 153, 21] dtype=float32"": 69, ""shape=[1, 67, 21] dtype=float32"": 58, ""shape=[1, 136, 21] dtype=float32"": 51, ""shape=[1, 58, 21] dtype=float32"": 44, ""shape=[1, 104, 21] dtype=float32"": 39, ""shape=[1, 76, 21] dtype=float32"": 38, ""shape=[1, 194, 21] dtype=float32"": 37, ""shape=[1, 56, 21] dtype=float32"": 30, ""shape=[1, 149, 21] dtype=float32"": 30, ""shape=[1, 45, 21] dtype=float32"": 25, ""shape=[1, 108, 21] dtype=float32"": 20, ""shape=[1, 168, 21] dtype=float32"": 20, ""shape=[1, 107, 21] dtype=float32"": 20, ""shape=[1, 130, 21] dtype=float32"": 14, ""shape=[1, 370, 21] dtype=float32"": 14, ""shape=[1, 88, 21] dtype=float32"": 13, ""shape=[1, 175, 21] dtype=float32"": 10, ""shape=[1, 98, 21] dtype=float32"": 9, ""shape=[1, 191, 21] dtype=float32"": 9, ""shape=[1, 155, 21] dtype=float32"": 8, ""shape=[1, 124, 21] dtype=float32"": 8, ""shape=[1, 129, 21] dtype=float32"": 8, ""shape=[1, 86, 21] dtype=float32"": 7, ""shape=[1, 82, 21] dtype=float32"": 6, ""shape=[1, 116, 21] dtype=float32"": 5, ""shape=[1, 89, 21] dtype=float32"": 5, ""shape=[1, 94, 21] dtype=float32"": 5, ""shape=[1, 21, 21] dtype=float32"": 3, ""shape=[1, 65, 21] dtype=float32"": 3, ""shape=[1, 179, 21] dtype=float32"": 3, ""shape=[1, 84, 21] dtype=float32"": 2, ""shape=[1, 372, 21] dtype=float32"": 2, ""shape=[1, 96, 21] dtype=float32"": 2, ""shape=[1, 178, 21] dtype=float32"": 1, ""shape=[1, 368, 21] dtype=float32"": 1, ""shape=[1, 200, 21] dtype=float32"": 1, ""shape=[1, 75, 21] dtype=float32"": 1, ""shape=[1, 90, 21] dtype=float32"": 1, ""shape=[1, 103, 21] dtype=float32"": 1, ""shape=[1, 59, 21] dtype=float32"": 1}"
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['top_15_attention_weights']	921	"{""shape=[15] dtype=float32"": 921}"
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['top_10_attention_weights']	921	"{""shape=[10] dtype=float32"": 921}"
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['top_5_attention_weights']	921	"{""shape=[5] dtype=float32"": 921}"
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['top_15_neighbor_indices']	921	"{""shape=[15] dtype=int64"": 921}"
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['top_10_neighbor_indices']	921	"{""shape=[10] dtype=int64"": 921}"
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['top_5_neighbor_indices']	921	"{""shape=[5] dtype=int64"": 921}"
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['top_15_closest_neighbor_indices']	921	"{""shape=[15] dtype=int64"": 921}"
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['top_10_closest_neighbor_indices']	921	"{""shape=[10] dtype=int64"": 921}"
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	13815	"{""shape=[21] dtype=float32"": 13815}"
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	13815	"{""shape=[21] dtype=float32"": 13815}"
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	13815	"{""shape=[128] dtype=float32"": 13218, ""shape=[128] dtype=float64"": 597}"
S_921_full_feature_dict.pickle	root[<entry>][<idx>]['neighbor_m_message_vector_coming_from_center'][<idx>]	13815	"{""shape=[128] dtype=float32"": 13218, ""shape=[128] dtype=float64"": 597}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['log_prob']	921	"{""shape=[1, 164, 21] dtype=float32"": 188, ""shape=[1, 162, 21] dtype=float32"": 109, ""shape=[1, 153, 21] dtype=float32"": 69, ""shape=[1, 67, 21] dtype=float32"": 58, ""shape=[1, 136, 21] dtype=float32"": 51, ""shape=[1, 58, 21] dtype=float32"": 44, ""shape=[1, 104, 21] dtype=float32"": 39, ""shape=[1, 76, 21] dtype=float32"": 38, ""shape=[1, 194, 21] dtype=float32"": 37, ""shape=[1, 56, 21] dtype=float32"": 30, ""shape=[1, 149, 21] dtype=float32"": 30, ""shape=[1, 45, 21] dtype=float32"": 25, ""shape=[1, 108, 21] dtype=float32"": 20, ""shape=[1, 168, 21] dtype=float32"": 20, ""shape=[1, 107, 21] dtype=float32"": 20, ""shape=[1, 130, 21] dtype=float32"": 14, ""shape=[1, 370, 21] dtype=float32"": 14, ""shape=[1, 88, 21] dtype=float32"": 13, ""shape=[1, 175, 21] dtype=float32"": 10, ""shape=[1, 98, 21] dtype=float32"": 9, ""shape=[1, 191, 21] dtype=float32"": 9, ""shape=[1, 155, 21] dtype=float32"": 8, ""shape=[1, 124, 21] dtype=float32"": 8, ""shape=[1, 129, 21] dtype=float32"": 8, ""shape=[1, 86, 21] dtype=float32"": 7, ""shape=[1, 82, 21] dtype=float32"": 6, ""shape=[1, 116, 21] dtype=float32"": 5, ""shape=[1, 89, 21] dtype=float32"": 5, ""shape=[1, 94, 21] dtype=float32"": 5, ""shape=[1, 21, 21] dtype=float32"": 3, ""shape=[1, 65, 21] dtype=float32"": 3, ""shape=[1, 179, 21] dtype=float32"": 3, ""shape=[1, 84, 21] dtype=float32"": 2, ""shape=[1, 372, 21] dtype=float32"": 2, ""shape=[1, 96, 21] dtype=float32"": 2, ""shape=[1, 178, 21] dtype=float32"": 1, ""shape=[1, 368, 21] dtype=float32"": 1, ""shape=[1, 200, 21] dtype=float32"": 1, ""shape=[1, 75, 21] dtype=float32"": 1, ""shape=[1, 90, 21] dtype=float32"": 1, ""shape=[1, 103, 21] dtype=float32"": 1, ""shape=[1, 59, 21] dtype=float32"": 1}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['top_15_attention_weights']	921	"{""shape=[15] dtype=float32"": 921}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['top_10_attention_weights']	921	"{""shape=[10] dtype=float32"": 921}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['top_5_attention_weights']	921	"{""shape=[5] dtype=float32"": 921}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['top_15_neighbor_indices']	921	"{""shape=[15] dtype=int64"": 921}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['top_10_neighbor_indices']	921	"{""shape=[10] dtype=int64"": 921}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['top_5_neighbor_indices']	921	"{""shape=[5] dtype=int64"": 921}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['top_15_closest_neighbor_indices']	921	"{""shape=[15] dtype=int64"": 921}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['top_10_closest_neighbor_indices']	921	"{""shape=[10] dtype=int64"": 921}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	13815	"{""shape=[21] dtype=float32"": 13815}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	13815	"{""shape=[21] dtype=float32"": 13815}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	13815	"{""shape=[128] dtype=float32"": 13218, ""shape=[128] dtype=float64"": 597}"
S_921_pmppn_info_dict.pickle	root[<entry>][<idx>]['neighbor_m_message_vector_coming_from_center'][<idx>]	13815	"{""shape=[128] dtype=float32"": 13218, ""shape=[128] dtype=float64"": 597}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['log_prob']	921	"{""shape=[1, 164, 21] dtype=float32"": 188, ""shape=[1, 162, 21] dtype=float32"": 109, ""shape=[1, 153, 21] dtype=float32"": 69, ""shape=[1, 67, 21] dtype=float32"": 58, ""shape=[1, 136, 21] dtype=float32"": 51, ""shape=[1, 58, 21] dtype=float32"": 44, ""shape=[1, 104, 21] dtype=float32"": 39, ""shape=[1, 76, 21] dtype=float32"": 38, ""shape=[1, 194, 21] dtype=float32"": 37, ""shape=[1, 56, 21] dtype=float32"": 30, ""shape=[1, 149, 21] dtype=float32"": 30, ""shape=[1, 45, 21] dtype=float32"": 25, ""shape=[1, 108, 21] dtype=float32"": 20, ""shape=[1, 168, 21] dtype=float32"": 20, ""shape=[1, 107, 21] dtype=float32"": 20, ""shape=[1, 130, 21] dtype=float32"": 14, ""shape=[1, 370, 21] dtype=float32"": 14, ""shape=[1, 88, 21] dtype=float32"": 13, ""shape=[1, 175, 21] dtype=float32"": 10, ""shape=[1, 98, 21] dtype=float32"": 9, ""shape=[1, 191, 21] dtype=float32"": 9, ""shape=[1, 155, 21] dtype=float32"": 8, ""shape=[1, 124, 21] dtype=float32"": 8, ""shape=[1, 129, 21] dtype=float32"": 8, ""shape=[1, 86, 21] dtype=float32"": 7, ""shape=[1, 82, 21] dtype=float32"": 6, ""shape=[1, 116, 21] dtype=float32"": 5, ""shape=[1, 89, 21] dtype=float32"": 5, ""shape=[1, 94, 21] dtype=float32"": 5, ""shape=[1, 21, 21] dtype=float32"": 3, ""shape=[1, 65, 21] dtype=float32"": 3, ""shape=[1, 179, 21] dtype=float32"": 3, ""shape=[1, 84, 21] dtype=float32"": 2, ""shape=[1, 372, 21] dtype=float32"": 2, ""shape=[1, 96, 21] dtype=float32"": 2, ""shape=[1, 178, 21] dtype=float32"": 1, ""shape=[1, 368, 21] dtype=float32"": 1, ""shape=[1, 200, 21] dtype=float32"": 1, ""shape=[1, 75, 21] dtype=float32"": 1, ""shape=[1, 90, 21] dtype=float32"": 1, ""shape=[1, 103, 21] dtype=float32"": 1, ""shape=[1, 59, 21] dtype=float32"": 1}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['top_15_attention_weights']	921	"{""shape=[15] dtype=float32"": 921}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['top_10_attention_weights']	921	"{""shape=[10] dtype=float32"": 921}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['top_5_attention_weights']	921	"{""shape=[5] dtype=float32"": 921}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['top_15_neighbor_indices']	921	"{""shape=[15] dtype=int64"": 921}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['top_10_neighbor_indices']	921	"{""shape=[10] dtype=int64"": 921}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['top_5_neighbor_indices']	921	"{""shape=[5] dtype=int64"": 921}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['top_15_closest_neighbor_indices']	921	"{""shape=[15] dtype=int64"": 921}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['top_10_closest_neighbor_indices']	921	"{""shape=[10] dtype=int64"": 921}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	13815	"{""shape=[21] dtype=float32"": 13815}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	13815	"{""shape=[21] dtype=float32"": 13815}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	13815	"{""shape=[128] dtype=float32"": 13248, ""shape=[128] dtype=float64"": 567}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['neighbor_m_message_vector_coming_from_center'][<idx>]	13815	"{""shape=[128] dtype=float32"": 13248, ""shape=[128] dtype=float64"": 567}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['neighbor_w_neighbor_embedding'][<idx>]	13815	"{""shape=[128] dtype=float32"": 13815}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['neighbor_m_neighbor_embedding'][<idx>]	13815	"{""shape=[128] dtype=float32"": 13815}"
S_921_pmppn_info_dict_V2.pickle	root[<entry>][<idx>]['neighbor_embedding_change_m_w_raw']	921	"{""shape=[15, 128] dtype=float32"": 921}"
