file	path	normalized_path	type	detail	sample
S_921_full_feature_dict.pickle	root['107lA']	root[<entry>]	builtins.list	length=1	"[""{'mut': 'G44S', 'ddg': -0.5, 'log_prob': array([[[-4.9752383 , -5.51404   , -...""]"
S_921_full_feature_dict.pickle	root['107lA'][0]['mut']	root[<entry>][<idx>]['mut']	builtins.str	'G44S'	
S_921_full_feature_dict.pickle	root['107lA'][0]['ddg']	root[<entry>][<idx>]['ddg']	builtins.float	-0.5	
S_921_full_feature_dict.pickle	root['107lA'][0]['log_prob']	root[<entry>][<idx>]['log_prob']	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.0762726292014122, ""finite_mean"": -4.4129180908203125, ""finite_min"": -6.602211952209473, ""finite_std"": 1.3966870307922363, ""nan_count"": 0, ""ndim"": 3, ""shape"": [1, 162, 21], ""size"": 3402}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['top_15_attention_weights']	root[<entry>][<idx>]['top_15_attention_weights']	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 1.2920475006103516, ""finite_mean"": 0.47814780473709106, ""finite_min"": 0.18949496746063232, ""finite_std"": 0.29934266209602356, ""nan_count"": 0, ""ndim"": 1, ""shape"": [15], ""size"": 15}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['top_10_attention_weights']	root[<entry>][<idx>]['top_10_attention_weights']	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 1.2920475006103516, ""finite_mean"": 0.6036190390586853, ""finite_min"": 0.2560150921344757, ""finite_std"": 0.29473865032196045, ""nan_count"": 0, ""ndim"": 1, ""shape"": [10], ""size"": 10}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['top_5_attention_weights']	root[<entry>][<idx>]['top_5_attention_weights']	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 1.2920475006103516, ""finite_mean"": 0.8288754224777222, ""finite_min"": 0.5896077156066895, ""finite_std"": 0.2552439272403717, ""nan_count"": 0, ""ndim"": 1, ""shape"": [5], ""size"": 5}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['top_15_neighbor_indices']	root[<entry>][<idx>]['top_15_neighbor_indices']	numpy.ndarray	"{""dtype"": ""int64"", ""finite_max"": 64.0, ""finite_mean"": 41.8, ""finite_min"": 18.0, ""finite_std"": 10.571660229122008, ""nan_count"": 0, ""ndim"": 1, ""shape"": [15], ""size"": 15}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['top_10_neighbor_indices']	root[<entry>][<idx>]['top_10_neighbor_indices']	numpy.ndarray	"{""dtype"": ""int64"", ""finite_max"": 52.0, ""finite_mean"": 42.6, ""finite_min"": 35.0, ""finite_std"": 4.983974317750844, ""nan_count"": 0, ""ndim"": 1, ""shape"": [10], ""size"": 10}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['top_5_neighbor_indices']	root[<entry>][<idx>]['top_5_neighbor_indices']	numpy.ndarray	"{""dtype"": ""int64"", ""finite_max"": 47.0, ""finite_mean"": 43.6, ""finite_min"": 39.0, ""finite_std"": 2.8705400188814645, ""nan_count"": 0, ""ndim"": 1, ""shape"": [5], ""size"": 5}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['top_15_closest_neighbor_indices']	root[<entry>][<idx>]['top_15_closest_neighbor_indices']	numpy.ndarray	"{""dtype"": ""int64"", ""finite_max"": 55.0, ""finite_mean"": 45.06666666666667, ""finite_min"": 32.0, ""finite_std"": 6.392356546862998, ""nan_count"": 0, ""ndim"": 1, ""shape"": [15], ""size"": 15}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['top_10_closest_neighbor_indices']	root[<entry>][<idx>]['top_10_closest_neighbor_indices']	numpy.ndarray	"{""dtype"": ""int64"", ""finite_max"": 52.0, ""finite_mean"": 44.4, ""finite_min"": 39.0, ""finite_std"": 3.8262252939417984, ""nan_count"": 0, ""ndim"": 1, ""shape"": [10], ""size"": 10}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob']	root[<entry>][<idx>]['w_n_log_prob']	builtins.list	length=15	"[""array([-2.3659093, -5.449042 , -1.9565891, -1.385572 , -5.083492 ,\n       -4...."", ""array([-5.4481544 , -6.0728006 , -5.5209603 , -4.5769005 , -5.761504  ,\n     ..."", ""array([-3.1654413, -5.847598 , -4.2051144, -3.9221063, -5.510964 ,\n       -5...."", ""array([-1.1139431, -5.533584 , -5.265286 , -0.8755755, -5.395843 ,\n       -5...."", ""array([-5.568714  , -5.5486274 , -0.34124264, -5.2130003 , -5.590356  ,\n     ..."", ""array([-3.2928843 , -5.3934617 , -2.038844  , -4.205605  , -5.272694  ,\n     ..."", ""array([-1.1959593, -5.36504  , -1.7183918, -1.7205055, -5.2846155,\n       -5...."", ""array([-5.718612 , -5.7212977, -5.562309 , -5.6293592, -5.2733154,\n       -5....""]"
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][0]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -1.3855719566345215, ""finite_mean"": -3.8574106693267822, ""finite_min"": -5.532877445220947, ""finite_std"": 1.3017749786376953, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][1]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.4700189232826233, ""finite_mean"": -4.590451717376709, ""finite_min"": -6.072800636291504, ""finite_std"": 1.439831018447876, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][2]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.44081470370292664, ""finite_mean"": -4.354706287384033, ""finite_min"": -6.0061821937561035, ""finite_std"": 1.3249441385269165, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][3]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.8755754828453064, ""finite_mean"": -4.3821611404418945, ""finite_min"": -5.7766900062561035, ""finite_std"": 1.3927358388900757, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][4]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.34124264121055603, ""finite_mean"": -5.065025806427002, ""finite_min"": -5.780646800994873, ""finite_std"": 1.358324646949768, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][5]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.4669138193130493, ""finite_mean"": -4.532408237457275, ""finite_min"": -6.031429767608643, ""finite_std"": 1.3816640377044678, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][6]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -1.1959593296051025, ""finite_mean"": -4.071614742279053, ""finite_min"": -5.685641288757324, ""finite_std"": 1.380000114440918, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][7]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.08847429603338242, ""finite_mean"": -5.236751556396484, ""finite_min"": -6.072394371032715, ""finite_std"": 1.1749365329742432, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][8]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -1.182844638824463, ""finite_mean"": -3.7520198822021484, ""finite_min"": -5.487853527069092, ""finite_std"": 1.1864533424377441, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][9]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -1.5345290899276733, ""finite_mean"": -3.793130874633789, ""finite_min"": -5.452854156494141, ""finite_std"": 1.2745975255966187, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
