dataset	v3_pickle	consumer_file	line	ref_type	is_commented	is_downstream_load	line_text
S_2648	S_2648_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt	1954	save_wb	True	False	"# with open(""S_2648_pmppn_info_dict_V3.pickle"",""wb"") as f:"
S_2648	S_2648_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V3.ipynb.py.txt	47	load_rb	False	True	"with open(""S_2648_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_921	S_921_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V3.ipynb.py.txt	49	load_rb	False	True	"with open(""S_921_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_669	S_669_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V3.ipynb.py.txt	51	load_rb	False	True	"with open(""S_669_pmppn_info_dict_V3.pickle"",""rb"") as f:"
Ssym	Ssym_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V3.ipynb.py.txt	53	load_rb	False	True	"with open(""Ssym_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_2648	S_2648_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V4.ipynb.py.txt	47	load_rb	False	True	"with open(""S_2648_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_921	S_921_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V4.ipynb.py.txt	49	load_rb	False	True	"with open(""S_921_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_669	S_669_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V4.ipynb.py.txt	51	load_rb	False	True	"with open(""S_669_pmppn_info_dict_V3.pickle"",""rb"") as f:"
Ssym	Ssym_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_V4.ipynb.py.txt	53	load_rb	False	True	"with open(""Ssym_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_2648	S_2648_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	47	load_rb	False	True	"with open(""S_2648_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_921	S_921_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	49	load_rb	False	True	"with open(""S_921_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_669	S_669_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	51	load_rb	False	True	"with open(""S_669_pmppn_info_dict_V3.pickle"",""rb"") as f:"
Ssym	Ssym_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	53	load_rb	False	True	"with open(""Ssym_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_669	S_669_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt	1961	save_wb	True	False	"# with open(""S_669_pmppn_info_dict_V3.pickle"",""wb"") as f:"
S_921	S_921_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt	1954	save_wb	True	False	"# with open(""S_921_pmppn_info_dict_V3.pickle"",""wb"") as f:"
Ssym	Ssym_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt	1958	save_wb	True	False	"# with open(""Ssym_pmppn_info_dict_V3.pickle"",""wb"") as f:"
S_2648	S_2648_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML_V2_V3.ipynb.py.txt	47	load_rb	False	True	"with open(""S_2648_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_921	S_921_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML_V2_V3.ipynb.py.txt	49	load_rb	False	True	"with open(""S_921_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_669	S_669_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML_V2_V3.ipynb.py.txt	51	load_rb	False	True	"with open(""S_669_pmppn_info_dict_V3.pickle"",""rb"") as f:"
Ssym	Ssym_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML_V2_V3.ipynb.py.txt	53	load_rb	False	True	"with open(""Ssym_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_2648	S_2648_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	47	load_rb	False	True	"with open(""S_2648_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_921	S_921_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	49	load_rb	False	True	"with open(""S_921_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_669	S_669_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	51	load_rb	False	True	"with open(""S_669_pmppn_info_dict_V3.pickle"",""rb"") as f:"
Ssym	Ssym_pmppn_info_dict_V3.pickle	colab_notebooks_inventory_analysis/notebook_sources/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	53	load_rb	False	True	"with open(""Ssym_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_2648	S_2648_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/ProteinMPNNTesting_V6_V2.ipynb.py.txt	1954	save_wb	True	False	"# with open(""S_2648_pmppn_info_dict_V3.pickle"",""wb"") as f:"
S_2648	S_2648_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Quick_Dirty_MPNN_ML_V2_V3.ipynb.py.txt	47	load_rb	False	True	"with open(""S_2648_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_921	S_921_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Quick_Dirty_MPNN_ML_V2_V3.ipynb.py.txt	49	load_rb	False	True	"with open(""S_921_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_669	S_669_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Quick_Dirty_MPNN_ML_V2_V3.ipynb.py.txt	51	load_rb	False	True	"with open(""S_669_pmppn_info_dict_V3.pickle"",""rb"") as f:"
Ssym	Ssym_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Quick_Dirty_MPNN_ML_V2_V3.ipynb.py.txt	53	load_rb	False	True	"with open(""Ssym_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_2648	S_2648_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Quick_Dirty_MPNN_ML_V2_V4.ipynb.py.txt	47	load_rb	False	True	"with open(""S_2648_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_921	S_921_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Quick_Dirty_MPNN_ML_V2_V4.ipynb.py.txt	49	load_rb	False	True	"with open(""S_921_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_669	S_669_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Quick_Dirty_MPNN_ML_V2_V4.ipynb.py.txt	51	load_rb	False	True	"with open(""S_669_pmppn_info_dict_V3.pickle"",""rb"") as f:"
Ssym	Ssym_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Quick_Dirty_MPNN_ML_V2_V4.ipynb.py.txt	53	load_rb	False	True	"with open(""Ssym_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_2648	S_2648_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	47	load_rb	False	True	"with open(""S_2648_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_921	S_921_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	49	load_rb	False	True	"with open(""S_921_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_669	S_669_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	51	load_rb	False	True	"with open(""S_669_pmppn_info_dict_V3.pickle"",""rb"") as f:"
Ssym	Ssym_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb.py.txt	53	load_rb	False	True	"with open(""Ssym_pmppn_info_dict_V3.pickle"",""rb"") as f:"
S_669	S_669_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt	1961	save_wb	True	False	"# with open(""S_669_pmppn_info_dict_V3.pickle"",""wb"") as f:"
S_921	S_921_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/S921_ProteinMPNNTesting_V6_V2.ipynb.py.txt	1954	save_wb	True	False	"# with open(""S_921_pmppn_info_dict_V3.pickle"",""wb"") as f:"
Ssym	Ssym_pmppn_info_dict_V3.pickle	code_inventory_analysis/notebook_sources/git_sajid_additions/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt	1958	save_wb	True	False	"# with open(""Ssym_pmppn_info_dict_V3.pickle"",""wb"") as f:"
