dataset	output_file	output_exists	line	protein_or_file	normalized_protein_key	printed_forward_mutations	pickle_v3_mutation_count	count_match	trace_text
S_2648	colab_notebooks_inventory_analysis/git_notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True							NO_TRACE_MATCH
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	183	1akyA.pdb	1akya	6	6	True	Took 12.100699424743652 for 1akyA.pdb with 6 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	249	1aj3A.pdb	1aj3a	63	63	True	Took 103.11126613616943 for 1aj3A.pdb with 63 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	256	1aonU.pdb	1aonu	4	4	True	Took 6.543630599975586 for 1aonU.pdb with 4 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	273	1amqA.pdb	1amqa	14	14	True	Took 37.17925500869751 for 1amqA.pdb with 14 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	281	1a43A.pdb	1a43a	5	5	True	Took 8.128533363342285 for 1a43A.pdb with 5 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	288	1ankA.pdb	1anka	4	4	True	Took 7.569518566131592 for 1ankA.pdb with 4 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	444	1bniA.pdb	1bnia	153	153	True	Took 249.44212341308594 for 1bniA.pdb with 153 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	448	1boyA.pdb	1boya	1	1	True	Took 1.89314603805542 for 1boyA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	452	1b8eA.pdb	1b8ea	1	1	True	Took 1.6869628429412842 for 1b8eA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	459	1aepA.pdb	1aepa	4	4	True	Took 6.620171070098877 for 1aepA.pdb with 4 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	463	1blcA.pdb	1blca	1	1	True	Took 2.121150255203247 for 1blcA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	476	1ag2A.pdb	1ag2a	10	10	True	Took 16.409554481506348 for 1ag2A.pdb with 10 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	482	1a5eA.pdb	1a5ea	3	3	True	Took 5.178746700286865 for 1a5eA.pdb with 3 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	502	1arrA.pdb	1arra	17	17	True	Took 28.33138608932495 for 1arrA.pdb with 17 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	508	1b26A.pdb	1b26a	3	3	True	Took 7.977849721908569 for 1b26A.pdb with 3 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	512	1azpA.pdb	1azpa	1	1	True	Took 1.6662628650665283 for 1azpA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	517	1am7A.pdb	1am7a	2	2	True	Took 3.3240280151367188 for 1am7A.pdb with 2 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	545	1c9oA.pdb	1c9oa	25	25	True	Took 40.46771597862244 for 1c9oA.pdb with 25 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	549	1lucA.pdb	1luca	1	1	True	Took 2.4668362140655518 for 1lucA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	553	1ke4A.pdb	1ke4a	1	1	True	Took 2.5593512058258057 for 1ke4A.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	561	1cseI.pdb	1csei	5	5	True	Took 8.133938312530518 for 1cseI.pdb with 5 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	574	1hk0X.pdb	1hk0x	10	10	True	Took 17.09726095199585 for 1hk0X.pdb with 10 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	585	1mgrA.pdb	1mgra	8	8	True	Took 13.083358764648438 for 1mgrA.pdb with 8 forward-mutations
