dataset	version	filename	protein_key	normalized_protein_key	mutation_entry_count
S_2648	base	S_2648_pmppn_info_dict.pickle	1a43A	1a43a	5
S_2648	base	S_2648_pmppn_info_dict.pickle	1a5eA	1a5ea	3
S_2648	base	S_2648_pmppn_info_dict.pickle	1aepA	1aepa	4
S_2648	base	S_2648_pmppn_info_dict.pickle	1ag2A	1ag2a	10
S_2648	base	S_2648_pmppn_info_dict.pickle	1aj3A	1aj3a	63
S_2648	base	S_2648_pmppn_info_dict.pickle	1akyA	1akya	6
S_2648	base	S_2648_pmppn_info_dict.pickle	1am7A	1am7a	2
S_2648	base	S_2648_pmppn_info_dict.pickle	1amqA	1amqa	14
S_2648	base	S_2648_pmppn_info_dict.pickle	1ankA	1anka	4
S_2648	base	S_2648_pmppn_info_dict.pickle	1aonU	1aonu	4
S_2648	base	S_2648_pmppn_info_dict.pickle	1apsA	1apsa	21
S_2648	base	S_2648_pmppn_info_dict.pickle	1arrA	1arra	17
S_2648	base	S_2648_pmppn_info_dict.pickle	1azpA	1azpa	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1b26A	1b26a	3
S_2648	base	S_2648_pmppn_info_dict.pickle	1b8eA	1b8ea	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1blcA	1blca	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1bniA	1bnia	153
S_2648	base	S_2648_pmppn_info_dict.pickle	1boyA	1boya	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1btaA	1btaa	12
S_2648	base	S_2648_pmppn_info_dict.pickle	1bvcA	1bvca	41
S_2648	base	S_2648_pmppn_info_dict.pickle	1c9oA	1c9oa	25
S_2648	base	S_2648_pmppn_info_dict.pickle	1cahA	1caha	2
S_2648	base	S_2648_pmppn_info_dict.pickle	1ceyA	1ceya	14
S_2648	base	S_2648_pmppn_info_dict.pickle	1chkA	1chka	3
S_2648	base	S_2648_pmppn_info_dict.pickle	1cseI	1csei	5
S_2648	base	S_2648_pmppn_info_dict.pickle	1cspA	1cspa	21
S_2648	base	S_2648_pmppn_info_dict.pickle	1cunA	1cuna	26
S_2648	base	S_2648_pmppn_info_dict.pickle	1dktA	1dkta	17
S_2648	base	S_2648_pmppn_info_dict.pickle	1e65A	1e65a	21
S_2648	base	S_2648_pmppn_info_dict.pickle	1ey0A	1ey0a	482
S_2648	base	S_2648_pmppn_info_dict.pickle	1fkjA	1fkja	36
S_2648	base	S_2648_pmppn_info_dict.pickle	1fnaA	1fnaa	34
S_2648	base	S_2648_pmppn_info_dict.pickle	1ftgA	1ftga	27
S_2648	base	S_2648_pmppn_info_dict.pickle	1fvkA	1fvka	5
S_2648	base	S_2648_pmppn_info_dict.pickle	1g4iA	1g4ia	9
S_2648	base	S_2648_pmppn_info_dict.pickle	1g6nA	1g6na	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1h7mA	1h7ma	26
S_2648	base	S_2648_pmppn_info_dict.pickle	1hfzA	1hfza	22
S_2648	base	S_2648_pmppn_info_dict.pickle	1hk0X	1hk0x	10
S_2648	base	S_2648_pmppn_info_dict.pickle	1hmeA	1hmea	3
S_2648	base	S_2648_pmppn_info_dict.pickle	1hmkA	1hmka	25
S_2648	base	S_2648_pmppn_info_dict.pickle	1hmsA	1hmsa	17
S_2648	base	S_2648_pmppn_info_dict.pickle	1huuA	1huua	5
S_2648	base	S_2648_pmppn_info_dict.pickle	1ietA	1ieta	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1ifcA	1ifca	14
S_2648	base	S_2648_pmppn_info_dict.pickle	1igvA	1igva	15
S_2648	base	S_2648_pmppn_info_dict.pickle	1ihbA	1ihba	5
S_2648	base	S_2648_pmppn_info_dict.pickle	1imqA	1imqa	8
S_2648	base	S_2648_pmppn_info_dict.pickle	1io2A	1io2a	5
S_2648	base	S_2648_pmppn_info_dict.pickle	1iroA	1iroa	2
S_2648	base	S_2648_pmppn_info_dict.pickle	1jiwI	1jiwi	2
S_2648	base	S_2648_pmppn_info_dict.pickle	1kcqA	1kcqa	2
S_2648	base	S_2648_pmppn_info_dict.pickle	1kdxA	1kdxa	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1ke4A	1ke4a	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1kfwA	1kfwa	2
S_2648	base	S_2648_pmppn_info_dict.pickle	1lbiA	1lbia	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1lniA	1lnia	43
S_2648	base	S_2648_pmppn_info_dict.pickle	1lucA	1luca	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1lucB	1lucb	2
S_2648	base	S_2648_pmppn_info_dict.pickle	1lveA	1lvea	17
S_2648	base	S_2648_pmppn_info_dict.pickle	1lz1A	1lz1a	110
S_2648	base	S_2648_pmppn_info_dict.pickle	1mbgA	1mbga	3
S_2648	base	S_2648_pmppn_info_dict.pickle	1mgrA	1mgra	8
S_2648	base	S_2648_pmppn_info_dict.pickle	1mjcA	1mjca	9
S_2648	base	S_2648_pmppn_info_dict.pickle	1msiA	1msia	6
S_2648	base	S_2648_pmppn_info_dict.pickle	1n0jA	1n0ja	3
S_2648	base	S_2648_pmppn_info_dict.pickle	1oh0A	1oh0a	5
S_2648	base	S_2648_pmppn_info_dict.pickle	1oiaA	1oiaa	7
S_2648	base	S_2648_pmppn_info_dict.pickle	1oncA	1onca	3
S_2648	base	S_2648_pmppn_info_dict.pickle	1pdoA	1pdoa	3
S_2648	base	S_2648_pmppn_info_dict.pickle	1pgaA	1pgaa	12
S_2648	base	S_2648_pmppn_info_dict.pickle	1pohA	1poha	13
S_2648	base	S_2648_pmppn_info_dict.pickle	1qgvA	1qgva	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1qlpA	1qlpa	43
S_2648	base	S_2648_pmppn_info_dict.pickle	1qm4A	1qm4a	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1qndA	1qnda	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1rg8A	1rg8a	17
S_2648	base	S_2648_pmppn_info_dict.pickle	1rhgA	1rhga	10
S_2648	base	S_2648_pmppn_info_dict.pickle	1risA	1risa	16
S_2648	base	S_2648_pmppn_info_dict.pickle	1rn1C	1rn1c	31
S_2648	base	S_2648_pmppn_info_dict.pickle	1ropA	1ropa	20
S_2648	base	S_2648_pmppn_info_dict.pickle	1rtbA	1rtba	37
S_2648	base	S_2648_pmppn_info_dict.pickle	1rtpA	1rtpa	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1sakA	1saka	28
S_2648	base	S_2648_pmppn_info_dict.pickle	1shfA	1shfa	36
S_2648	base	S_2648_pmppn_info_dict.pickle	1shgA	1shga	4
S_2648	base	S_2648_pmppn_info_dict.pickle	1ssoA	1ssoa	1
S_2648	base	S_2648_pmppn_info_dict.pickle	1supA	1supa	6
S_2648	base	S_2648_pmppn_info_dict.pickle	1tenA	1tena	28
S_2648	base	S_2648_pmppn_info_dict.pickle	1titA	1tita	8
S_2648	base	S_2648_pmppn_info_dict.pickle	1tpkA	1tpka	6
S_2648	base	S_2648_pmppn_info_dict.pickle	1ttqA	1ttqa	8
S_2648	base	S_2648_pmppn_info_dict.pickle	1tyvA	1tyva	6
S_2648	base	S_2648_pmppn_info_dict.pickle	1ubqA	1ubqa	11
S_2648	base	S_2648_pmppn_info_dict.pickle	1uzcA	1uzca	45
S_2648	base	S_2648_pmppn_info_dict.pickle	1vqbA	1vqba	90
S_2648	base	S_2648_pmppn_info_dict.pickle	1witA	1wita	1
