dataset	version	filename	path	size_bytes	mtime_utc	sha256
S_2648	base	S_2648_pmppn_info_dict.pickle	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/S_2648_pmppn_info_dict.pickle	89167705	2022-08-14T18:49:34.594000+00:00	deb329e5163a3a3ee20698bd72677d481b3ac50cfbf670db719054e9b1dd1f63
S_2648	V2	S_2648_pmppn_info_dict_V2.pickle	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/S_2648_pmppn_info_dict_V2.pickle	156651038	2022-08-25T14:59:19.543000+00:00	78053a907ca988c5f4ef15c0b41198411d16c47bb2149bab3ec45b1abc4e7bac
S_2648	V3	S_2648_pmppn_info_dict_V3.pickle	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/S_2648_pmppn_info_dict_V3.pickle	183266414	2022-08-30T14:09:55.762000+00:00	efa7596832b9ef5aad692f1c818cd759b8c43ddd3a5266fcc9938d93527e4aab
S_921	base	S_921_pmppn_info_dict.pickle	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/S_921_pmppn_info_dict.pickle	31611020	2022-08-15T16:19:15.981000+00:00	cd92a03224d6d3034e44db10076f7cc9e2922e017e2ccbcee3b3be7c7cfb5552
S_921	V2	S_921_pmppn_info_dict_V2.pickle	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/S_921_pmppn_info_dict_V2.pickle	55304432	2022-08-25T16:03:49.548000+00:00	71d8ba6e81eca4009a73aca458b96b49ad0138c844da4bb49b499ca2a2f2833f
S_921	V3	S_921_pmppn_info_dict_V3.pickle	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/S_921_pmppn_info_dict_V3.pickle	64760657	2022-08-30T14:42:04.484000+00:00	5941620bb56f94056da126d6b544c7796cb5b961d9b358aebd70656419fb7daa
S_669	base	S_669_pmppn_info_dict.pickle	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/S_669_pmppn_info_dict.pickle	22466075	2022-08-15T16:42:16.671000+00:00	8f08434ea4440777776cd259991d167175da5520ec453e28814f38a5e210d8e6
S_669	V2	S_669_pmppn_info_dict_V2.pickle	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/S_669_pmppn_info_dict_V2.pickle	38853566	2022-08-25T16:55:43.939000+00:00	ac63e63bc25e5bd571b2c995afd763f5300f141c05902693d617bfdd25c99f8d
S_669	V3	S_669_pmppn_info_dict_V3.pickle	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/S_669_pmppn_info_dict_V3.pickle	45318104	2022-08-30T15:35:10.589000+00:00	7ce92a517bfb0b6377eab82b884baec669a177d85a059afbc8fbc15ba7ef87f9
Ssym	base	Ssym_pmppn_info_dict.pickle	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/Ssym_pmppn_info_dict.pickle	12187799	2022-08-15T22:23:14.965000+00:00	0f53efdaf5a0ead29484c8bff5d0cbaf813f17dbd81b3e988dc34a94d6092da1
Ssym	V2	Ssym_pmppn_info_dict_V2.pickle	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/Ssym_pmppn_info_dict_V2.pickle	20991070	2022-08-25T16:22:41.035000+00:00	5324be3f6d0e5c06e9587565f2b059d14088cf7b7ae9efff87dc48f2ad1e45e6
Ssym	V3	Ssym_pmppn_info_dict_V3.pickle	drive_evidence_copy/sajidahmedprotres_drive/Protein_MPNN_Digging/Ssym_pmppn_info_dict_V3.pickle	24447664	2022-08-30T15:19:29.919000+00:00	eda2f53036452182ce342d89b221202d3578eab5d0fd397c69d0db9ec34c92a2
