dataset	left_version	right_version	left_field_count	right_field_count	shared_field_count	left_only_fields	right_only_fields	expected_generator_fields_added_on_right	expected_generator_fields_present_on_right
S_2648	base	V2	16	42	16	[]	"[""V2_backward_weighted_neighbor_backward_KL"", ""V2_backward_weighted_neighbor_energy_changes"", ""V2_backward_weighted_neighbor_entropy_changes"", ""alternate_pssm"", ""backward_weighted_neighbor_backward_KL"", ""backward_weighted_neighbor_energy_changes"", ""backward_weighted_neighbor_entropy_changes"", ""center_entropy"", ""center_mut_max_energy"", ""center_mut_wild_energy"", ""center_neighbor_weight_check_m_w"", ""center_neighbor_weight_check_w_m"", ""neighbor_embedding_change_m_w"", ""neighbor_embedding_change_m_w_raw"", ""neighbor_m_neighbor_embedding"", ""neighbor_message_change_m_w"", ""neighbor_w_neighbor_embedding"", ""sum_neighbor_embedding_change_m_w"", ""unweighted_backward_KL"", ""unweighted_forward_KL"", ""weighted_neighbor_backward_KL"", ""weighted_neighbor_energy_changes"", ""weighted_neighbor_entropies"", ""weighted_neighbor_entropy_changes"", ""weighted_neighbor_forward_KL"", ""wild_pssm""]"	"[""neighbor_m_neighbor_embedding"", ""neighbor_w_neighbor_embedding""]"	"[""m_n_log_prob"", ""neighbor_aa_identities"", ""neighbor_m_message_vector_coming_from_center"", ""neighbor_m_neighbor_embedding"", ""neighbor_w_message_vector_coming_from_center"", ""neighbor_w_neighbor_embedding"", ""w_n_log_prob""]"
S_2648	V2	V3	42	43	42	[]	"[""neighbor_message_change_m_w_raw""]"	[]	"[""m_n_log_prob"", ""neighbor_aa_identities"", ""neighbor_m_message_vector_coming_from_center"", ""neighbor_m_neighbor_embedding"", ""neighbor_w_message_vector_coming_from_center"", ""neighbor_w_neighbor_embedding"", ""w_n_log_prob""]"
S_2648	base	V3	16	43	16	[]	"[""V2_backward_weighted_neighbor_backward_KL"", ""V2_backward_weighted_neighbor_energy_changes"", ""V2_backward_weighted_neighbor_entropy_changes"", ""alternate_pssm"", ""backward_weighted_neighbor_backward_KL"", ""backward_weighted_neighbor_energy_changes"", ""backward_weighted_neighbor_entropy_changes"", ""center_entropy"", ""center_mut_max_energy"", ""center_mut_wild_energy"", ""center_neighbor_weight_check_m_w"", ""center_neighbor_weight_check_w_m"", ""neighbor_embedding_change_m_w"", ""neighbor_embedding_change_m_w_raw"", ""neighbor_m_neighbor_embedding"", ""neighbor_message_change_m_w"", ""neighbor_message_change_m_w_raw"", ""neighbor_w_neighbor_embedding"", ""sum_neighbor_embedding_change_m_w"", ""unweighted_backward_KL"", ""unweighted_forward_KL"", ""weighted_neighbor_backward_KL"", ""weighted_neighbor_energy_changes"", ""weighted_neighbor_entropies"", ""weighted_neighbor_entropy_changes"", ""weighted_neighbor_forward_KL"", ""wild_pssm""]"	"[""neighbor_m_neighbor_embedding"", ""neighbor_w_neighbor_embedding""]"	"[""m_n_log_prob"", ""neighbor_aa_identities"", ""neighbor_m_message_vector_coming_from_center"", ""neighbor_m_neighbor_embedding"", ""neighbor_w_message_vector_coming_from_center"", ""neighbor_w_neighbor_embedding"", ""w_n_log_prob""]"
S_921	base	V2	16	42	16	[]	"[""V2_backward_weighted_neighbor_backward_KL"", ""V2_backward_weighted_neighbor_energy_changes"", ""V2_backward_weighted_neighbor_entropy_changes"", ""alternate_pssm"", ""backward_weighted_neighbor_backward_KL"", ""backward_weighted_neighbor_energy_changes"", ""backward_weighted_neighbor_entropy_changes"", ""center_entropy"", ""center_mut_max_energy"", ""center_mut_wild_energy"", ""center_neighbor_weight_check_m_w"", ""center_neighbor_weight_check_w_m"", ""neighbor_embedding_change_m_w"", ""neighbor_embedding_change_m_w_raw"", ""neighbor_m_neighbor_embedding"", ""neighbor_message_change_m_w"", ""neighbor_w_neighbor_embedding"", ""sum_neighbor_embedding_change_m_w"", ""unweighted_backward_KL"", ""unweighted_forward_KL"", ""weighted_neighbor_backward_KL"", ""weighted_neighbor_energy_changes"", ""weighted_neighbor_entropies"", ""weighted_neighbor_entropy_changes"", ""weighted_neighbor_forward_KL"", ""wild_pssm""]"	"[""neighbor_m_neighbor_embedding"", ""neighbor_w_neighbor_embedding""]"	"[""m_n_log_prob"", ""neighbor_aa_identities"", ""neighbor_m_message_vector_coming_from_center"", ""neighbor_m_neighbor_embedding"", ""neighbor_w_message_vector_coming_from_center"", ""neighbor_w_neighbor_embedding"", ""w_n_log_prob""]"
S_921	V2	V3	42	43	42	[]	"[""neighbor_message_change_m_w_raw""]"	[]	"[""m_n_log_prob"", ""neighbor_aa_identities"", ""neighbor_m_message_vector_coming_from_center"", ""neighbor_m_neighbor_embedding"", ""neighbor_w_message_vector_coming_from_center"", ""neighbor_w_neighbor_embedding"", ""w_n_log_prob""]"
S_921	base	V3	16	43	16	[]	"[""V2_backward_weighted_neighbor_backward_KL"", ""V2_backward_weighted_neighbor_energy_changes"", ""V2_backward_weighted_neighbor_entropy_changes"", ""alternate_pssm"", ""backward_weighted_neighbor_backward_KL"", ""backward_weighted_neighbor_energy_changes"", ""backward_weighted_neighbor_entropy_changes"", ""center_entropy"", ""center_mut_max_energy"", ""center_mut_wild_energy"", ""center_neighbor_weight_check_m_w"", ""center_neighbor_weight_check_w_m"", ""neighbor_embedding_change_m_w"", ""neighbor_embedding_change_m_w_raw"", ""neighbor_m_neighbor_embedding"", ""neighbor_message_change_m_w"", ""neighbor_message_change_m_w_raw"", ""neighbor_w_neighbor_embedding"", ""sum_neighbor_embedding_change_m_w"", ""unweighted_backward_KL"", ""unweighted_forward_KL"", ""weighted_neighbor_backward_KL"", ""weighted_neighbor_energy_changes"", ""weighted_neighbor_entropies"", ""weighted_neighbor_entropy_changes"", ""weighted_neighbor_forward_KL"", ""wild_pssm""]"	"[""neighbor_m_neighbor_embedding"", ""neighbor_w_neighbor_embedding""]"	"[""m_n_log_prob"", ""neighbor_aa_identities"", ""neighbor_m_message_vector_coming_from_center"", ""neighbor_m_neighbor_embedding"", ""neighbor_w_message_vector_coming_from_center"", ""neighbor_w_neighbor_embedding"", ""w_n_log_prob""]"
S_669	base	V2	16	41	16	[]	"[""V2_backward_weighted_neighbor_backward_KL"", ""V2_backward_weighted_neighbor_energy_changes"", ""V2_backward_weighted_neighbor_entropy_changes"", ""alternate_pssm"", ""backward_weighted_neighbor_backward_KL"", ""backward_weighted_neighbor_energy_changes"", ""backward_weighted_neighbor_entropy_changes"", ""center_entropy"", ""center_mut_max_energy"", ""center_mut_wild_energy"", ""center_neighbor_weight_check_m_w"", ""center_neighbor_weight_check_w_m"", ""neighbor_embedding_change_m_w"", ""neighbor_embedding_change_m_w_raw"", ""neighbor_m_neighbor_embedding"", ""neighbor_message_change_m_w"", ""neighbor_w_neighbor_embedding"", ""unweighted_backward_KL"", ""unweighted_forward_KL"", ""weighted_neighbor_backward_KL"", ""weighted_neighbor_energy_changes"", ""weighted_neighbor_entropies"", ""weighted_neighbor_entropy_changes"", ""weighted_neighbor_forward_KL"", ""wild_pssm""]"	"[""neighbor_m_neighbor_embedding"", ""neighbor_w_neighbor_embedding""]"	"[""m_n_log_prob"", ""neighbor_aa_identities"", ""neighbor_m_message_vector_coming_from_center"", ""neighbor_m_neighbor_embedding"", ""neighbor_w_message_vector_coming_from_center"", ""neighbor_w_neighbor_embedding"", ""w_n_log_prob""]"
S_669	V2	V3	41	42	41	[]	"[""neighbor_message_change_m_w_raw""]"	[]	"[""m_n_log_prob"", ""neighbor_aa_identities"", ""neighbor_m_message_vector_coming_from_center"", ""neighbor_m_neighbor_embedding"", ""neighbor_w_message_vector_coming_from_center"", ""neighbor_w_neighbor_embedding"", ""w_n_log_prob""]"
S_669	base	V3	16	42	16	[]	"[""V2_backward_weighted_neighbor_backward_KL"", ""V2_backward_weighted_neighbor_energy_changes"", ""V2_backward_weighted_neighbor_entropy_changes"", ""alternate_pssm"", ""backward_weighted_neighbor_backward_KL"", ""backward_weighted_neighbor_energy_changes"", ""backward_weighted_neighbor_entropy_changes"", ""center_entropy"", ""center_mut_max_energy"", ""center_mut_wild_energy"", ""center_neighbor_weight_check_m_w"", ""center_neighbor_weight_check_w_m"", ""neighbor_embedding_change_m_w"", ""neighbor_embedding_change_m_w_raw"", ""neighbor_m_neighbor_embedding"", ""neighbor_message_change_m_w"", ""neighbor_message_change_m_w_raw"", ""neighbor_w_neighbor_embedding"", ""unweighted_backward_KL"", ""unweighted_forward_KL"", ""weighted_neighbor_backward_KL"", ""weighted_neighbor_energy_changes"", ""weighted_neighbor_entropies"", ""weighted_neighbor_entropy_changes"", ""weighted_neighbor_forward_KL"", ""wild_pssm""]"	"[""neighbor_m_neighbor_embedding"", ""neighbor_w_neighbor_embedding""]"	"[""m_n_log_prob"", ""neighbor_aa_identities"", ""neighbor_m_message_vector_coming_from_center"", ""neighbor_m_neighbor_embedding"", ""neighbor_w_message_vector_coming_from_center"", ""neighbor_w_neighbor_embedding"", ""w_n_log_prob""]"
Ssym	base	V2	16	41	16	[]	"[""V2_backward_weighted_neighbor_backward_KL"", ""V2_backward_weighted_neighbor_energy_changes"", ""V2_backward_weighted_neighbor_entropy_changes"", ""alternate_pssm"", ""backward_weighted_neighbor_backward_KL"", ""backward_weighted_neighbor_energy_changes"", ""backward_weighted_neighbor_entropy_changes"", ""center_entropy"", ""center_mut_max_energy"", ""center_mut_wild_energy"", ""center_neighbor_weight_check_m_w"", ""center_neighbor_weight_check_w_m"", ""neighbor_embedding_change_m_w"", ""neighbor_embedding_change_m_w_raw"", ""neighbor_m_neighbor_embedding"", ""neighbor_message_change_m_w"", ""neighbor_w_neighbor_embedding"", ""unweighted_backward_KL"", ""unweighted_forward_KL"", ""weighted_neighbor_backward_KL"", ""weighted_neighbor_energy_changes"", ""weighted_neighbor_entropies"", ""weighted_neighbor_entropy_changes"", ""weighted_neighbor_forward_KL"", ""wild_pssm""]"	"[""neighbor_m_neighbor_embedding"", ""neighbor_w_neighbor_embedding""]"	"[""m_n_log_prob"", ""neighbor_aa_identities"", ""neighbor_m_message_vector_coming_from_center"", ""neighbor_m_neighbor_embedding"", ""neighbor_w_message_vector_coming_from_center"", ""neighbor_w_neighbor_embedding"", ""w_n_log_prob""]"
