notebook_path	cell_index	execution_count	output_index	output_sha256	byte_length	width	height	text_plain	matches_manuscript_figure	source_contains_s669_total_pcc	source_contains_ssym_total_pcc	source_contains_dict_mean
source_repos/SajidAhmeduiu_ProteinMPNN/Sajid_Additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	15	16	2	0598146e999a49f0f6d1c0bc83ae2a1e23a562bcb7f0ff762b0366ef20cc5ba3	25079	823	586	<Figure size 700x500 with 1 Axes>	False	False	False	False
source_repos/SajidAhmeduiu_ProteinMPNN/Sajid_Additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	16	17	2	85619978ef4b255546ea9857b688bfeaece776380ba9296ce1847a2cf4df8374	25530	823	586	<Figure size 700x500 with 1 Axes>	False	False	False	False
source_repos/SajidAhmeduiu_ProteinMPNN/Sajid_Additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	17	53	0	3e191fed6392fb41b8352d1e56d602e35de84e269f5ecba0a5dc3b31941c6bf1	57476	717	1117	<Figure size 800x1200 with 2 Axes>	False	False	False	False
source_repos/SajidAhmeduiu_ProteinMPNN/Sajid_Additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	24	30	0	7bd579efdeff76c65147f82e8a725a4d11db265e527e67ad34884125c6b40e62	44459	1303	965	<Figure size 1400x1000 with 2 Axes>	False	False	False	False
source_repos/SajidAhmeduiu_ProteinMPNN/Sajid_Additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	25	29	0	60d9e77dfc5b802cb694df1c4851021a6f91b2cf1e2de6c7a0933eaac51f48a9	48217	1303	965	<Figure size 1400x1000 with 2 Axes>	False	False	False	False
source_repos/SajidAhmeduiu_ProteinMPNN/Sajid_Additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	37	54	1	f5cee93ecd2ba6f4b671809add4fc8c09c7a100aa4e1fc20f5ab78c3cdb01bb3	20520	806	413	<Figure size 700x300 with 1 Axes>	False	False	False	True
source_repos/SajidAhmeduiu_ProteinMPNN/Sajid_Additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	38	55	1	33e0dfdf1c88106aa3077c31d43d648071fee8334deb299d27670f2e6062af26	20494	806	413	<Figure size 700x300 with 1 Axes>	False	True	False	True
source_repos/SajidAhmeduiu_ProteinMPNN/Sajid_Additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	39	56	1	cb5c24eaad01b30950551e3681e317af70e207a325477796cfc2bc0412333666	22763	806	416	<Figure size 700x300 with 1 Axes>	False	False	True	True
source_repos/SajidAhmeduiu_ProteinMPNN/Sajid_Additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	40	58	0	9cec9fcf1d3f466b8bf0f1766bc98c20152b2c617c5d872d3e3588f79143da95	48891	1517	717	<Figure size 1600x800 with 1 Axes>	True	True	True	True
source_repos/SajidAhmeduiu_ProteinMPNN/Sajid_Additions/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	41		0	096e23dca5b5d2dc4fb33c0e30c5f40a83c71c9260bf935548944296bf8b3720	103000	1517	1517	<Figure size 1600x1600 with 2 Axes>	False	True	True	True
drive_evidence_copy/sajidahmedprotres_drive/Colab Notebooks/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	14		2	8a772a2e51e877f3f1e1cfb48ed942c233c1c9fff6b59b551a65a5e636d37786	25006	823	586	<Figure size 700x500 with 1 Axes>	False	False	False	False
drive_evidence_copy/sajidahmedprotres_drive/Colab Notebooks/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	15		2	11dfdabe6a86588964d5966f86495adb282ead959965e2913f6783198c5d041e	25437	823	586	<Figure size 700x500 with 1 Axes>	False	False	False	False
drive_evidence_copy/sajidahmedprotres_drive/Colab Notebooks/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	16		0	b33e6e36c6cd6b6d1429648db03aa567f556920414bb7a6c14d64fe183d6573b	53917	917	917	<Figure size 1000x1000 with 2 Axes>	False	False	False	False
drive_evidence_copy/sajidahmedprotres_drive/Colab Notebooks/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	23		0	415869b1a648ea2d26e1123fe334b0fcb7e3809bceab21c3ff5735ac9f19bb31	53243	1308	970	<Figure size 1400x1000 with 2 Axes>	False	False	False	False
drive_evidence_copy/sajidahmedprotres_drive/Colab Notebooks/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	35		1	591f81465b5420b392ffd343206d51d50ca3246fb3c58c1bdea869fa00d09989	40383	806	672	<Figure size 700x300 with 1 Axes>	False	False	False	True
drive_evidence_copy/sajidahmedprotres_drive/Colab Notebooks/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	36		1	7bc620268fefa4e994fca28deaab2c4ac7f2de73f0e303791ee7013cefbe38be	40395	806	672	<Figure size 700x300 with 1 Axes>	False	True	False	True
drive_evidence_copy/sajidahmedprotres_drive/Colab Notebooks/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	37		1	5373f6add6cbd9055748d93eadb1fef138872dd9b4f108f1497c2295aa19999c	40411	806	672	<Figure size 700x300 with 1 Axes>	False	False	True	True
drive_evidence_copy/sajidahmedprotres_drive/Colab Notebooks/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	38		0	e5fec4fe659d796b36908e2857878c2eb23f3c8d14e16266ba01d83cd4fb93f5	90498	1517	1317	<Figure size 1600x1400 with 1 Axes>	False	True	True	True
drive_evidence_copy/sajidahmedprotres_drive/Colab Notebooks/Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	39		0	096e23dca5b5d2dc4fb33c0e30c5f40a83c71c9260bf935548944296bf8b3720	103000	1517	1517	<Figure size 1600x1600 with 2 Axes>	False	True	True	True
