config,dataset,metric,ours_mean,ours_rounded,paper_rounded,abs_diff_rounded,match_rounded,feature_source
manuscript_literal,S_669,rF,0.458120,0.46,0.48,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rR,0.459933,0.46,0.48,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF+R,0.629025,0.63,0.64,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF-R,-0.993175,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsF,1.476687,1.48,1.45,0.03,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsR,1.475545,1.48,1.45,0.03,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsF+R,1.476116,1.48,1.45,0.03,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF,0.713799,0.71,0.72,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rR,0.711662,0.71,0.72,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF+R,0.809740,0.81,0.81,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF-R,-0.993842,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsF,1.093753,1.09,1.10,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsR,1.095387,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsF+R,1.094571,1.09,1.10,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF,0.761167,0.76,0.77,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rR,0.758751,0.76,0.77,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF+R,0.798078,0.80,0.79,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF-R,-0.996094,-1.00,-1.00,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsF,1.453287,1.45,1.49,0.04,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsR,1.456195,1.46,1.49,0.03,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsF+R,1.454742,1.45,1.49,0.04,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rF,0.470282,0.47,0.48,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rR,0.468609,0.47,0.48,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rF+R,0.636732,0.64,0.64,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rF-R,-0.993411,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsF,1.462818,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsR,1.464767,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsF+R,1.463793,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,Ssym,rF,0.725243,0.73,0.72,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,Ssym,rR,0.724814,0.72,0.72,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
