config,dataset,metric,ours_mean,ours_rounded,paper_rounded,abs_diff_rounded,match_rounded,feature_source
notebook_table1,S_669,rF,0.469963,0.47,0.48,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rR,0.468635,0.47,0.48,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rF+R,0.637914,0.64,0.64,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rF-R,-0.993824,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsF,1.461158,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsR,1.462327,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsF+R,1.461744,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,Ssym,rF,0.722643,0.72,0.72,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,Ssym,rR,0.726902,0.73,0.72,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,Ssym,rF+R,0.815366,0.82,0.81,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,Ssym,rF-R,-0.995800,-1.00,-0.99,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,Ssym,rmsF,1.095982,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,Ssym,rmsR,1.091635,1.09,1.10,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,Ssym,rmsF+R,1.093812,1.09,1.10,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_921,rF,0.765251,0.77,0.77,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_921,rR,0.763151,0.76,0.77,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_921,rF+R,0.792595,0.79,0.79,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_921,rF-R,-0.996139,-1.00,-1.00,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_921,rmsF,1.495457,1.50,1.49,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_921,rmsR,1.499188,1.50,1.49,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_921,rmsF+R,1.497325,1.50,1.49,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF,0.459205,0.46,0.48,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rR,0.459377,0.46,0.48,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF+R,0.630522,0.63,0.64,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF-R,-0.993821,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsF,1.473603,1.47,1.45,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsR,1.473463,1.47,1.45,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsF+R,1.473535,1.47,1.45,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF,0.710811,0.71,0.72,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rR,0.714651,0.71,0.72,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF+R,0.809237,0.81,0.81,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF-R,-0.995164,-1.00,-0.99,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsF,1.098730,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsR,1.093615,1.09,1.10,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsF+R,1.096177,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF,0.758860,0.76,0.77,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rR,0.756261,0.76,0.77,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF+R,0.791964,0.79,0.79,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF-R,-0.996040,-1.00,-1.00,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsF,1.471733,1.47,1.49,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
