config,dataset,metric,ours_mean,ours_rounded,paper_rounded,abs_diff_rounded,match_rounded,feature_source
notebook_table1,S_669,rF,0.478064,0.48,0.48,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_669,rR,0.474703,0.47,0.48,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_669,rF+R,0.642150,0.64,0.64,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_669,rF-R,-0.993674,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsF,1.453632,1.45,1.45,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsR,1.456518,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsF+R,1.455077,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,Ssym,rF,0.722013,0.72,0.72,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,Ssym,rR,0.723515,0.72,0.72,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,Ssym,rF+R,0.814140,0.81,0.81,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,Ssym,rF-R,-0.995516,-1.00,-0.99,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,Ssym,rmsF,1.098002,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,Ssym,rmsR,1.096382,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,Ssym,rmsF+R,1.097198,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_921,rF,0.768197,0.77,0.77,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_921,rR,0.768091,0.77,0.77,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_921,rF+R,0.794961,0.79,0.79,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_921,rF-R,-0.996001,-1.00,-1.00,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_921,rmsF,1.493258,1.49,1.49,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_921,rmsR,1.491763,1.49,1.49,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
notebook_table1,S_921,rmsF+R,1.492512,1.49,1.49,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF,0.471621,0.47,0.48,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_669,rR,0.469702,0.47,0.48,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF+R,0.637595,0.64,0.64,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF-R,-0.993683,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsF,1.461603,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsR,1.463354,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsF+R,1.462480,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF,0.711973,0.71,0.72,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rR,0.711466,0.71,0.72,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF+R,0.808603,0.81,0.81,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF-R,-0.994695,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsF,1.097764,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsR,1.098493,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsF+R,1.098131,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF,0.761516,0.76,0.77,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_921,rR,0.760760,0.76,0.77,0.01,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF+R,0.793537,0.79,0.79,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF-R,-0.995944,-1.00,-1.00,0.00,True,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsF,1.469283,1.47,1.49,0.02,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsR,1.470686,1.47,1.49,0.02,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsF+R,1.469986,1.47,1.49,0.02,False,"mixed_regenerated+S_2648,Ssym|B=historical_weighted"
