config,dataset,metric,ours_mean,ours_rounded,paper_rounded,abs_diff_rounded,match_rounded,feature_source
notebook_table1,S_669,rF,0.467949,0.47,0.48,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_669,rR,0.467960,0.47,0.48,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_669,rF+R,0.637131,0.64,0.64,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_669,rF-R,-0.993823,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsF,1.462953,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsR,1.462942,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsF+R,1.462949,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,Ssym,rF,0.724179,0.72,0.72,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,Ssym,rR,0.723585,0.72,0.72,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,Ssym,rF+R,0.814821,0.81,0.81,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,Ssym,rF-R,-0.995684,-1.00,-0.99,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,Ssym,rmsF,1.094909,1.09,1.10,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,Ssym,rmsR,1.095691,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,Ssym,rmsF+R,1.095303,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_921,rF,0.769258,0.77,0.77,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_921,rR,0.768067,0.77,0.77,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_921,rF+R,0.795606,0.80,0.79,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_921,rF-R,-0.996033,-1.00,-1.00,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_921,rmsF,1.490090,1.49,1.49,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_921,rmsR,1.491416,1.49,1.49,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
notebook_table1,S_921,rmsF+R,1.490755,1.49,1.49,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF,0.461082,0.46,0.48,0.02,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_669,rR,0.458238,0.46,0.48,0.02,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF+R,0.630713,0.63,0.64,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF-R,-0.993638,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsF,1.471828,1.47,1.45,0.02,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsR,1.474660,1.47,1.45,0.02,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsF+R,1.473245,1.47,1.45,0.02,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF,0.712243,0.71,0.72,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rR,0.712113,0.71,0.72,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF+R,0.808920,0.81,0.81,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF-R,-0.995277,-1.00,-0.99,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsF,1.096665,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsR,1.097280,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsF+R,1.096974,1.10,1.10,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF,0.762296,0.76,0.77,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_921,rR,0.761940,0.76,0.77,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF+R,0.795105,0.80,0.79,0.01,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF-R,-0.996152,-1.00,-1.00,0.00,True,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsF,1.465837,1.47,1.49,0.02,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsR,1.465668,1.47,1.49,0.02,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsF+R,1.465753,1.47,1.49,0.02,False,"mixed_regenerated+S_2648,S_669,Ssym|B=historical_weighted"
