config,dataset,metric,ours_mean,ours_rounded,paper_rounded,abs_diff_rounded,match_rounded,feature_source
notebook_table1,S_669,rF,0.482492,0.48,0.48,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_669,rR,0.477544,0.48,0.48,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_669,rF+R,0.644285,0.64,0.64,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_669,rF-R,-0.993378,-0.99,-0.99,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_669,rmsF,1.449683,1.45,1.45,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_669,rmsR,1.453948,1.45,1.45,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_669,rmsF+R,1.451817,1.45,1.45,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,Ssym,rF,0.721508,0.72,0.72,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,Ssym,rR,0.722325,0.72,0.72,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,Ssym,rF+R,0.813396,0.81,0.81,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,Ssym,rF-R,-0.995012,-1.00,-0.99,0.01,False,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,Ssym,rmsF,1.099507,1.10,1.10,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,Ssym,rmsR,1.097117,1.10,1.10,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,Ssym,rmsF+R,1.098313,1.10,1.10,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_921,rF,0.769075,0.77,0.77,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_921,rR,0.767542,0.77,0.77,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_921,rF+R,0.794880,0.79,0.79,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_921,rF-R,-0.996284,-1.00,-1.00,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_921,rmsF,1.492330,1.49,1.49,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_921,rmsR,1.493187,1.49,1.49,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
notebook_table1,S_921,rmsF+R,1.492760,1.49,1.49,0.00,True,mixed_regenerated+Ssym|B=historical_weighted
