config,dataset,metric,ours_mean,ours_rounded,paper_rounded,abs_diff_rounded,match_rounded,feature_source
manuscript_literal,S_669,rF,0.471056,0.47,0.48,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_669,rR,0.470362,0.47,0.48,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_669,rF+R,0.637461,0.64,0.64,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_669,rF-R,-0.994187,-0.99,-0.99,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_669,rmsF,1.462315,1.46,1.45,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_669,rmsR,1.463018,1.46,1.45,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_669,rmsF+R,1.462667,1.46,1.45,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,Ssym,rF,0.706479,0.71,0.72,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,Ssym,rR,0.700823,0.70,0.72,0.02,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,Ssym,rF+R,0.803667,0.80,0.81,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,Ssym,rF-R,-0.995332,-1.00,-0.99,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,Ssym,rmsF,1.104046,1.10,1.10,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,Ssym,rmsR,1.111565,1.11,1.10,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,Ssym,rmsF+R,1.107818,1.11,1.10,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_921,rF,0.761215,0.76,0.77,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_921,rR,0.761413,0.76,0.77,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_921,rF+R,0.793604,0.79,0.79,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_921,rF-R,-0.996511,-1.00,-1.00,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_921,rmsF,1.471869,1.47,1.49,0.02,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_921,rmsR,1.469761,1.47,1.49,0.02,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
manuscript_literal,S_921,rmsF+R,1.470816,1.47,1.49,0.02,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_669,rF,0.480642,0.48,0.48,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_669,rR,0.479570,0.48,0.48,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_669,rF+R,0.644334,0.64,0.64,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_669,rF-R,-0.993971,-0.99,-0.99,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_669,rmsF,1.451313,1.45,1.45,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_669,rmsR,1.452167,1.45,1.45,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_669,rmsF+R,1.451741,1.45,1.45,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,Ssym,rF,0.718767,0.72,0.72,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,Ssym,rR,0.716650,0.72,0.72,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,Ssym,rF+R,0.810835,0.81,0.81,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,Ssym,rF-R,-0.995370,-1.00,-0.99,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,Ssym,rmsF,1.102574,1.10,1.10,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,Ssym,rmsR,1.105194,1.11,1.10,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,Ssym,rmsF+R,1.103888,1.10,1.10,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_921,rF,0.767752,0.77,0.77,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_921,rR,0.769232,0.77,0.77,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_921,rF+R,0.795357,0.80,0.79,0.01,False,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_921,rF-R,-0.996226,-1.00,-1.00,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_921,rmsF,1.493286,1.49,1.49,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_921,rmsR,1.489804,1.49,1.49,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
notebook_table1,S_921,rmsF+R,1.491547,1.49,1.49,0.00,True,saved_historical_V3_engineered+KPCA_E|B=historical_weighted
