config,dataset,metric,ours_mean,ours_rounded,paper_rounded,abs_diff_rounded,match_rounded,feature_source
notebook_table1,S_669,rF,0.478848,0.48,0.48,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_669,rR,0.477305,0.48,0.48,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_669,rF+R,0.643172,0.64,0.64,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_669,rF-R,-0.994081,-0.99,-0.99,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_669,rmsF,1.452900,1.45,1.45,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_669,rmsR,1.454091,1.45,1.45,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_669,rmsF+R,1.453496,1.45,1.45,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,Ssym,rF,0.715352,0.72,0.72,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,Ssym,rR,0.717689,0.72,0.72,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,Ssym,rF+R,0.809942,0.81,0.81,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,Ssym,rF-R,-0.994763,-0.99,-0.99,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,Ssym,rmsF,1.106694,1.11,1.10,0.01,False,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,Ssym,rmsR,1.103367,1.10,1.10,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,Ssym,rmsF+R,1.105043,1.11,1.10,0.01,False,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_921,rF,0.767015,0.77,0.77,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_921,rR,0.769896,0.77,0.77,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_921,rF+R,0.794842,0.79,0.79,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_921,rF-R,-0.996267,-1.00,-1.00,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_921,rmsF,1.496883,1.50,1.49,0.01,False,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_921,rmsR,1.490314,1.49,1.49,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
notebook_table1,S_921,rmsF+R,1.493604,1.49,1.49,0.00,True,saved_historical_V3_engineered+KPCA_E|B=manuscript_unweighted
