,DDG,A,B,C,D,E-1,E-2,E-3,E-4,E-5
DDG,1.0,0.5085222300994185,0.30661139936140486,-0.15230721771534106,0.3210872643699214,0.0837524612803342,0.33652515997398186,0.24352243795558665,0.22231143775226284,-0.010768883918632366
A,0.5085222300994185,1.0,0.5177701376827785,-0.33620447757339594,0.3372131225827204,0.15018180058488212,0.17256371063668233,0.5384364164486305,0.12371835954323701,-0.07610490586154518
B,0.30661139936140486,0.5177701376827785,1.0,-0.2090207214898833,0.39031747388147897,0.23561464150348083,0.16333701855757293,0.386559805950713,0.11833774177944748,0.024803186781936888
C,-0.15230721771534106,-0.33620447757339594,-0.2090207214898833,1.0,-0.04150859800159551,0.07111464711536045,-0.139406400905994,-0.5406618907295,0.15334091552997886,0.20359487423530223
D,0.3210872643699214,0.3372131225827204,0.39031747388147897,-0.04150859800159551,1.0,0.4916962594357549,0.17633869944202352,0.1569820388441566,0.11093473963396967,0.040764503305282966
E-1,0.0837524612803342,0.15018180058488212,0.23561464150348083,0.07111464711536045,0.4916962594357549,1.0,-0.0935525119180207,0.1216690038839292,0.018824636461061008,0.03323958647165125
E-2,0.33652515997398186,0.17256371063668233,0.16333701855757293,-0.139406400905994,0.17633869944202352,-0.0935525119180207,1.0,0.08032772442899329,0.18152275445295304,0.013726040218291385
E-3,0.24352243795558665,0.5384364164486305,0.386559805950713,-0.5406618907295,0.1569820388441566,0.1216690038839292,0.08032772442899329,1.0,-0.02244597390234281,-0.12930377340862645
E-4,0.22231143775226284,0.12371835954323701,0.11833774177944748,0.15334091552997886,0.11093473963396967,0.018824636461061008,0.18152275445295304,-0.02244597390234281,1.0,0.17480204274723254
E-5,-0.010768883918632366,-0.07610490586154518,0.024803186781936888,0.20359487423530223,0.040764503305282966,0.03323958647165125,0.013726040218291385,-0.12930377340862645,0.17480204274723254,1.0
