,DDG,A,B,C,D,E-1,E-2,E-3,E-4,E-5,F,G,H
DDG,1.0,0.5085222300994185,0.30661139936140486,-0.15230721771534106,0.3210872643699214,0.0837524612803342,0.33652515997398186,0.24352243795558665,0.22231143775226284,-0.010768883918632366,0.2816637506956123,0.1809789359563285,-0.2617031372422527
A,0.5085222300994185,1.0,0.5177701376827785,-0.33620447757339594,0.3372131225827204,0.15018180058488212,0.17256371063668233,0.5384364164486305,0.12371835954323701,-0.07610490586154518,0.3208791237828772,0.15103301520173695,-0.3520827027663238
B,0.30661139936140486,0.5177701376827785,1.0,-0.2090207214898833,0.39031747388147897,0.23561464150348083,0.16333701855757293,0.386559805950713,0.11833774177944748,0.024803186781936888,0.17619839966174966,0.03902619039498859,-0.2362849679939183
C,-0.15230721771534106,-0.33620447757339594,-0.2090207214898833,1.0,-0.04150859800159551,0.07111464711536045,-0.139406400905994,-0.5406618907295,0.15334091552997886,0.20359487423530223,0.037319444361193575,0.04043338460681419,-0.018578463330628354
D,0.3210872643699214,0.3372131225827204,0.39031747388147897,-0.04150859800159551,1.0,0.4916962594357549,0.17633869944202352,0.1569820388441566,0.11093473963396967,0.040764503305282966,0.25024504481534904,0.06900211796245066,-0.322302812239194
E-1,0.0837524612803342,0.15018180058488212,0.23561464150348083,0.07111464711536045,0.4916962594357549,1.0,-0.0935525119180207,0.1216690038839292,0.018824636461061008,0.03323958647165125,0.29931663610392284,0.0889438640145363,-0.3792331778046342
E-2,0.33652515997398186,0.17256371063668233,0.16333701855757293,-0.139406400905994,0.17633869944202352,-0.0935525119180207,1.0,0.08032772442899329,0.18152275445295304,0.013726040218291385,0.003688975713394,0.0009268075350750995,-0.004839629159657851
E-3,0.24352243795558665,0.5384364164486305,0.386559805950713,-0.5406618907295,0.1569820388441566,0.1216690038839292,0.08032772442899329,1.0,-0.02244597390234281,-0.12930377340862645,0.0950895124441777,0.026472493957910598,-0.1222232415042776
E-4,0.22231143775226284,0.12371835954323701,0.11833774177944748,0.15334091552997886,0.11093473963396967,0.018824636461061008,0.18152275445295304,-0.02244597390234281,1.0,0.17480204274723254,0.09023801342772965,0.019195863746863016,-0.12178441438388656
E-5,-0.010768883918632366,-0.07610490586154518,0.024803186781936888,0.20359487423530223,0.040764503305282966,0.03323958647165125,0.013726040218291385,-0.12930377340862645,0.17480204274723254,1.0,0.034540068668975896,0.008892515656951622,-0.045103600069823085
F,0.2816637506956123,0.3208791237828772,0.17619839966174966,0.037319444361193575,0.25024504481534904,0.29931663610392284,0.003688975713394,0.0950895124441777,0.09023801342772965,0.034540068668975896,1.0,0.7820433035578692,-0.7926610151647888
G,0.1809789359563285,0.15103301520173695,0.03902619039498859,0.04043338460681419,0.06900211796245066,0.0889438640145363,0.0009268075350750995,0.026472493957910598,0.019195863746863016,0.008892515656951622,0.7820433035578692,1.0,-0.23993880243709287
H,-0.2617031372422527,-0.3520827027663238,-0.2362849679939183,-0.018578463330628354,-0.322302812239194,-0.3792331778046342,-0.004839629159657851,-0.1222232415042776,-0.12178441438388656,-0.045103600069823085,-0.7926610151647888,-0.23993880243709287,1.0
