claim	manuscript	ours	ours_rounded_2dp	abs_diff_rounded	verdict
C_vs_ddg	-0.15	-0.15358394679788626	-0.15	0.0	match
A_vs_B	0.52	0.5173714624804391	0.52	0.0	match
E1_vs_D	0.49	0.4939726102917828	0.49	0.0	match
E2_vs_D	0.17	0.17355726682090025	0.17	0.0	match
E4_vs_ddg	0.21	0.2264793524880088	0.23	0.020000000000000018	mismatch
E3_vs_A	0.55	0.5407761813206656	0.54	0.010000000000000009	near
E3_vs_B	0.4	0.38426706886256995	0.38	0.020000000000000018	mismatch
E3_vs_C	0.55	-0.5510054815296008	0.55	0.0	match
E3_vs_ddg	0.26	0.2526771060536965	0.25	0.010000000000000009	near
E2_vs_E4	0.2	0.18734853745278504	0.19	0.010000000000000009	near
F_vs_A	0.32	0.320919365999498	0.32	0.0	match
G_vs_A	0.15	0.15088736984900988	0.15	0.0	match
H_vs_E1	0.39	-0.379507299868465	0.38	0.010000000000000009	near
