,DDG,A,B,C,D,E-1,E-2,E-3,E-4,E-5
DDG,1.0,0.5079984217816313,0.31549819031179294,-0.15358394679788626,0.31858959541727433,0.08120160551168268,0.32738079302525136,0.2526771060536965,0.2264793524880088,-0.011372542370832166
A,0.5079984217816313,1.0,0.5173714624804391,-0.34158636713240553,0.3359848686541086,0.14814133581022,0.14541439926975966,0.5407761813206656,0.1223138971651727,-0.07288478702828194
B,0.31549819031179294,0.5173714624804391,1.0,-0.21967955964268274,0.3816175903893509,0.21612712832628198,0.1415036568388676,0.38426706886256995,0.12746114503281272,0.022157860488432865
C,-0.15358394679788626,-0.34158636713240553,-0.21967955964268274,1.0,-0.04623424529020303,0.06686737071936501,-0.11707611302978178,-0.5510054815296008,0.1652634029454935,0.19018627596882426
D,0.31858959541727433,0.3359848686541086,0.3816175903893509,-0.04623424529020303,1.0,0.4939726102917828,0.17355726682090025,0.16328700920581113,0.11420707925615904,0.03444750039465792
E-1,0.08120160551168268,0.14814133581022,0.21612712832628198,0.06686737071936501,0.4939726102917828,1.0,-0.0991033421162579,0.11758555955622643,0.02007051349244291,0.02586707788947455
E-2,0.32738079302525136,0.14541439926975966,0.1415036568388676,-0.11707611302978178,0.17355726682090025,-0.0991033421162579,1.0,0.06604145798145945,0.18734853745278504,-0.0002027408232326382
E-3,0.2526771060536965,0.5407761813206656,0.38426706886256995,-0.5510054815296008,0.16328700920581113,0.11758555955622643,0.06604145798145945,1.0,-0.025213398667248133,-0.12016991415694814
E-4,0.2264793524880088,0.1223138971651727,0.12746114503281272,0.1652634029454935,0.11420707925615904,0.02007051349244291,0.18734853745278504,-0.025213398667248133,1.0,0.17198117721830605
E-5,-0.011372542370832166,-0.07288478702828194,0.022157860488432865,0.19018627596882426,0.03444750039465792,0.02586707788947455,-0.0002027408232326382,-0.12016991415694814,0.17198117721830605,1.0
