,DDG,A,B,C,D,E-1,E-2,E-3,E-4,E-5,F,G,H
DDG,1.0,0.5079984217816313,0.31549819031179294,-0.15358394679788626,0.31858959541727433,0.08120160551168268,0.32738079302525136,0.2526771060536965,0.2264793524880088,-0.011372542370832166,0.2816637506956123,0.1809789359563285,-0.2617031372422527
A,0.5079984217816313,1.0,0.5173714624804391,-0.34158636713240553,0.3359848686541086,0.14814133581022,0.14541439926975966,0.5407761813206656,0.1223138971651727,-0.07288478702828194,0.320919365999498,0.15088736984900988,-0.3522878636237938
B,0.31549819031179294,0.5173714624804391,1.0,-0.21967955964268274,0.3816175903893509,0.21612712832628198,0.1415036568388676,0.38426706886256995,0.12746114503281272,0.022157860488432865,0.16998422826710033,0.03522894816931402,-0.23031984807481634
C,-0.15358394679788626,-0.34158636713240553,-0.21967955964268274,1.0,-0.04623424529020303,0.06686737071936501,-0.11707611302978178,-0.5510054815296008,0.1652634029454935,0.19018627596882426,0.0337332777792073,0.04000210898199405,-0.013414229564150447
D,0.31858959541727433,0.3359848686541086,0.3816175903893509,-0.04623424529020303,1.0,0.4939726102917828,0.17355726682090025,0.16328700920581113,0.11420707925615904,0.03444750039465792,0.24767366214880185,0.06512016391434285,-0.32209488512879475
E-1,0.08120160551168268,0.14814133581022,0.21612712832628198,0.06686737071936501,0.4939726102917828,1.0,-0.0991033421162579,0.11758555955622643,0.02007051349244291,0.02586707788947455,0.29845344596841206,0.08728915520686727,-0.379507299868465
E-2,0.32738079302525136,0.14541439926975966,0.1415036568388676,-0.11707611302978178,0.17355726682090025,-0.0991033421162579,1.0,0.06604145798145945,0.18734853745278504,-0.0002027408232326382,0.0006238599518751263,-0.0012303047312137265,-0.002175311558638382
E-3,0.2526771060536965,0.5407761813206656,0.38426706886256995,-0.5510054815296008,0.16328700920581113,0.11758555955622643,0.06604145798145945,1.0,-0.025213398667248133,-0.12016991415694814,0.08839089240744047,0.018332914367596858,-0.11975134958586078
E-4,0.2264793524880088,0.1223138971651727,0.12746114503281272,0.1652634029454935,0.11420707925615904,0.02007051349244291,0.18734853745278504,-0.025213398667248133,1.0,0.17198117721830605,0.09256871013855718,0.018346879372614384,-0.12624542046931803
E-5,-0.011372542370832166,-0.07288478702828194,0.022157860488432865,0.19018627596882426,0.03444750039465792,0.02586707788947455,-0.0002027408232326382,-0.12016991415694814,0.17198117721830605,1.0,0.028356395734231765,0.0039505816647714105,-0.04030577026728267
F,0.2816637506956123,0.320919365999498,0.16998422826710033,0.0337332777792073,0.24767366214880185,0.29845344596841206,0.0006238599518751263,0.08839089240744047,0.09256871013855718,0.028356395734231765,1.0,0.7820433035578692,-0.7926610151647888
G,0.1809789359563285,0.15088736984900988,0.03522894816931402,0.04000210898199405,0.06512016391434285,0.08728915520686727,-0.0012303047312137265,0.018332914367596858,0.018346879372614384,0.0039505816647714105,0.7820433035578692,1.0,-0.23993880243709287
H,-0.2617031372422527,-0.3522878636237938,-0.23031984807481634,-0.013414229564150447,-0.32209488512879475,-0.379507299868465,-0.002175311558638382,-0.11975134958586078,-0.12624542046931803,-0.04030577026728267,-0.7926610151647888,-0.23993880243709287,1.0
