dataset	column	evidence	raw_mean	rounded_2	manuscript_rounded	match	notebook_source
S_669	rF	pickle_ten_run_mean	0.480020621945	0.48	0.48	True	
S_669	rR	pickle_ten_run_mean	0.478904681477	0.48	0.48	True	
S_669	rF+R	pickle_ten_run_mean	0.643994841405	0.64	0.64	True	
S_669	rmsF	pickle_ten_run_mean	1.45186006134	1.45	1.45	True	
S_669	rmsR	pickle_ten_run_mean	1.45281975049	1.45	1.45	True	
S_669	rmsF+R	pickle_ten_run_mean	1.45234055497	1.45	1.45	True	
S_669	rF-R	notebook_output	-0.993918435221	-0.99	-0.99	True	colab_notebooks_inventory_analysis/git_notebook_outputs/Quick_Dirty_MPNN_ML_V2_V3.ipynb.outputs.txt (cell 31, 2nd printed value)
Ssym	rF	pickle_ten_run_mean	0.721961160737	0.72	0.72	True	
Ssym	rR	pickle_ten_run_mean	0.718826420405	0.72	0.72	True	
Ssym	rF+R	pickle_ten_run_mean	0.812228160492	0.81	0.81	True	
Ssym	rmsF	pickle_ten_run_mean	1.09838027009	1.10	1.10	True	
Ssym	rmsR	pickle_ten_run_mean	1.10237359571	1.10	1.10	True	
Ssym	rmsF+R	pickle_ten_run_mean	1.10038115256	1.10	1.10	True	
Ssym	rF-R	notebook_output	-0.994660679789	-0.99	-0.99	True	colab_notebooks_inventory_analysis/git_notebook_outputs/Quick_Dirty_MPNN_ML_V2_V3.ipynb.outputs.txt (cell 31, 3rd printed value)
S_921	rF	pickle_ten_run_mean	0.767839284169	0.77	0.77	True	
S_921	rR	pickle_ten_run_mean	0.766318505223	0.77	0.77	True	
S_921	rF+R	pickle_ten_run_mean	0.794154993315	0.79	0.79	True	
S_921	rmsF	pickle_ten_run_mean	1.49207513676	1.49	1.49	True	
S_921	rmsR	pickle_ten_run_mean	1.49448615206	1.49	1.49	True	
S_921	rmsF+R	pickle_ten_run_mean	1.4932815764	1.49	1.49	True	
S_921	rF-R	notebook_output	-0.996083725702	-1.00	-1.00	True	colab_notebooks_inventory_analysis/git_notebook_outputs/Quick_Dirty_MPNN_ML_V2_V3.ipynb.outputs.txt (cell 31, 1st printed value)
