claim	manuscript	ours	ours_rounded_2dp	abs_diff_rounded	verdict
C_vs_ddg	-0.15	-0.15230721771534106	-0.15	0.0	match
A_vs_B	0.52	0.5177701376827785	0.52	0.0	match
E1_vs_D	0.49	0.4916962594357549	0.49	0.0	match
E2_vs_D	0.17	0.17633869944202352	0.18	0.009999999999999981	near
E4_vs_ddg	0.21	0.22231143775226284	0.22	0.010000000000000009	near
E3_vs_A	0.55	0.5384364164486305	0.54	0.010000000000000009	near
E3_vs_B	0.4	0.386559805950713	0.39	0.010000000000000009	near
E3_vs_C	0.55	-0.5406618907295	0.54	0.010000000000000009	near
E3_vs_ddg	0.26	0.24352243795558665	0.24	0.020000000000000018	mismatch
E2_vs_E4	0.2	0.18152275445295304	0.18	0.020000000000000018	mismatch
F_vs_A	0.32	0.3208791237828772	0.32	0.0	match
G_vs_A	0.15	0.15103301520173695	0.15	0.0	match
H_vs_E1	0.39	-0.3792331778046342	0.38	0.010000000000000009	near
