config,dataset,metric,ours_mean,ours_rounded,paper_rounded,abs_diff_rounded,match_rounded,feature_source
manuscript_literal,S_669,rF,0.458622,0.46,0.48,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rR,0.459599,0.46,0.48,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF+R,0.630388,0.63,0.64,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rF-R,-0.994287,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsF,1.474512,1.47,1.45,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsR,1.473687,1.47,1.45,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_669,rmsF+R,1.474101,1.47,1.45,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF,0.715210,0.72,0.72,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rR,0.713816,0.71,0.72,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF+R,0.809984,0.81,0.81,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rF-R,-0.994444,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsF,1.093435,1.09,1.10,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsR,1.094827,1.09,1.10,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,Ssym,rmsF+R,1.094135,1.09,1.10,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF,0.761608,0.76,0.77,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rR,0.759507,0.76,0.77,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF+R,0.793679,0.79,0.79,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rF-R,-0.996454,-1.00,-1.00,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsF,1.468714,1.47,1.49,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsR,1.471577,1.47,1.49,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
manuscript_literal,S_921,rmsF+R,1.470147,1.47,1.49,0.02,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rF,0.470141,0.47,0.48,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rR,0.470969,0.47,0.48,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rF+R,0.638705,0.64,0.64,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rF-R,-0.994085,-0.99,-0.99,0.00,True,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsF,1.460853,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
notebook_table1,S_669,rmsR,1.460107,1.46,1.45,0.01,False,"mixed_regenerated+S_2648,S_669,S_921,Ssym|B=historical_weighted"
